"business_name","niche","address","phone","whatsapp","website","email","social_profiles","email_validation_status","date_enriched","source_urls"
"805 Restaurant","restaurants","Third Close, Off Volta St, Accra, Ghana","+233 20 080 5805","Yes (+233 200 805 805)","https://805restaurants.com","","","Not Available","2026-04-08","https://805restaurants.com; https://www.google.com/maps"
"Tunnel Lounge","restaurants, bars_lounges","45 Kofi Annan St, Accra, Ghana","+233 55 155 6444","Yes (+233 551 556 444)","https://thetunnellounge.com","info@thetunnellounge.com","","Verified (found on website)","2026-04-08","https://thetunnellounge.com; https://www.google.com/maps"
"Imperial Peking","restaurants","","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Imperial Peking Chinese Restaurant","restaurants","Ayisi Atta Close, Airport West, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"La Chaumière","restaurants","Liberation Road, Airport Residential Area, Dzorwulu, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Maestro","restaurants","Patrice Lumumba Road, Airport Residential Area, Dzorwulu, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Josie's Cuppa Cappuccino","restaurants","Adomi Road, Airport Residential Area, Dzorwulu, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Gold Coast Restaurant & Bar","restaurants, bars_lounges","Kofi Atta Annan Street, Airport Residential Area, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Smollenskys Restaurant & Bar","restaurants, bars_lounges","Agostino Neto Close, Airport West, Dzorwulu, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"HSI Thai Restaurant","restaurants","Osekere Road, North Dzorwulu, Dzorwulu, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Ando's Restaurant","restaurants","Nii Nortey Nyanchi Street, North Dzorwulu, Dzorwulu, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Palace Chinese Restaurant","restaurants","Nii Nortey Nyanchi Street, North Dzorwulu, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Santoku","restaurants","Airport West Road, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Big Al's","restaurants, bars_lounges","Kofi Atta Annan Street, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"XO Restaurant & Bar","restaurants","Airport Square, Accra","+233 26 764 1251","Yes (+233 267 641 251)","","","https://www.instagram.com/xo_ghana","Not Available","2026-04-08","OpenStreetMap"
"Sky Bar 25","restaurants, bars_lounges","Airport Road, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Alwaaba Lounge","restaurants","Airport Road, Airport City, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Adinkra Lounge","restaurants","Airport Road, Airport City, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Sanbra Lounge","restaurants","Airport Road, Airport City, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Mari-Nate Restaurant and Bar","restaurants","","","","","","","Not Available","2026-04-08","Google Maps"
"The Landing Restaurant","restaurants","Airport Road, Airport City, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Seoul Grill Restaurant","restaurants","","","","","","","Not Available","2026-04-08","Google Maps"
"Galaxy Restaurant","restaurants","","","","","","","Not Available","2026-04-08","Google Maps"
"Mandarin","restaurants","","+233 243132126","Yes (+233 243 132 126)","","","","Not Available","2026-04-08","OpenStreetMap"
"Azmera","restaurants","Sir Arku Korsah Road, Accra","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Poki House","restaurants","","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Old Poki","restaurants","","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Big Fish","restaurants","","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Bush Kanteen","restaurants","","","","","","","Not Available","2026-04-08","OpenStreetMap"
"Yasmina","restaurants","","","","","","","Not Available","2026-04-08","OpenStreetMap"
"de Chef","restaurants","","","","","","","Not Available","2026-04-08","OpenStreetMap"
