business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
Africa World Airlines,airlines_offices,,,,,,Google Maps,2026-04-05
Air France-KLM Office,airlines_offices,,,,,,Google Maps,2026-04-05
Ghana Airports Company Limited - Head Office,airlines_offices,,,,,,Google Maps,2026-04-05
Ethiopian Airlines,airlines_offices,,,,,,Google Maps,2026-04-05
Turkish Airlines (THY) Ghana Accra Office,airlines_offices,,,,,,Google Maps,2026-04-05
Brussels Airlines - Sales Office Accra,airlines_offices,,,,,,Google Maps,2026-04-05
Emirates Airline,airlines_offices,,,,,,Google Maps,2026-04-05
Airlines Ghana,airlines_offices,,,,,,Google Maps,2026-04-05
British Airways Accra,airlines_offices,,,,,,Google Maps,2026-04-05
KLM Royal Dutch Airlines,airlines_offices,,,,,,Google Maps,2026-04-05
Lufthansa Accra,airlines_offices,,,,,,Google Maps,2026-04-05
RwandAir Accra Office,airlines_offices,,,,,,Google Maps,2026-04-05
Kenya Airways Accra,airlines_offices,,,,,,Google Maps,2026-04-05
