business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
GT Bank,banks,"Patrice Lumumba Road, Airport Residential Area, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
First National Bank,banks,"Kofi Annan Street, Airport Residential Area, Accra",Airport-Residential,+233 24 243 5050,+233 24 243 5050,https://www.firstnationalbank.com.gh,,OpenStreetMap,info@firstnationalbank.com.gh,Pattern Generated,2026-04-05
Absa,banks,,Airport-Residential,+233 57 770 2032,+233 57 770 2032,https://www.absa.com.gh,,OpenStreetMap,info@absa.com.gh,Pattern Generated,2026-04-05
CalBank,banks,,Airport-Residential,+233 24 340 0364,+233 24 340 0364,https://calbank.net,,OpenStreetMap,info@calbank.net,Pattern Generated,2026-04-05
Société Générale,banks,,Airport-Residential,,,https://societegenerale.com.gh/,,OpenStreetMap,info@societegenerale.com.gh,Pattern Generated,2026-04-05
Stanbic Bank,banks,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Ecobank,banks,"Spintex Road, Accra",Airport-Residential,+233 30 282 3053,+233 30 282 3053,https://ecobank.com/gh/,,OpenStreetMap,info@ecobank.com,Pattern Generated,2026-04-05
Fidelity Bank,banks,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
First Atlantic Bank,banks,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
UBA,banks,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Universal Merchant Bank Head Office,banks,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
ProCredit,banks,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
NIB,banks,"Spintex Road, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
GHL Bank,banks,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
GCB Bank,banks,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Bank of Africa,banks,,Airport-Residential,+233 30 276 5624,+233 30 276 5624,https://boaghana.com/,,OpenStreetMap,info@boaghana.com,Pattern Generated,2026-04-05
ADB,banks,"Gulf Street, Accra",Airport-Residential,+233 030 250 6201,+233 030 250 6201,,,OpenStreetMap,,N/A,2026-04-05
Heritage Bank,banks,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Standard Chartered ATM,banks,"Tetteh Quarshie Interchange, Accra",Airport-Residential,+233 30 263 3428,+233 30 263 3428,https://www.sc.com/gh,,OpenStreetMap,info@sc.com,Pattern Generated,2026-04-05
Air Commerce Forex Office,banks,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Bank of Ghana,banks,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
