business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
Kass Towers,consulting_firms,,,,,,LinkedIn,2026-04-05
Powersoft System,consulting_firms,,,,,,LinkedIn,2026-04-05
Akka Kappa Ltd,consulting_firms,,,,,,LinkedIn,2026-04-05
180 Degrees Consultancy,consulting_firms,,,,,,Google Maps,2026-04-05
Brics Africa Consulting LLC,consulting_firms,,,,,,Google Maps,2026-04-05
Strategic and Agile,consulting_firms,,,,,,Google Maps,2026-04-05
A-PRIME CONSULTS LIMITED,consulting_firms,,,,,,Google Maps,2026-04-05
VAK CONSULT,consulting_firms,,,,,,Google Maps,2026-04-05
JIK Management Advisory Africa LTD,consulting_firms,,,,,,Google Maps,2026-04-05
Tullow Ghana Limited,consulting_firms,"George Bush Highway, Accra",,,,,OpenStreetMap,2026-04-05
Gold Fields Exploration,consulting_firms,,,,,,OpenStreetMap,2026-04-05
Yara,consulting_firms,,,,,,OpenStreetMap,2026-04-05
Atlas Corpco,consulting_firms,,,,,,OpenStreetMap,2026-04-05
Metalex Group,consulting_firms,,,,,,OpenStreetMap,2026-04-05
Escort Security Services,consulting_firms,"K.A. Ofori Atta Road, Accra",,,https://escortsecurity.com.gh/,,OpenStreetMap,2026-04-05
CSIR-Food Research Institute,consulting_firms,,,,https://foodresearchgh.org/,,OpenStreetMap,2026-04-05
International Organization for Migration,consulting_firms,"Osu Badu Street, Accra",+233 302 74 29 30,,https://www.iom.int/countries/ghana/,,OpenStreetMap,2026-04-05
JICA Ghana Office,consulting_firms,,+233 302760781,,https://www.jica.go.jp/ghana/english/office/index.html,,OpenStreetMap,2026-04-05
SNV Netherlands Development Organisation,consulting_firms,"Maseru Avenue, Accra",,,,,OpenStreetMap,2026-04-05
UNESCO,consulting_firms,,,,,,OpenStreetMap,2026-04-05
African Women's Development Fund,consulting_firms,,,,,,OpenStreetMap,2026-04-05
Wishes Alliance,consulting_firms,"Nortsoo Street, Accra",+233 302936369,,http://www.wishesalliance.org/,,OpenStreetMap,2026-04-05
Bulk Oil Storage and Transportation (BOST),consulting_firms,"Nii Nortey Nyanchi Street, Accra",+233 30 277 5497,,http://www.bost.com.gh/,,OpenStreetMap,2026-04-05
Orica,consulting_firms,,,,,,OpenStreetMap,2026-04-05
ASPIRx Group,consulting_firms,,,,,,LinkedIn,2026-04-05
