business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
Embassy of Zimbabwe,embassies,,,,,,OpenStreetMap,2026-04-05
Embassy of Cuba,embassies,,,,,,OpenStreetMap,2026-04-05
Embassy of Spain,embassies,"Drake Close, Accra",+233 302 77 40 04,,http://www.exteriores.gob.es/Embajadas/ACCRA,,OpenStreetMap,2026-04-05
Embassy of Sudan,embassies,,,,,,OpenStreetMap,2026-04-05
Embassy of Saudi Arabia,embassies,,,,,,OpenStreetMap,2026-04-05
Embassy of Egypt,embassies,,,,,,OpenStreetMap,2026-04-05
Embassy of Brazil,embassies,,,,,,OpenStreetMap,2026-04-05
Embassy of Angola,embassies,"Agbaamo Street, Accra",,,,,OpenStreetMap,2026-04-05
Embassy of Equatorial Guinea,embassies,,,,,,OpenStreetMap,2026-04-05
Embassy of Morocco,embassies,,,,,,OpenStreetMap,2026-04-05
Republic of Benin Embassy,embassies,,,,,,OpenStreetMap,2026-04-05
Embassy of the Senegal,embassies,,,,,,OpenStreetMap,2026-04-05
Embassy of Vatican,embassies,,,,,,OpenStreetMap,2026-04-05
Embassy of Peru Honorary Consulate,embassies,,,,,,OpenStreetMap,2026-04-05
Embassy of Saharawi Republic,embassies,,,,,,OpenStreetMap,2026-04-05
Sierra Leone High Commissioner,embassies,,,,,,OpenStreetMap,2026-04-05
Royal Norwegian Consulate General,embassies,,,,,,OpenStreetMap,2026-04-05
Namibia High Commission,embassies,,,,,,OpenStreetMap,2026-04-05
High Commission of the Republic of Zambia,embassies,,,,,,OpenStreetMap,2026-04-05
Residence of the Ambassador of Iran,embassies,,,,,,OpenStreetMap,2026-04-05
Residence of the Ambassador of Cuba,embassies,,,,,,OpenStreetMap,2026-04-05
Residence of the Ambassador of Russia,embassies,,,,,,OpenStreetMap,2026-04-05
Residence of the Ambassador of Germany,embassies,,,,,,OpenStreetMap,2026-04-05
Residence of the Ambassador of Italy,embassies,,,,,,OpenStreetMap,2026-04-05
Residence of the Ambassador of Ethiopia,embassies,,,,,,OpenStreetMap,2026-04-05
Residence of the Ambassador of Angola,embassies,,,,,,OpenStreetMap,2026-04-05
Residence of the Ambassador of Czech Republic,embassies,,,,,,OpenStreetMap,2026-04-05
Ghana Airports Company Limited,embassies,,,,,,LinkedIn,2026-04-05
Ghana Civil Aviation Authority,embassies,,,,,,LinkedIn,2026-04-05
McDan Aviation,embassies,,,,,,LinkedIn,2026-04-05
Aerojet Aviation,embassies,,,,,,LinkedIn,2026-04-05
Ghana Airport Cargo Centre,embassies,,,,,,LinkedIn,2026-04-05
SBMAN Flight Support,embassies,,,,,,LinkedIn,2026-04-05
High Commission of Malaysia,embassies,,,,,,OpenStreetMap,2026-04-05
High Commission of India,embassies,"Ridge Road, Accra",,,https://www.hciaccra.gov.in/,,OpenStreetMap,2026-04-05
Embassy of Guinea,embassies,,,,,,OpenStreetMap,2026-04-05
Burkina Faso Ambassador's Residence,embassies,,,,,,OpenStreetMap,2026-04-05
Indonesia Consulate,embassies,,,,,,OpenStreetMap,2026-04-05
