business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Shala Yoga,gym_fitness,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
California Fitness Est 2029,gym_fitness,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Airport Gym,gym_fitness,,Airport-Residential,,,,,Google Maps (estimated),,N/A,2026-04-05
Semelef Fitness Centre,gym_fitness,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Aviation Social Centre,gym_fitness,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
TRAIN LIKE A PRO GH,gym_fitness,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Mint Fitness Club,gym_fitness,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Bfit4life by Diana Cooper,gym_fitness,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Aviation Social Club Gym,gym_fitness,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Body Temple Gym,gym_fitness,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
