business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
Airport Women's Hospital,hospitals_clinics,"Kofi Atta Annan Street, Accra",,,,,OpenStreetMap/LinkedIn,2026-04-05
Healthnet Airport Medical Centre,hospitals_clinics,,,,,,OpenStreetMap,2026-04-05
St. Andrews Clinic,hospitals_clinics,,,,,,OpenStreetMap,2026-04-05
St. Lukes Clinic,hospitals_clinics,,,,,,OpenStreetMap,2026-04-05
Claron Health International,hospitals_clinics,,,,,,OpenStreetMap,2026-04-05
Airport Clinic Limited,hospitals_clinics,,,,,,OpenStreetMap,2026-04-05
Beaver Clinic,hospitals_clinics,"Agostino Neto Road, Accra",+233302771785,,,,OpenStreetMap,2026-04-05
Medical & Dental Clinic,hospitals_clinics,,,,,,OpenStreetMap,2026-04-05
West African Rescue Association,hospitals_clinics,"Gowa Lane, Accra",+233 0544 336622,,https://westafrican-rescue.com/,,OpenStreetMap,2026-04-05
Mental Health Authority,hospitals_clinics,,,,,,OpenStreetMap,2026-04-05
Sunshine Healthcare Ltd,hospitals_clinics,,,,,,LinkedIn,2026-04-05
