business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
Airside Hotel,hotels,,+233 21 760480 / 783844,,https://airsidehotel.com.gh/,,OpenStreetMap,2026-04-05
Airport View Hotel,hotels,,,,,,OpenStreetMap/Google Maps,2026-04-05
Oak Plaza Hotel East Airport,hotels,"Spintex Road, Accra",,,https://www.oakplazahotel.com/,,OpenStreetMap,2026-04-05
Best Western Premier Airport Hotel,hotels,,,,,,OpenStreetMap,2026-04-05
Crown Appartmento Hotel,hotels,,,,,,OpenStreetMap,2026-04-05
Airport West Hotel,hotels,,,,,,OpenStreetMap/Google Maps,2026-04-05
Lavender Lodge,hotels,,,,,,OpenStreetMap,2026-04-05
Airport Grande,hotels,,,,,,OpenStreetMap,2026-04-05
Villa Monticello,hotels,,,,,,OpenStreetMap/LinkedIn,2026-04-05
Ibis Styles Hotel,hotels,,,,,,OpenStreetMap,2026-04-05
City Escape Hotel,hotels,,,,,,OpenStreetMap,2026-04-05
Esther's,hotels,,,,https://www.esthers-hotel.com/,,OpenStreetMap,2026-04-05
Kwarleyz Residence,hotels,"Kofi Atta Annan Street, Accra",,,https://www.the-ascott.com/en/ghana/accra/kwarleyz-residence-accra.html,,OpenStreetMap,2026-04-05
Accra Marriott Hotel,hotels,,+233 30 273 8000,,https://www.marriott.com/en-us/hotels/accmc-accra-marriott-hotel/overview/,,OpenStreetMap,2026-04-05
Sky Suites Airport Residential,hotels,"Kofi Annan St, Accra",0270997700,,www.skysuites.pro,,OpenStreetMap,2026-04-05
The Palms by Eagles,hotels,"Patrice Lumumba Road, Accra",+233 556 616 100,,https://www.eaglesghana.com/the-palms-by-eagles,,OpenStreetMap,2026-04-05
The Lennox Accra Luxury Apartments,hotels,,,,,,Google Maps,2026-04-05
Holiday Inn Accra Airport,hotels,,,,,,Google Maps,2026-04-05
Court Gardens,hotels,,,,,,OpenStreetMap,2026-04-05
G.S Plaza,hotels,,,,,,OpenStreetMap,2026-04-05
Catters Hostel,hotels,,,,,,OpenStreetMap,2026-04-05
TS Lodgings,hotels,"Mama Adjele Road, Accra",+233 050 600 3567,,tslodgings.com,,OpenStreetMap,2026-04-05
Parker Airport Resort,hotels,,,,,,OpenStreetMap,2026-04-05
The Cabin Hotel,hotels,,,,,,OpenStreetMap,2026-04-05
The Palms By Eagles Accra,hotels,"Patrice Lumumba Road, Accra",+233 556 616 100,,https://www.eaglesghana.com/the-palms-by-eagles,,OpenStreetMap,2026-04-05
Ange Hill Hotel,hotels,,,,,,OpenStreetMap,2026-04-05
Mirage Residence,hotels,,,,,,LinkedIn,2026-04-05
African Regent Hotel,hotels,,,,,,Google Maps,2026-04-05
