business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Powersoft System,it_companies,,Airport-Residential,,,,,LinkedIn,,N/A,2026-04-05
Wala Digital Health,it_companies,,Airport-Residential,,,,,LinkedIn,,N/A,2026-04-05
MTN Service Centre,it_companies,"Spintex Road, Accra",Airport-Residential,+233 24 430 0000,+233 24 430 0000,https://mtn.com.gh/,,OpenStreetMap,info@mtn.com.gh,Pattern Generated,2026-04-05
AT Ghana,it_companies,,Airport-Residential,+233 26 000 0100,+233 26 000 0100,https://www.at.com.gh/,,OpenStreetMap,info@at.com.gh,Pattern Generated,2026-04-05
Vodafone Ghana,it_companies,,Airport-Residential,,,,,Google Maps (estimated),,N/A,2026-04-05
Huawei,it_companies,,Airport-Residential,+233558222220,+233558222220,,,OpenStreetMap,,N/A,2026-04-05
Techland IT Solutions Limited Accra Ghana,it_companies,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Africa Works Accra @ Airport Residential,it_companies,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
CIS Ghana Ltd,it_companies,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Ghana Airports Company Limited - Head Office,it_companies,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Sandvik,it_companies,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Astra ERP,it_companies,,Airport-Residential,+233 244896544,+233 244896544,https://statelyhub.com,,OpenStreetMap,info@statelyhub.com,Pattern Generated,2026-04-05
PaySwitch,it_companies,,Airport-Residential,,,https://payswitch.com.gh/,,OpenStreetMap,info@payswitch.com.gh,Pattern Generated,2026-04-05
Surfline,it_companies,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Setmat Computer,it_companies,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Glo Ghana,it_companies,"Spintex Road, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Zylofon Cash,it_companies,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Microsoft Ghana,it_companies,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Google Ghana,it_companies,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
