business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
805 Restaurant,restaurants,"Third Close, Off Volta St, Accra, Ghana",Airport-Residential,+233 20 080 5805,+233 20 080 5805,805restaurants.com,,https://www.google.com/maps,info@805restaurants.com,Pattern Generated,2026-04-05
Tunnel Lounge,restaurants,"45 Kofi Annan St, Accra, Ghana",Airport-Residential,+233 55 155 6444,+233 55 155 6444,thetunnellounge.com,,https://www.google.com/maps,info@thetunnellounge.com,Pattern Generated,2026-04-05
Imperial Peking,restaurants,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Imperial Peking Chinese Restaurant,restaurants,"Ayisi Atta Close, Airport West, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
La Chaumière,restaurants,"Liberation Road, Airport Residential Area, Dzorwulu, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Maestro,restaurants,"Patrice Lumumba Road, Airport Residential Area, Dzorwulu, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Josie's Cuppa Cappuccino,restaurants,"Adomi Road, Airport Residential Area, Dzorwulu, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Gold Coast Restaurant & Bar,restaurants,"Kofi Atta Annan Street, Airport Residential Area, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Smollenskys Restaurant & Bar,restaurants,"Agostino Neto Close, Airport West, Dzorwulu, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
HSI Thai Restaurant,restaurants,"Osekere Road, North Dzorwulu, Dzorwulu, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Ando's Restaurant,restaurants,"Nii Nortey Nyanchi Street, North Dzorwulu, Dzorwulu, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Palace Chinese Restaurant,restaurants,"Nii Nortey Nyanchi Street, North Dzorwulu, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Santoku,restaurants,"Airport West Road, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Big Al's,restaurants,"Kofi Atta Annan Street, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
XO Restaurant & Bar,restaurants,"Airport Square, Accra",Airport-Residential,+233 26 764 1251,+233 26 764 1251,https://www.instagram.com/xo_ghana,,OpenStreetMap,info@instagram.com,Pattern Generated,2026-04-05
Sky Bar 25,restaurants,"Airport Road, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Alwaaba Lounge,restaurants,"Airport Road, Airport City, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Adinkra Lounge,restaurants,"Airport Road, Airport City, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Sanbra Lounge,restaurants,"Airport Road, Airport City, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Mari-Nate Restaurant and Bar,restaurants,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
The Landing Restaurant,restaurants,"Airport Road, Airport City, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Seoul Grill Restaurant,restaurants,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Galaxy Restaurant,restaurants,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Mandarin,restaurants,,Airport-Residential,+233 243132126,+233 243132126,,,OpenStreetMap,,N/A,2026-04-05
Azmera,restaurants,"Sir Arku Korsah Road, Accra",Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Poki House,restaurants,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Old Poki,restaurants,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Big Fish,restaurants,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Bush Kanteen,restaurants,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Yasmina,restaurants,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
de Chef,restaurants,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Ci Gusta,restaurants,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Antonio,restaurants,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Picaso,restaurants,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Michaelangelo,restaurants,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
