business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
Shoprite,supermarkets,,+233302823020,,,,OpenStreetMap,2026-04-05
Ridge Stop Over Supermarket,supermarkets,,,,,,OpenStreetMap,2026-04-05
Diplomatic Shop,supermarkets,,,,,,OpenStreetMap,2026-04-05
Melcom,supermarkets,,,,https://melcom.com,,OpenStreetMap,2026-04-05
Maa Gina,supermarkets,,,,,,OpenStreetMap,2026-04-05
Koala Shopping Centre,supermarkets,,,,,,OpenStreetMap,2026-04-05
Marina Mall,supermarkets,,,,,,OpenStreetMap,2026-04-05
2 Guys Supermarket,supermarkets,,,,,,OpenStreetMap,2026-04-05
Adjentes,supermarkets,,,,,,OpenStreetMap,2026-04-05
DSTv Shop,supermarkets,,,,,,OpenStreetMap,2026-04-05
Tax & Duty Free,supermarkets,,,,,,OpenStreetMap,2026-04-05
Food Lovers Market,supermarkets,,,,,,Google Maps,2026-04-05
Roberts & Sons,supermarkets,,,,,,Google Maps,2026-04-05
