lead_type,name,job_title,company_name,industry,linkedin_url,website,address,phone,email,employee_range,location,description,date_collected,source
Company,Geodrill,,Mining,https://www.linkedin.com/company/geodrillgh,,,,"11-50",Airport Residential Area Accra Ghana,"Leading West-African-Based Mineral Driller",2026-04-05,Yahoo Search
Company,Akka Kappa Ltd,,Real Estate,https://gh.linkedin.com/company/akkakappaghana,,,,"11-50",Airport Residential Area Accra,"The Real Estate Experts - Licensed Agency",2026-04-05,Yahoo Search
Company,Kass Towers,,Real Estate,https://gh.linkedin.com/company/kass-towers-airport-residential/,,,,,Airport Residential Area Accra,"Modern development near Kotoka International Airport",2026-04-05,Yahoo Search
Company,Africa10,,Technology,https://www.linkedin.com/company/africa10,"8 Amilcar Cabral Street",,,"11-50",Airport Residential Accra,Technology company in Airport Residential,2026-04-05,Yahoo Search
Company,Bijou Homes Ghana,,Real Estate,https://www.linkedin.com/company/bijou-homes-ghana,,,,,"11-50",Airport Residential Accra,Redefining modern living,2026-04-05,Yahoo Search
Company,Mirage Residence,,Hospitality,https://www.linkedin.com/company/mirage-residence,www.mirage.com.gh,"18 Senchi Street Airport Residential Area","+233 020 174 6033",,"11-50",Accra Ghana,Hotel Concept Apartments,2026-04-05,Yahoo Search
Company,Villa Monticello,,Hospitality,https://www.linkedin.com/company/villa-monticello,,,,,"11-50",Airport Residential Area Accra,Ghana premier boutique hotel,2026-04-05,Yahoo Search
Company,Truman Universal,,Investment,https://gh.linkedin.com/company/truman-universal,,,,,Airport Residential Accra,Fastest growing investment group in West Africa,2026-04-05,Yahoo Search
Company,OMA Group in Africa,,Engineering,https://ci.linkedin.com/company/omagroup-africa,,,,,"201-500",Accra Ghana,HQ in Accra - ISO certified,2026-04-05,Yahoo Search
Company,LVSafrica,,Business Consulting,https://gh.linkedin.com/company/lvsafrica,,,,,"11-50",Airport Residential Area Greater Accra,Enterprise Development Doctors,2026-04-05,Yahoo Search
Company,ASPIRx Group,,Real Estate,https://gh.linkedin.com/company/aspirx-group,"Odoi Kwao St No 3",,,"11-50",Airport Residential Area Accra,Healthcare infrastructure real estate and renewables,2026-04-05,Yahoo Search
Company,Powersoft System,,Information Technology,https://gh.linkedin.com/company/powersoftsystem1,,,,,"11-50",Airport-Residential Accra Ghana,Software company - HR Payroll Accounting,2026-04-05,Yahoo Search
Company,Old Mutual Ghana,,Financial Services,https://gh.linkedin.com/company/old-mutual-gh,,,,,"201-500",Airport Residential Area Accra,Life Assurance Company since 2013,2026-04-05,Yahoo Search
Company,Sunshine Healthcare Ltd,,Healthcare,https://sn.linkedin.com/company/sunshine-healthcare-ltd,,,,,"11-50",Airport Residential Area Accra,Excellence in Diagnostics,2026-04-05,Yahoo Search
