business_name,category,niche,address,city,phone,phone_2,website,email,whatsapp,social_media,contact_person,date_collected,source,source_url
Embassy of Spain,"Embassy/Diplomatic","Embassy","Drake Close","Accra","+233 302 77 40 04","","http://www.exteriores.gob.es/Embajadas/ACCRA","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Chile,"Embassy/Diplomatic","Embassy","Agbaamo Street 10","Accra","+233 302797942","","https://chile.gob.cl/ghana","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Peru,"Embassy/Diplomatic","Embassy","Sir Arku Korsah Road 25","Accra","+233 303 93 81 17","","https://www.gob.pe/embajada-del-peru-en-ghana","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Colombia,"Embassy/Diplomatic","Embassy","Sir Arku Korsah Road 25","Accra","+233 302798701","","https://ghana.embajada.gov.co","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Mexico,"Embassy/Diplomatic","Embassy","Sir Arku Korsah Road 25","Accra","+233 0302 789 320","","https://chile.gob.cl/ghana","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Angola,"Embassy/Diplomatic","Embassy","Agbaamo Street 5","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Zimbabwe,"Embassy/Diplomatic","Embassy","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Cuba,"Embassy/Diplomatic","Embassy","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Egypt,"Embassy/Diplomatic","Embassy","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Brazil,"Embassy/Diplomatic","Embassy","Templesi Lane 1","Accra","+233 302 774908","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Vatican,"Embassy/Diplomatic","Embassy","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Saudi Arabia,"Embassy/Diplomatic","Embassy","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Sudan,"Embassy/Diplomatic","Embassy","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Ethiopia,"Embassy/Diplomatic","Embassy","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Liberia,"Embassy/Diplomatic","Embassy","Odoi Kwao Street 34","Accra","+233 302775641","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Palestine,"Embassy/Diplomatic","Embassy","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Embassy of Iran,"Embassy/Diplomatic","Embassy","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
