business_name,niche,address,phone,whatsapp,website,email,social_profiles,email_validation_status,date_enriched,source_urls
Capitol Cafe & Restaurant,Restaurant / Cafe,"5th Circular Rd. 19, Cantonments",+233 55 6975553,Not Available,https://capitolgh.com,info@capitolgh.com,"https://facebook.com/capitolgh, https://instagram.com/capitolgh",Pending Validation,2025-06-27,https://capitolgh.com/contact
The Pelican Hotel,Hotel / Lodging,"Cantonments Road, Adjacent to EU Office",+233 30 276 1040,Not Available,https://www.thepelicanhotel.com,info@thepelicanhotel.com,https://facebook.com/thepelicanhotel,Pending Validation,2025-06-27,https://www.thepelicanhotel.com/contact-us.html
Midindi Hotel,Hotel / Lodging,"19A, First Circular Road, East Cantonments",+233 302 770 007,Not Available,https://www.midindihotel.com,Not Available,Not Available,N/A,2025-06-27,https://www.midindihotel.com/contact
The Gold Coast Restaurant & Cocktail Bar,Restaurant / Bar,"32 Fifth Avenue Ext., Cantonments",0302799834,Not Available,https://tgcrestaurant.com,Not Available,https://facebook.com/thegoldcoastaccra,N/A,2025-06-27,https://tgcrestaurant.com
The Bank Hospital (Dental Dept),Hospital / Dental Clinic,"Block F6, Shippi Road, Cantonments",0302 739 373,Not Available,https://thebankhospital.com,info@thebankhospital.com,Not Available,Pending Validation,2025-06-27,https://thebankhospital.com/department/dental-department
East Cantonments Pharmacy Ltd,Pharmacy,"H/no. 123 Giffard Road, East Cantonments",+233 302 772 620,Yes (+233 501607191),https://ecpl.com.gh,Not Available,https://facebook.com/ecplpharmacy,N/A,2025-06-27,https://ecpl.com.gh
Kimathi and Partners,Law Firm,"Airport Road, P.O. Box CT 6217, Cantonments",+233 (0)247960465,Not Available,https://www.kimathilegal.com,kimathi@kimathilegal.com,https://linkedin.com/company/kimathi-partners,Pending Validation,2025-06-27,https://www.kimathilegal.com/contact.html
Stobe Law,Law Firm,"279/9, 4th Dade Lane Labone, P.O. Box CT 10100, Cantonments",(+233) 5555 STOBE,Not Available,https://www.stobelaw.com,info@stobelaw.com,Not Available,Pending Validation,2025-06-27,https://www.stobelaw.com/9/contact-us
Ghana International School (GIS),International School,"2nd Circular Road, Cantonments, P.O.Box GP 2856",Not Available,Not Available,https://gis.edu.gh,prinoffice@gis.edu.gh,Not Available,Pending Validation,2025-06-27,https://gis.edu.gh/contact-us
Safari School,International School,"7 Ndabaningi Sithole Street, Cantonments",0550009555,Not Available,https://safarischool.edu.gh,cantonments@safarischool.edu.gh,Not Available,Pending Validation,2025-06-27,https://safarischool.edu.gh/contact
Foy International School,International School,"64 Angola Road, Osu Cantonment",+233 024 331 8341,Not Available,https://foyinternationalschoolghana.com,Support@foyinternationalschoolghana.com,Not Available,Pending Validation,2025-06-27,https://foyinternationalschoolghana.com/contact
Lincoln Community School,International School,"#126/21 Reindolf Road, PMB CT 354, Cantonments",+233 302 218 100,Not Available,https://www.lincoln.edu.gh,Not Available,Not Available,N/A,2025-06-27,https://www.lincoln.edu.gh/about-us/contact-us
EY Ghana,Accounting / Audit Firm,"60 Rangoon Lane, Cantonments City",0302772001,Not Available,https://www.ey.com/en_gl/locations/ghana,Not Available,Not Available,N/A,2025-06-27,https://www.ey.com/en_gl/locations/ghana
Crowe Veritas,Accounting / Audit Firm,"Cantonments, Accra",+233 (0) 302 243 952,Not Available,https://www.crowe.com/gh,info@crowe.com.gh,Not Available,Pending Validation,2025-06-27,https://www.crowe.com/gh/contact-us
Morrisons & Associates,Accounting / Audit Firm,"2nd Floor, Trinity House, Ring Road East, P.O. Box CT 2890, Cantonments",+233 (0) 20 224 5500,Not Available,https://www.morrisonassociatesgh.com,Not Available,Not Available,N/A,2025-06-27,https://www.morrisonassociatesgh.com/contact-us
Transcend Chartered Accountants,Accounting / Audit Firm,"9th Floor, Emporium, Movenpick Hotel, Independence Avenue, P.O. Box CT 3287, Cantonments",+233-302 633 220,Not Available,https://www.transcendgh.com,Not Available,Not Available,N/A,2025-06-27,https://www.transcendgh.com
Wisdom Accounting Consult,Accounting / Tax Consultancy,"P.O. Box CT. 10783, Cantonment, Accra",0244 125075,Not Available,https://www.wisdomaccountingconsult.com,info@wisdomaccountingconsult.com,Not Available,Pending Validation,2025-06-27,https://www.wisdomaccountingconsult.com/contact
Allianz Insurance Company Ghana,Insurance Company,"PMB CT 353, Cantonments",+233 (0)302 764 893-94,Not Available,https://allianzghana.com,allianz.ghana@allianz-ghana.com,Not Available,Pending Validation,2025-06-27,https://ghanainsurers.org.gh/allianz-insurance-company-gh-ltd
Bethel Properties Ghana,Real Estate Agency,"Near East Legon Police Station, Cantonments",+233(0)302 903460,Not Available,https://www.bethelpropertiesgh.com,info@bethelpropertiesgh.com,Not Available,Pending Validation,2025-06-27,https://www.bethelpropertiesgh.com/contact
Real Estate Agency Council (REAC),Real Estate Regulation,"Cantonments, Accra",+233 (0) 302 773 339,Not Available,https://reac.gov.gh,info@reac.gov.gh,Not Available,Pending Validation,2025-06-27,https://reac.gov.gh/contact-support
Goldkey Ghana,Real Estate / Property Management,"PO Box 8743, Accra North, Ghana",055 588 7777,Not Available,https://goldkeygroupgh.com,info@goldkeygh.com,Not Available,Pending Validation,2025-06-27,https://goldkeygroupgh.com/contact-us
Niobe Salon & Spa,Spa / Salon,"39 La Tebu Crescent, East Cantonments",0242 426 237,Not Available,https://www.niobebeauty.com,Not Available,https://instagram.com/niobesalonspa,N/A,2025-06-27,https://www.niobebeauty.com/our-locations
The Savannah Outdoor Garden,Event Venue / Garden,"90 Giffard Rd, East Cantonments",+233 30 276 6917,Not Available,https://www.savannahgh.com,Not Available,Not Available,N/A,2025-06-27,https://www.savannahgh.com
PlanIt Events,Event Planning,"PMB CT 71, Cantonments",+233 302 939026,Not Available,https://www.planitghana.com,info@planitghana.com,Not Available,Pending Validation,2025-06-27,https://www.planitghana.com
Lionheart Events,Event Planning,"Accra, Ghana",+233 (0) 54 432 9199,Not Available,https://www.lionheartevents.com,info@lionheartevents.com,Not Available,Pending Validation,2025-06-27,https://www.lionheartevents.com
PHD Media Ghana,Marketing / Media Agency,"71 Ndabaningi Sithole Street, Labone",+233 24 304 7540,Not Available,https://www.phdmedia.com/ghana,Not Available,Not Available,N/A,2025-06-27,https://www.phdmedia.com/ghana
Nomad Advertising,Marketing / Communications Agency,"Accra, Ghana",+233 53 051 8981,Not Available,https://www.thenomad.agency,ghana@thenomad.agency,Not Available,Pending Validation,2025-06-27,https://www.thenomad.agency
Koala Supermarket,Supermarket / Grocery,"Cantonments, Accra",024 360 7080,Not Available,Not Available,Not Available,https://facebook.com/KoalaGhana,N/A,2025-06-27,https://facebook.com/KoalaGhana
Maxmart Cantonments,Supermarket / Grocery,"5th Circular Rd, Cantonments",059 488 5587,Not Available,https://maxmartonline.com,Not Available,https://facebook.com/MaxMartGhana,N/A,2025-06-27,https://maxmartonline.com
Securities and Exchange Commission,Financial Services / Regulation,"No. 30, 3rd Circular Road, Cantonments",+233-302-768970-2,Not Available,https://sec.gov.gh,Not Available,Not Available,N/A,2025-06-27,https://sec.gov.gh
