business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Capitol Cafe & Restaurant,Restaurant / Cafe,"5th Circular Rd. 19, Cantonments",Cantonments,+233 55 6975553,+233 55 6975553,https://capitolgh.com,"https://facebook.com/capitolgh, https://instagram.com/capitolgh",Not Available,info@capitolgh.com,Pattern Generated,2025-06-27
The Pelican Hotel,Hotel / Lodging,"Cantonments Road, Adjacent to EU Office",Cantonments,+233 30 276 1040,+233 30 276 1040,https://www.thepelicanhotel.com,https://facebook.com/thepelicanhotel,Not Available,info@thepelicanhotel.com,Pattern Generated,2025-06-27
Midindi Hotel,Hotel / Lodging,"19A, First Circular Road, East Cantonments",Cantonments,+233 302 770 007,+233 302 770 007,https://www.midindihotel.com,Not Available,Not Available,info@midindihotel.com,Pattern Generated,2025-06-27
Hilton Accra Cantonments,Hotel / Lodging (Coming Soon),"Plot 8 5th Link Circular Road, Cantonments",Cantonments,,,https://www.hilton.com/en/hotels/acctshi-hilton-accra-cantonments,Not Available,Not Available,info@hilton.com,Pattern Generated,2025-06-27
The Gold Coast Restaurant & Cocktail Bar,Restaurant / Bar,"32 Fifth Avenue Ext., Cantonments",Cantonments,+233 302799834,+233 302799834,https://tgcrestaurant.com,https://facebook.com/thegoldcoastaccra,Not Available,info@tgcrestaurant.com,Pattern Generated,2025-06-27
The Bank Hospital (Dental Dept),Hospital / Dental Clinic,"Block F6, Shippi Road, Cantonments",Cantonments,+233 302 739 373,+233 302 739 373,https://thebankhospital.com,Not Available,Not Available,info@thebankhospital.com,Pattern Generated,2025-06-27
Police Hospital,Hospital,Cantonments,Cantonments,,,Not Available,Not Available,Not Available,,N/A,2025-06-27
East Cantonments Pharmacy Ltd,Pharmacy,"H/no. 123 Giffard Road, East Cantonments",Cantonments,+233 302 772 620,Yes (+233 501607191),https://ecpl.com.gh,https://facebook.com/ecplpharmacy,Not Available,info@ecpl.com.gh,Pattern Generated,2025-06-27
Kimathi and Partners,Law Firm,"Airport Road, P.O. Box CT 6217, Cantonments",Cantonments,+233 (0)247960465,+233 (0)247960465,https://www.kimathilegal.com,https://linkedin.com/company/kimathi-partners,Not Available,info@kimathilegal.com,Pattern Generated,2025-06-27
Stobe Law,Law Firm,"279/9, 4th Dade Lane Labone, P.O. Box CT 10100, Cantonments",Cantonments,(+233) 5555 STOBE,(+233) 5555 STOBE,https://www.stobelaw.com,Not Available,Not Available,info@stobelaw.com,Pattern Generated,2025-06-27
