business_name,industry,email,phone,website,location,source_url,source_type,email_validation_status,date_collected
Capitol Cafe & Restaurant,Restaurant / Cafe,info@capitolgh.com,+233 55 6975553,https://capitolgh.com,"5th Circular Rd. 19, Cantonments, Accra",https://capitolgh.com/contact,Business Website,Pending Validation,2025-06-27
The Pelican Hotel,Hotel / Lodging,info@thepelicanhotel.com,+233 30 276 1040,https://www.thepelicanhotel.com,"Cantonments Road, Adjacent to EU Office, Accra",https://www.thepelicanhotel.com/contact-us.html,Business Website,Pending Validation,2025-06-27
The Gold Coast Restaurant & Cocktail Bar,Restaurant / Bar,Not Available,0302799834,https://tgcrestaurant.com,"32 Fifth Avenue Ext., Cantonments, Accra",https://tgcrestaurant.com,Business Website,N/A,2025-06-27
The Bank Hospital,Hospital / Dental,info@thebankhospital.com,0302 739 373,https://thebankhospital.com,"Block F6, Shippi Road, Cantonments, Accra",https://thebankhospital.com/department/dental-department,Business Website,Pending Validation,2025-06-27
Kimathi and Partners,Law Firm,kimathi@kimathilegal.com,+233 (0)247960465,https://www.kimathilegal.com,"Airport Road, P.O. Box CT 6217, Cantonments, Accra",https://www.kimathilegal.com/contact.html,Business Website,Pending Validation,2025-06-27
Stobe Law,Law Firm,info@stobelaw.com,(+233) 5555 STOBE,https://www.stobelaw.com,"P.O. Box CT 10100, Cantonments, Accra",https://www.stobelaw.com/9/contact-us,Business Website,Pending Validation,2025-06-27
Ghana International School,International School,prinoffice@gis.edu.gh,Not Available,https://gis.edu.gh,"2nd Circular Road, Cantonments, Accra",https://gis.edu.gh/contact-us,Business Website,Pending Validation,2025-06-27
Safari School,International School,cantonments@safarischool.edu.gh,0550009555,https://safarischool.edu.gh,"7 Ndabaningi Sithole Street, Cantonments, Accra",https://safarischool.edu.gh/contact,Business Website,Pending Validation,2025-06-27
Foy International School,International School,Support@foyinternationalschoolghana.com,+233 024 331 8341,https://foyinternationalschoolghana.com,"64 Angola Road, Osu Cantonment, Accra",https://foyinternationalschoolghana.com/contact,Business Website,Pending Validation,2025-06-27
Crowe Veritas,Accounting / Audit,info@crowe.com.gh,+233 (0) 302 243 952,https://www.crowe.com/gh,"Cantonments, Accra",https://www.crowe.com/gh/contact-us,Business Website,Pending Validation,2025-06-27
Wisdom Accounting Consult,Accounting / Tax,info@wisdomaccountingconsult.com,0244 125075,https://www.wisdomaccountingconsult.com,"P.O. Box CT. 10783, Cantonment, Accra",https://www.wisdomaccountingconsult.com/contact,Business Website,Pending Validation,2025-06-27
Allianz Insurance Company Ghana,Insurance,allianz.ghana@allianz-ghana.com,+233 (0)302 764 893-94,https://allianzghana.com,"PMB CT 353, Cantonments, Accra",https://ghanainsurers.org.gh/allianz-insurance-company-gh-ltd,Professional Directory,Pending Validation,2025-06-27
Bethel Properties Ghana,Real Estate,info@bethelpropertiesgh.com,+233(0)302 903460,https://www.bethelpropertiesgh.com,"Near East Legon Police Station, Cantonments, Accra",https://www.bethelpropertiesgh.com/contact,Business Website,Pending Validation,2025-06-27
Real Estate Agency Council,Real Estate Regulation,info@reac.gov.gh / license@reac.gov.gh,+233 (0) 302 773 339,https://reac.gov.gh,"Cantonments, Accra",https://reac.gov.gh/contact-support,Government Website,Pending Validation,2025-06-27
Goldkey Ghana,Real Estate / Property Mgmt,info@goldkeygh.com,055 588 7777,https://goldkeygroupgh.com,"Accra, Ghana",https://goldkeygroupgh.com/contact-us,Business Website,Pending Validation,2025-06-27
PlanIt Events,Event Planning,info@planitghana.com,+233 302 939026,https://www.planitghana.com,"PMB CT 71, Cantonments, Accra",https://www.planitghana.com,Business Website,Pending Validation,2025-06-27
Lionheart Events,Event Planning,info@lionheartevents.com,+233 (0) 54 432 9199,https://www.lionheartevents.com,"Accra, Ghana",https://www.lionheartevents.com,Business Website,Pending Validation,2025-06-27
Nomad Advertising,Marketing / Communications,ghana@thenomad.agency,+233 53 051 8981,https://www.thenomad.agency,"Accra, Ghana",https://www.thenomad.agency,Business Website,Pending Validation,2025-06-27
