business_name,industry,email,phone,website,location,source_url,source_type,email_validation_status,date_collected
Capitol Cafe & Restaurant,Restaurant / Cafe,info@capitolgh.com,+233 55 6975553,https://capitolgh.com,"5th Circular Rd. 19, Cantonments, Accra",https://capitolgh.com/contact,Business Website,Pending Validation,2025-06-27
The Pelican Hotel,Hotel / Lodging,info@thepelicanhotel.com,+233 30 276 1040,https://www.thepelicanhotel.com,"Cantonments Road, Adjacent to EU Office, Accra",https://www.thepelicanhotel.com/contact-us.html,Business Website,Pending Validation,2025-06-27
Midindi Hotel,Hotel / Lodging,Not Available,+233 302 770 007,https://www.midindihotel.com,"19A, First Circular Road, East Cantonments, Accra",https://www.midindihotel.com/contact,Business Website,N/A,2025-06-27
The Gold Coast Restaurant & Cocktail Bar,Restaurant / Bar,Not Available,0302799834 / 0242500847,https://tgcrestaurant.com,"32 Fifth Avenue Ext., Cantonments, Accra",https://tgcrestaurant.com,Business Website,N/A,2025-06-27
The Bank Hospital,Hospital / Dental,info@thebankhospital.com,0302 739 373,https://thebankhospital.com,"Block F6, Shippi Road, Cantonments, Accra",https://thebankhospital.com/department/dental-department,Business Website,Pending Validation,2025-06-27
East Cantonments Pharmacy Ltd,Pharmacy,Not Available,+233 302 772 620 / +233 50130 60 71 92,https://ecpl.com.gh,"H/no. 123 Giffard Road, East Cantonments, Accra",https://ecpl.com.gh,Business Website,N/A,2025-06-27
Kimathi and Partners,Law Firm,kimathi@kimathilegal.com,+233 (0)247960465,https://www.kimathilegal.com,"Airport Road, P.O. Box CT 6217, Cantonments, Accra",https://www.kimathilegal.com/contact.html,Business Website,Pending Validation,2025-06-27
Stobe Law,Law Firm,info@stobelaw.com,(+233) 5555 STOBE,https://www.stobelaw.com,"P.O. Box CT 10100, Cantonments, Accra",https://www.stobelaw.com/9/contact-us,Business Website,Pending Validation,2025-06-27
Ghana International School,International School,prinoffice@gis.edu.gh,Not Available,https://gis.edu.gh,"2nd Circular Road, Cantonments, Accra",https://gis.edu.gh/contact-us,Business Website,Pending Validation,2025-06-27
Safari School,International School,cantonments@safarischool.edu.gh,0550009555 / 0550009977,https://safarischool.edu.gh,"7 Ndabaningi Sithole Street, Cantonments, Accra",https://safarischool.edu.gh/contact,Business Website,Pending Validation,2025-06-27
Foy International School,International School,Support@foyinternationalschoolghana.com,+233 024 331 8341,https://foyinternationalschoolghana.com,"64 Angola Road, Osu Cantonment, Accra",https://foyinternationalschoolghana.com/contact,Business Website,Pending Validation,2025-06-27
Lincoln Community School,International School,Not Available,+233 302 218 100,https://www.lincoln.edu.gh,"#126/21 Reindolf Road, PMB CT 354, Cantonments, Accra",https://www.lincoln.edu.gh/about-us/contact-us,Business Website,N/A,2025-06-27
EY Ghana,Accounting / Audit,Not Available,0302772001 / 0302772091,https://www.ey.com/en_gl/locations/ghana,"60 Rangoon Lane, Cantonments City, Accra",https://www.ey.com/en_gl/locations/ghana,Business Website,N/A,2025-06-27
Crowe Veritas,Accounting / Audit,info@crowe.com.gh,+233 (0) 302 243 952 / +233 (0) 508 349 942,https://www.crowe.com/gh,"Cantonments, Accra",https://www.crowe.com/gh/contact-us,Business Website,Pending Validation,2025-06-27
Morrisons & Associates,Accounting / Audit,Not Available,+233 (0) 20 224 5500,https://www.morrisonassociatesgh.com,"2nd Floor, Trinity House, Ring Road East, Cantonments, Accra",https://www.morrisonassociatesgh.com/contact-us,Business Website,N/A,2025-06-27
Transcend Chartered Accountants,Accounting / Audit,Not Available,+233-302 633 220,https://www.transcendgh.com,"9th Floor, Emporium, Movenpick Hotel, Cantonments, Accra",https://www.transcendgh.com,Business Website,N/A,2025-06-27
Wisdom Accounting Consult,Accounting / Tax,info@wisdomaccountingconsult.com,0244 125075 / 0201-511 111,https://www.wisdomaccountingconsult.com,"P.O. Box CT. 10783, Cantonment, Accra",https://www.wisdomaccountingconsult.com/contact,Business Website,Pending Validation,2025-06-27
Heritage Energy Insurance,Insurance,Not Available,0302 769789 / 768463,Not Available,"P.O. Box CI 6342, Cantonments, Accra",https://nicgh.org/insurers-reinsurers/non-life-companies,Professional Directory,N/A,2025-06-27
Allianz Insurance Company Ghana,Insurance,allianz.ghana@allianz-ghana.com,+233 (0)302 764 893-94,https://allianzghana.com,"PMB CT 353, Cantonments, Accra",https://ghanainsurers.org.gh/allianz-insurance-company-gh-ltd,Professional Directory,Pending Validation,2025-06-27
SIC Life Insurance,Insurance,Not Available,+233-302-678130 / 662317,https://mysiclife.com,"No. 1 Jones Nelson Close, PO Box CT3242, Cantonments, Accra",https://mysiclife.com/index.php/homepage/company-profile/branch-networks,Business Website,N/A,2025-06-27
Bethel Properties Ghana,Real Estate,info@bethelpropertiesgh.com,+233(0)302 903460 / +233(0)20 1415760,https://www.bethelpropertiesgh.com,"Near East Legon Police Station, Cantonments, Accra",https://www.bethelpropertiesgh.com/contact,Business Website,Pending Validation,2025-06-27
