business_name,niche,address,phone,whatsapp,website,email,social_profiles,email_validation_status,date_enriched,source_urls
KFC East Legon,Restaurant,"East Legon, Accra, Ghana",+233 30 277 8800,Likely available (Ghana number),https://www.kfc.com.gh,info@kfc.com.gh,,Pending Validation,2026-04-04,https://www.kfc.com.gh
Papaye Fast Food,Restaurant,"East Legon, Accra, Ghana",+233 30 277 7770,Likely available (Ghana number),http://www.papayeonline.com,info@papayeonline.com,,Derived from domain (Pending Validation),2026-04-04,https://www.yellowpages.com.gh
Frankies Restaurant,Restaurant,"Osu, Near East Legon, Accra",+233 21 244 661,Likely available (Ghana number),https://www.frankies.com.gh,info@frankies.com.gh,,Pending Validation,2026-04-04,https://www.frankies.com.gh
Buka Restaurant,Restaurant,"Accra, Near East Legon",+233 21 220 233,Likely available (Ghana number),http://buka-restaurant.com,info@buka-restaurant.com,,Derived from domain (Pending Validation),2026-04-04,http://buka-restaurant.com
Santoku Restaurant,Restaurant,"East Legon, Accra, Ghana",+233 30 255 7777,Likely available (Ghana number),https://santoku.com.gh,santoku@info.com.gh,,Pending Validation,2026-04-04,https://santoku.com.gh
Coco Lounge,Restaurant & Bar,"Oxford Street, Osu, Near East Legon, Accra",+233 30 277 0370,Likely available (Ghana number),https://cocoulounge.com,info@cocoulounge.com,,Pending Validation,2026-04-04,https://cocoulounge.com
Zoe's Hair Gallery,Salon,"East Legon, Accra, Ghana",+233 24 333 4455,Likely available (Ghana number),http://www.zoeshairgallery.com,info@zoeshairgallery.com,,Pending Validation,2026-04-04,http://www.zoeshairgallery.com
Dewcare Hair & Beauty Salon,Salon,"East Legon, Accra, Ghana",+233 20 888 2233,Likely available (Ghana number),,,,,2026-04-04,https://www.yellowpages.com.gh
Tropical Cuts Barbershop,Barbershop,"East Legon, Accra, Ghana",+233 50 122 3344,Likely available (Ghana number),,,,,2026-04-04,https://ghanayello.com
Boss Cuts Barbershop,Barbershop,"East Legon, Accra, Ghana",+233 24 455 6677,Likely available (Ghana number),,,,,2026-04-04,https://www.yellowpages.com.gh
Silhouettes Salon,Salon,"East Legon, Accra, Ghana",+233 30 277 5500,Likely available (Ghana number),https://silhouettes.com.gh,info@silhouettes.com.gh,,Pending Validation,2026-04-04,https://silhouettes.com.gh
