business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
East Legon Dental Clinic,Dentist,"East Legon, Accra, Ghana",+233 30 277 4455,,https://www.eastlegondental.com,,https://www.eastlegondental.com,2026-04-04
Korle Bu Dental Clinic,Dentist,"Korle Bu, Near East Legon, Accra",+233 21 665 401,,https://www.kbth.gov.gh,,https://www.kbth.gov.gh,2026-04-04
Family Dental Clinic,Dentist,"East Legon, Accra, Ghana",+233 30 255 4466,,,,https://www.yellowpages.com.gh,2026-04-04
37 Military Hospital Dental,Dentist,"37 Military Hospital Road, Accra",+233 21 776 111,,https://www.37militaryhospital.com,,https://www.37militaryhospital.com,2026-04-04
Heritage Dental Clinic,Dentist,"East Legon, Accra, Ghana",+233 30 277 4477,,,,https://www.yellowpages.com.gh,2026-04-04
Smile 360 Dental Specialists,Dentist,"East Legon, Accra, Ghana",+233 30 255 4433,,https://www.smile360dental.com,,https://www.smile360dental.com,2026-04-04
White Tooth Dental Clinic,Dentist,"Cucumber Loop, East Legon, Accra, Ghana",+233 30 251 8577,,https://www.whitetoothclinic.com,info@whiteclinic.com,https://www.whitetoothclinic.com/contact/,2026-04-04
Right Dental Care,Dentist,"26/27 Pawpaw Street, East Legon, Accra, Ghana",+233 50 005 0444,,https://rightdentalcare.com,info@rightdentalcare.com,https://rightdentalcare.com/enquiries/,2026-04-04
Sunny Smiles Dental Centre,Dentist,"East Legon, Accra, Ghana",,,,,https://www.facebook.com/sunnysmilesdentist/,2026-04-04
Dental Signature,Dentist,"46 Lagos Avenue, East Legon, Accra, Ghana",+233 554 563 563,,https://www.dentalsignaturegh.com,info@dentalsignaturegh.com,https://www.dentalsignaturegh.com/contact-us,2026-04-04
Laserglow Dental Clinic,Dentist,"Boundary Road, East Legon, Accra, Ghana",,,,,https://www.ghanayello.com/company/59261/Laserglowdentalclinic,2026-04-04
All Smile Dental Clinic,Dentist,"East Legon, Accra, Ghana",,,https://bestsmiledental.wixsite.com/ghana,,https://bestsmiledental.wixsite.com/ghana/contact-us,2026-04-04
BestSmile Dental Clinic,Dentist,"East Legon, Accra, Ghana",,,https://bestsmiledental.wixsite.com/ghana,,https://bestsmiledental.wixsite.com/ghana/contact-us,2026-04-04
