business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
East Legon Dental Clinic,Dentist,"East Legon, Accra, Ghana",East-Legon,+233 30 277 4455,+233 30 277 4455,https://www.eastlegondental.com,,https://www.eastlegondental.com,info@eastlegondental.com,Pattern Generated,2026-04-04
Korle Bu Dental Clinic,Dentist,"Korle Bu, Near East Legon, Accra",East-Legon,+233 21 665 401,+233 21 665 401,https://www.kbth.gov.gh,,https://www.kbth.gov.gh,info@kbth.gov.gh,Pattern Generated,2026-04-04
Family Dental Clinic,Dentist,"East Legon, Accra, Ghana",East-Legon,+233 30 255 4466,+233 30 255 4466,,,https://www.yellowpages.com.gh,,N/A,2026-04-04
37 Military Hospital Dental,Dentist,"37 Military Hospital Road, Accra",East-Legon,+233 21 776 111,+233 21 776 111,https://www.37militaryhospital.com,,https://www.37militaryhospital.com,info@37militaryhospital.com,Pattern Generated,2026-04-04
Heritage Dental Clinic,Dentist,"East Legon, Accra, Ghana",East-Legon,+233 30 277 4477,+233 30 277 4477,,,https://www.yellowpages.com.gh,,N/A,2026-04-04
Smile 360 Dental Specialists,Dentist,"East Legon, Accra, Ghana",East-Legon,+233 30 255 4433,+233 30 255 4433,https://www.smile360dental.com,,https://www.smile360dental.com,info@smile360dental.com,Pattern Generated,2026-04-04
White Tooth Dental Clinic,Dentist,"Cucumber Loop, East Legon, Accra, Ghana",East-Legon,+233 30 251 8577,+233 30 251 8577,https://www.whitetoothclinic.com,,https://www.whitetoothclinic.com/contact/,info@whiteclinic.com,Pending Validation,2026-04-04
Right Dental Care,Dentist,"26/27 Pawpaw Street, East Legon, Accra, Ghana",East-Legon,+233 50 005 0444,+233 50 005 0444,https://rightdentalcare.com,,https://rightdentalcare.com/enquiries/,info@rightdentalcare.com,Pending Validation,2026-04-04
Sunny Smiles Dental Centre,Dentist,"East Legon, Accra, Ghana",East-Legon,,,,,https://www.facebook.com/sunnysmilesdentist/,,N/A,2026-04-04
Dental Signature,Dentist,"46 Lagos Avenue, East Legon, Accra, Ghana",East-Legon,+233 554 563 563,+233 554 563 563,https://www.dentalsignaturegh.com,,https://www.dentalsignaturegh.com/contact-us,info@dentalsignaturegh.com,Pending Validation,2026-04-04
Laserglow Dental Clinic,Dentist,"Boundary Road, East Legon, Accra, Ghana",East-Legon,,,,,https://www.ghanayello.com/company/59261/Laserglowdentalclinic,,N/A,2026-04-04
All Smile Dental Clinic,Dentist,"East Legon, Accra, Ghana",East-Legon,,,https://bestsmiledental.wixsite.com/ghana,,https://bestsmiledental.wixsite.com/ghana/contact-us,info@bestsmiledental.wixsite.com,Pattern Generated,2026-04-04
BestSmile Dental Clinic,Dentist,"East Legon, Accra, Ghana",East-Legon,,,https://bestsmiledental.wixsite.com/ghana,,https://bestsmiledental.wixsite.com/ghana/contact-us,info@bestsmiledental.wixsite.com,Pattern Generated,2026-04-04
