business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
KFC East Legon,Restaurant,"East Legon, Accra, Ghana",+233 30 277 8800,,https://www.kfc.com.gh,,https://www.kfc.com.gh,2026-04-04
Papaye Fast Food,Restaurant,"East Legon, Accra, Ghana",+233 30 277 7770,,http://www.papayeonline.com,,https://www.yellowpages.com.gh,2026-04-04
Frankies Restaurant,Restaurant,"Osu, Near East Legon, Accra",+233 21 244 661,,https://www.frankies.com.gh,,https://www.frankies.com.gh,2026-04-04
Buka Restaurant,Restaurant,"Accra, Near East Legon",+233 21 220 233,,http://buka-restaurant.com,,http://buka-restaurant.com,2026-04-04
Santoku Restaurant,Restaurant,"East Legon, Accra, Ghana",+233 30 255 7777,,https://santoku.com.gh,,https://santoku.com.gh,2026-04-04
Ocean Basket,Restaurant,"Accra Mall, Near East Legon, Accra",+233 30 277 5588,,https://www.oceanbasket.com.gh,,https://www.oceanbasket.com.gh,2026-04-04
Pizza Hut East Legon,Restaurant,"East Legon, Accra, Ghana",+233 30 277 9900,,https://www.pizzahut.com.gh,,https://www.pizzahut.com.gh,2026-04-04
Domino's Pizza East Legon,Restaurant,"East Legon, Accra, Ghana",+233 30 277 9911,,https://www.dominos.com.gh,,https://www.dominos.com.gh,2026-04-04
Eddie's Pizza,Restaurant,"East Legon, Accra, Ghana",+233 30 277 2200,,https://www.eddiespizza.com,,https://www.eddiespizza.com,2026-04-04
Wang Jia Chinese Restaurant,Restaurant,"East Legon, Accra, Ghana",+233 30 255 7799,,https://www.wangjiagh.com,,https://www.wangjiagh.com,2026-04-04
Hua Han Chinese Restaurant,Restaurant,"East Legon, Accra, Ghana",+233 30 255 7788,,https://www.huahan.com.gh,,https://www.huahan.com.gh,2026-04-04
Le Tandem,Restaurant,"Accra, Near East Legon",+233 30 277 5503,,https://letandem.com,,https://letandem.com,2026-04-04
Safari Restaurant,Restaurant,"East Legon, Accra, Ghana",+233 30 277 5544,,,,https://www.yellowpages.com.gh,2026-04-04
