business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
KFC East Legon,Restaurant,"East Legon, Accra, Ghana",East-Legon,+233 30 277 8800,+233 30 277 8800,https://www.kfc.com.gh,,https://www.kfc.com.gh,info@kfc.com.gh,Pattern Generated,2026-04-04
Papaye Fast Food,Restaurant,"East Legon, Accra, Ghana",East-Legon,+233 30 277 7770,+233 30 277 7770,http://www.papayeonline.com,,https://www.yellowpages.com.gh,info@papayeonline.com,Pattern Generated,2026-04-04
Frankies Restaurant,Restaurant,"Osu, Near East Legon, Accra",East-Legon,+233 21 244 661,+233 21 244 661,https://www.frankies.com.gh,,https://www.frankies.com.gh,info@frankies.com.gh,Pattern Generated,2026-04-04
Buka Restaurant,Restaurant,"Accra, Near East Legon",East-Legon,+233 21 220 233,+233 21 220 233,http://buka-restaurant.com,,http://buka-restaurant.com,info@buka-restaurant.com,Pattern Generated,2026-04-04
Santoku Restaurant,Restaurant,"East Legon, Accra, Ghana",East-Legon,+233 30 255 7777,+233 30 255 7777,https://santoku.com.gh,,https://santoku.com.gh,info@santoku.com.gh,Pattern Generated,2026-04-04
Ocean Basket,Restaurant,"Accra Mall, Near East Legon, Accra",East-Legon,+233 30 277 5588,+233 30 277 5588,https://www.oceanbasket.com.gh,,https://www.oceanbasket.com.gh,info@oceanbasket.com.gh,Pattern Generated,2026-04-04
Pizza Hut East Legon,Restaurant,"East Legon, Accra, Ghana",East-Legon,+233 30 277 9900,+233 30 277 9900,https://www.pizzahut.com.gh,,https://www.pizzahut.com.gh,info@pizzahut.com.gh,Pattern Generated,2026-04-04
Domino's Pizza East Legon,Restaurant,"East Legon, Accra, Ghana",East-Legon,+233 30 277 9911,+233 30 277 9911,https://www.dominos.com.gh,,https://www.dominos.com.gh,info@dominos.com.gh,Pattern Generated,2026-04-04
Eddie's Pizza,Restaurant,"East Legon, Accra, Ghana",East-Legon,+233 30 277 2200,+233 30 277 2200,https://www.eddiespizza.com,,https://www.eddiespizza.com,info@eddiespizza.com,Pattern Generated,2026-04-04
Wang Jia Chinese Restaurant,Restaurant,"East Legon, Accra, Ghana",East-Legon,+233 30 255 7799,+233 30 255 7799,https://www.wangjiagh.com,,https://www.wangjiagh.com,info@wangjiagh.com,Pattern Generated,2026-04-04
Hua Han Chinese Restaurant,Restaurant,"East Legon, Accra, Ghana",East-Legon,+233 30 255 7788,+233 30 255 7788,https://www.huahan.com.gh,,https://www.huahan.com.gh,info@huahan.com.gh,Pattern Generated,2026-04-04
Le Tandem,Restaurant,"Accra, Near East Legon",East-Legon,+233 30 277 5503,+233 30 277 5503,https://letandem.com,,https://letandem.com,info@letandem.com,Pattern Generated,2026-04-04
Safari Restaurant,Restaurant,"East Legon, Accra, Ghana",East-Legon,+233 30 277 5544,+233 30 277 5544,,,https://www.yellowpages.com.gh,,N/A,2026-04-04
