business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Soluotech,UPSA East Legon Accra,+233598869170,East-Legon,+233598869170,+233598869170,,,2026-04-05,,N/A,2026-04-07
CHY SOFTWARE COMPANY LIMITED,Accra Ghana,+233541896274,East-Legon,+233541896274,+233541896274,,,2026-04-05,,N/A,2026-04-07
Intellisense Hive,Raspberry St East Legon Accra,+233548422672,East-Legon,+233548422672,+233548422672,,,2026-04-05,,N/A,2026-04-07
Ace Technologies Ghana Ltd,1 Nikoi St East Legon Accra,+233203756744,East-Legon,+233203756744,+233203756744,,,2026-04-05,,N/A,2026-04-07
IT Consortium,3 Gem Street East Legon Accra,+233540134441,East-Legon,+233540134441,+233540134441,,,2026-04-05,,N/A,2026-04-07
Teksol,Christian Centre No. 12 Bamboo St East Legon Accra,+233302916484,East-Legon,+233302916484,+233302916484,,,2026-04-05,,N/A,2026-04-07
AmaliTech Ghana,4 Jungle Ave East Legon Accra,,East-Legon,,,,,2026-04-05,,N/A,2026-04-07
Techland IT Solutions Limited,Opposite National Police Training School Faaco Complex East Legon,+233302280388,East-Legon,+233302280388,+233302280388,,,2026-04-05,,N/A,2026-04-07
Axxend Corporation,Technology House near American House East Legon Greater Accra,+233559306410,East-Legon,+233559306410,+233559306410,,,2026-04-05,,N/A,2026-04-07
Edotech Solutions,Accra Ghana,,East-Legon,,,,,2026-04-05,,N/A,2026-04-07
Metro Edge Technologies,126 La-Bawaleshi Rd East Legon Accra,+233307002999,East-Legon,+233307002999,+233307002999,,,2026-04-05,,N/A,2026-04-07
TEK IT CONSULT,21 Spintex Rd East Legon Accra,+233272702027,East-Legon,+233272702027,+233272702027,,,2026-04-05,,N/A,2026-04-07
Raycom Technologies,Jungle Ave East Legon Accra,+233302215000,East-Legon,+233302215000,+233302215000,,,2026-04-05,,N/A,2026-04-07
Adaptive Computer Solutions,Fourth Street West East Legon Accra,+233303937079,East-Legon,+233303937079,+233303937079,,,2026-04-05,,N/A,2026-04-07
NWS Global Company Limited,Stephen Quarshie Link East Legon Accra,+233506758110,East-Legon,+233506758110,+233506758110,,,2026-04-05,,N/A,2026-04-07
Apple Palace Ghana East Legon,Okponglo East Legon Accra,+233244266672,East-Legon,+233244266672,+233244266672,,,2026-04-05,,N/A,2026-04-07
Zentech IT Solutions Limited,No 7 Oshimpa Lake East Legon Accra,+233302268650,East-Legon,+233302268650,+233302268650,,,2026-04-05,,N/A,2026-04-07
