business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
KFC East Legon,Restaurant,"East Legon, Accra, Ghana",East-Legon,+233 30 277 8800,+233 30 277 8800,https://www.kfc.com.gh,,https://www.kfc.com.gh,info@kfc.com.gh,Pattern Generated,2026-04-04
Papaye Fast Food,Restaurant,"East Legon, Accra, Ghana",East-Legon,+233 30 277 7770,+233 30 277 7770,http://www.papayeonline.com,,https://www.yellowpages.com.gh,info@papayeonline.com,Pattern Generated,2026-04-04
Frankies Restaurant,Restaurant,"Osu, Near East Legon, Accra",East-Legon,+233 21 244 661,+233 21 244 661,https://www.frankies.com.gh,,https://www.frankies.com.gh,info@frankies.com.gh,Pattern Generated,2026-04-04
Buka Restaurant,Restaurant,"Accra, Near East Legon",East-Legon,+233 21 220 233,+233 21 220 233,http://buka-restaurant.com,,http://buka-restaurant.com,info@buka-restaurant.com,Pattern Generated,2026-04-04
Santoku Restaurant,Restaurant,"East Legon, Accra, Ghana",East-Legon,+233 30 255 7777,+233 30 255 7777,https://santoku.com.gh,,https://santoku.com.gh,info@santoku.com.gh,Pattern Generated,2026-04-04
Coco Lounge,Restaurant & Bar,"Oxford Street, Osu, Near East Legon, Accra",East-Legon,+233 30 277 0370,+233 30 277 0370,https://cocoulounge.com,,https://cocoulounge.com,info@cocoulounge.com,Pattern Generated,2026-04-04
Zoe's Hair Gallery,Salon,"East Legon, Accra, Ghana",East-Legon,+233 24 333 4455,+233 24 333 4455,http://www.zoeshairgallery.com,,http://www.zoeshairgallery.com,info@zoeshairgallery.com,Pattern Generated,2026-04-04
Dewcare Hair & Beauty Salon,Salon,"East Legon, Accra, Ghana",East-Legon,+233 20 888 2233,+233 20 888 2233,,,https://www.yellowpages.com.gh,,N/A,2026-04-04
Tropical Cuts Barbershop,Barbershop,"East Legon, Accra, Ghana",East-Legon,+233 50 122 3344,+233 50 122 3344,,,https://ghanayello.com,,N/A,2026-04-04
Boss Cuts Barbershop,Barbershop,"East Legon, Accra, Ghana",East-Legon,+233 24 455 6677,+233 24 455 6677,,,https://www.yellowpages.com.gh,,N/A,2026-04-04
Silhouettes Salon,Salon,"East Legon, Accra, Ghana",East-Legon,+233 30 277 5500,+233 30 277 5500,https://silhouettes.com.gh,,https://silhouettes.com.gh,info@silhouettes.com.gh,Pattern Generated,2026-04-04
Body HIIT Fitness Centre,Gym & Fitness,"East Legon, Accra, Ghana",East-Legon,+233 20 555 7788,+233 20 555 7788,https://www.bodyhiitfitness.com,,https://www.bodyhiitfitness.com,info@bodyhiitfitness.com,Pattern Generated,2026-04-04
Gold's Gym East Legon,Gym & Fitness,"East Legon, Accra, Ghana",East-Legon,+233 30 277 8899,+233 30 277 8899,https://www.goldsgym.com.gh,,https://www.goldsgym.com.gh,info@goldsgym.com.gh,Pattern Generated,2026-04-04
Jedi Gym,Gym & Fitness,"East Legon, Accra, Ghana",East-Legon,+233 24 000 1122,+233 24 000 1122,https://www.jedigym.com,,https://www.jedigym.com,info@jedigym.com,Pattern Generated,2026-04-04
Fitness On Fire,Gym & Fitness,"East Legon, Accra, Ghana",East-Legon,+233 50 100 3344,+233 50 100 3344,,,https://www.yellowpages.com.gh,,N/A,2026-04-04
Palm View Real Estate,Real Estate,"East Legon, Accra, Ghana",East-Legon,+233 30 277 1234,+233 30 277 1234,https://www.palmviewrealty.com,,https://www.palmviewrealty.com,info@palmviewrealty.com,Pattern Generated,2026-04-04
Meqasa Real Estate,Real Estate,"Accra, Ghana",East-Legon,+233 30 255 7766,+233 30 255 7766,https://meqasa.com,,https://meqasa.com,info@meqasa.com,Pattern Generated,2026-04-04
Ruby's Real Estate,Real Estate,"East Legon, Accra, Ghana",East-Legon,+233 20 888 9900,+233 20 888 9900,https://rubysrealestate.com,,https://rubysrealestate.com,info@rubysrealestate.com,Pattern Generated,2026-04-04
Devtraco Real Estate,Real Estate,"East Legon, Accra, Ghana",East-Legon,+233 30 277 8801,+233 30 277 8801,https://www.devtracoplus.com,,https://www.devtracoplus.com,info@devtracoplus.com,Pattern Generated,2026-04-04
Regimanuel Gray Ltd,Real Estate,"East Legon, Accra, Ghana",East-Legon,+233 30 277 8802,+233 30 277 8802,https://www.regimanuelgray.com,,https://www.regimanuelgray.com,info@regimanuelgray.com,Pattern Generated,2026-04-04
East Legon Dental Clinic,Dentist,"East Legon, Accra, Ghana",East-Legon,+233 30 277 4455,+233 30 277 4455,https://www.eastlegondental.com,,https://www.eastlegondental.com,info@eastlegondental.com,Pattern Generated,2026-04-04
Korle Bu Dental Clinic,Dentist,"Korle Bu, Near East Legon, Accra",East-Legon,+233 21 665 401,+233 21 665 401,https://www.kbth.gov.gh,,https://www.kbth.gov.gh,info@kbth.gov.gh,Pattern Generated,2026-04-04
Family Dental Clinic,Dentist,"East Legon, Accra, Ghana",East-Legon,+233 30 255 4466,+233 30 255 4466,,,https://www.yellowpages.com.gh,,N/A,2026-04-04
37 Military Hospital Dental,Dentist,"37 Military Hospital Road, Accra",East-Legon,+233 21 776 111,+233 21 776 111,https://www.37militaryhospital.com,,https://www.37militaryhospital.com,info@37militaryhospital.com,Pattern Generated,2026-04-04
Sweet Sensation Confectionery,Restaurant & Bakery,"East Legon, Accra, Ghana",East-Legon,+233 30 277 3388,+233 30 277 3388,https://sweetsensationgh.com,,https://sweetsensationgh.com,info@sweetsensationgh.com,Pattern Generated,2026-04-04
Marilyn's Hair & Beauty,Salon,"East Legon, Accra, Ghana",East-Legon,+233 24 333 5566,+233 24 333 5566,,,https://ghanayello.com,,N/A,2026-04-04
