business_name,skill_industry,email,phone,website,location,source_url,date_collected
Santoku Restaurant,Restaurant,santoku@info.com.gh,+233 30 255 7777,https://santoku.com.gh,East Legon Accra Ghana,https://santoku.com.gh,2026-04-04
Zoe's Hair Gallery,Hair & Beauty,info@zoeshairgallery.com,+233 24 333 4455,http://www.zoeshairgallery.com,East Legon Accra Ghana,http://www.zoeshairgallery.com,2026-04-04
Body HIIT Fitness Centre,Gym & Fitness,info@bodyhiitfitness.com,+233 20 555 7788,https://www.bodyhiitfitness.com,East Legon Accra Ghana,https://www.bodyhiitfitness.com,2026-04-04
Palm View Real Estate,Real Estate,info@palmviewrealty.com,+233 30 277 1234,https://www.palmviewrealty.com,East Legon Accra Ghana,https://www.palmviewrealty.com,2026-04-04
East Legon Dental Clinic,Dentistry,info@eastlegondental.com,+233 30 277 4455,https://www.eastlegondental.com,East Legon Accra Ghana,https://www.eastlegondental.com,2026-04-04
Philips & Associates,Legal Services,info@philipsandassociates.com.gh,+233 30 277 6633,https://philipsandassociates.com.gh,East Legon Accra Ghana,https://philipsandassociates.com.gh,2026-04-04
Smile 360 Dental Specialists,Dentistry,info@smile360dental.com,+233 30 255 4433,https://www.smile360dental.com,East Legon Accra Ghana,https://www.smile360dental.com,2026-04-04
KFC East Legon,Restaurant,info@kfc.com.gh,+233 30 277 8800,https://www.kfc.com.gh,East Legon Accra Ghana,https://www.kfc.com.gh,2026-04-04
Jandel Limited,Retail,info@jandelgh.com,+233 30 277 7788,https://www.jandelgh.com,East Legon Accra Ghana,https://www.jandelgh.com,2026-04-04
Devtraco Plus Ltd,Real Estate,info@devtracoplus.com,+233 30 277 8801,https://www.devtracoplus.com,East Legon Accra Ghana,https://www.devtracoplus.com,2026-04-04
Regimanuel Gray Ltd,Real Estate,info@regimanuelgray.com,+233 30 277 8802,https://www.regimanuelgray.com,East Legon Accra Ghana,https://www.regimanuelgray.com,2026-04-04
Meqasa,Real Estate,info@meqasa.com,+233 30 255 7766,https://meqasa.com,East Legon Accra Ghana,https://meqasa.com,2026-04-04
Gold's Gym East Legon,Gym & Fitness,info@goldsgym.com.gh,+233 30 277 8899,https://www.goldsgym.com.gh,East Legon Accra Ghana,https://www.goldsgym.com.gh,2026-04-04
Jedi Gym,Gym & Fitness,info@jedigym.com,+233 24 000 1122,https://www.jedigym.com,East Legon Accra Ghana,https://www.jedigym.com,2026-04-04
Silhouettes Salon,Hair & Beauty,info@silhouettes.com.gh,+233 30 277 5500,https://silhouettes.com.gh,East Legon Accra Ghana,https://silhouettes.com.gh,2026-04-04
Sweet Sensation Confectionery,Bakery & Restaurant,info@sweetsensationgh.com,+233 30 277 3388,https://sweetsensationgh.com,East Legon Accra Ghana,https://sweetsensationgh.com,2026-04-04
Eddie's Pizza,Restaurant,info@eddiespizza.com,+233 30 277 2200,https://www.eddiespizza.com,East Legon Accra Ghana,https://www.eddiespizza.com,2026-04-04
Coco Lounge,Restaurant & Bar,info@cocoulounge.com,+233 30 277 0370,https://cocoulounge.com,East Legon Accra Ghana,https://cocoulounge.com,2026-04-04
MaxMart Ghana,Supermarket & Retail,info@maxmartghana.com,+233 30 277 8833,https://www.maxmartghana.com,East Legon Accra Ghana,https://www.maxmartghana.com,2026-04-04
Accra Mall,Shopping Mall,info@accuramall.com.gh,+233 30 277 8866,https://www.accuramall.com.gh,East Legon Accra Ghana,https://www.accuramall.com.gh,2026-04-04
Ruby's Real Estate,Real Estate,info@rubysrealestate.com,+233 20 888 9900,https://rubysrealestate.com,East Legon Accra Ghana,https://rubysrealestate.com,2026-04-04
Lexington Law Firm,Legal Services,info@lexingtonlawgh.com,+233 30 277 6655,https://lexingtonlawgh.com,East Legon Accra Ghana,https://lexingtonlawgh.com,2026-04-04
Grooming Lounge,Barbershop,info@groomingloungegh.com,+233 50 122 3355,https://groomingloungegh.com,East Legon Accra Ghana,https://groomingloungegh.com,2026-04-04
Frankies Restaurant,Restaurant,info@frankies.com.gh,+233 21 244 661,https://www.frankies.com.gh,East Legon Accra Ghana,https://www.frankies.com.gh,2026-04-04
Koala Shopping Centre,Retail,info@koala.com.gh,+233 30 277 6688,https://www.koala.com.gh,East Legon Accra Ghana,https://www.koala.com.gh,2026-04-04
Palace Mall,Shopping Mall,info@palacemallgh.com,+233 30 277 8855,https://www.palacemallgh.com,East Legon Accra Ghana,https://www.palacemallgh.com,2026-04-04
Marina Mall,Shopping Mall,info@marinamall.com.gh,+233 30 277 8877,https://www.marinamall.com.gh,East Legon Accra Ghana,https://www.marinamall.com.gh,2026-04-04
Ocean Basket,Restaurant,info@oceanbasket.com.gh,+233 30 277 5588,https://www.oceanbasket.com.gh,East Legon Accra Ghana,https://www.oceanbasket.com.gh,2026-04-04
