business_name,category,niche,skill_industry,address,location,city,phone,phone_2,whatsapp,email,website,social_media,contact_person,source,source_url,date_collected
Santoku Restaurant,Restaurant,Restaurant,Restaurant,,East Legon Accra Ghana,,+233 30 255 7777,,,santoku@info.com.gh,https://santoku.com.gh,,,web_leads.csv,https://santoku.com.gh,2026-04-04
Zoe's Hair Gallery,Hair & Beauty,Hair & Beauty,Hair & Beauty,,East Legon Accra Ghana,,+233 24 333 4455,,,info@zoeshairgallery.com,http://www.zoeshairgallery.com,,,web_leads.csv,http://www.zoeshairgallery.com,2026-04-04
Body HIIT Fitness Centre,Gym & Fitness,Gym & Fitness,Gym & Fitness,,East Legon Accra Ghana,,+233 20 555 7788,,,info@bodyhiitfitness.com,https://www.bodyhiitfitness.com,,,web_leads.csv,https://www.bodyhiitfitness.com,2026-04-04
Palm View Real Estate,Real Estate,Real Estate,Real Estate,,East Legon Accra Ghana,,+233 30 277 1234,,,info@palmviewrealty.com,https://www.palmviewrealty.com,,,web_leads.csv,https://www.palmviewrealty.com,2026-04-04
East Legon Dental Clinic,Dentistry,Dentistry,Dentistry,,East Legon Accra Ghana,,+233 30 277 4455,,,info@eastlegondental.com,https://www.eastlegondental.com,,,web_leads.csv,https://www.eastlegondental.com,2026-04-04
Philips & Associates,Legal Services,Legal Services,Legal Services,,East Legon Accra Ghana,,+233 30 277 6633,,,info@philipsandassociates.com.gh,https://philipsandassociates.com.gh,,,web_leads.csv,https://philipsandassociates.com.gh,2026-04-04
Smile 360 Dental Specialists,Dentistry,Dentistry,Dentistry,,East Legon Accra Ghana,,+233 30 255 4433,,,info@smile360dental.com,https://www.smile360dental.com,,,web_leads.csv,https://www.smile360dental.com,2026-04-04
KFC East Legon,Restaurant,Restaurant,Restaurant,,East Legon Accra Ghana,,+233 30 277 8800,,,info@kfc.com.gh,https://www.kfc.com.gh,,,web_leads.csv,https://www.kfc.com.gh,2026-04-04
Jandel Limited,Retail,Retail,Retail,,East Legon Accra Ghana,,+233 30 277 7788,,,info@jandelgh.com,https://www.jandelgh.com,,,web_leads.csv,https://www.jandelgh.com,2026-04-04
Devtraco Plus Ltd,Real Estate,Real Estate,Real Estate,,East Legon Accra Ghana,,+233 30 277 8801,,,info@devtracoplus.com,https://www.devtracoplus.com,,,web_leads.csv,https://www.devtracoplus.com,2026-04-04
Regimanuel Gray Ltd,Real Estate,Real Estate,Real Estate,,East Legon Accra Ghana,,+233 30 277 8802,,,info@regimanuelgray.com,https://www.regimanuelgray.com,,,web_leads.csv,https://www.regimanuelgray.com,2026-04-04
Meqasa,Real Estate,Real Estate,Real Estate,,East Legon Accra Ghana,,+233 30 255 7766,,,info@meqasa.com,https://meqasa.com,,,web_leads.csv,https://meqasa.com,2026-04-04
Gold's Gym East Legon,Gym & Fitness,Gym & Fitness,Gym & Fitness,,East Legon Accra Ghana,,+233 30 277 8899,,,info@goldsgym.com.gh,https://www.goldsgym.com.gh,,,web_leads.csv,https://www.goldsgym.com.gh,2026-04-04
Jedi Gym,Gym & Fitness,Gym & Fitness,Gym & Fitness,,East Legon Accra Ghana,,+233 24 000 1122,,,info@jedigym.com,https://www.jedigym.com,,,web_leads.csv,https://www.jedigym.com,2026-04-04
Silhouettes Salon,Hair & Beauty,Hair & Beauty,Hair & Beauty,,East Legon Accra Ghana,,+233 30 277 5500,,,info@silhouettes.com.gh,https://silhouettes.com.gh,,,web_leads.csv,https://silhouettes.com.gh,2026-04-04
Sweet Sensation Confectionery,Bakery & Restaurant,Bakery & Restaurant,Bakery & Restaurant,,East Legon Accra Ghana,,+233 30 277 3388,,,info@sweetsensationgh.com,https://sweetsensationgh.com,,,web_leads.csv,https://sweetsensationgh.com,2026-04-04
Eddie's Pizza,Restaurant,Restaurant,Restaurant,,East Legon Accra Ghana,,+233 30 277 2200,,,info@eddiespizza.com,https://www.eddiespizza.com,,,web_leads.csv,https://www.eddiespizza.com,2026-04-04
Coco Lounge,Restaurant & Bar,Restaurant & Bar,Restaurant & Bar,,East Legon Accra Ghana,,+233 30 277 0370,,,info@cocoulounge.com,https://cocoulounge.com,,,web_leads.csv,https://cocoulounge.com,2026-04-04
MaxMart Ghana,Supermarket & Retail,Supermarket & Retail,Supermarket & Retail,,East Legon Accra Ghana,,+233 30 277 8833,,,info@maxmartghana.com,https://www.maxmartghana.com,,,web_leads.csv,https://www.maxmartghana.com,2026-04-04
