"business_name","niche","address","phone","whatsapp","website","email","social_profiles","email_validation_status","date_enriched","source_urls"
"PricewaterhouseCoopers Ghana","accounting_firm","5th Ringway Close, Accra","+233 30 222 2000","+233 30 222 2000","https://www.pwc.com.gh","info@pwc.com.gh","","Pending Validation","2026-04-07","https://www.pwc.com.gh; https://www.bing.com/maps"
"Deloitte Ghana","accounting_firm","Atlantic Tower, Liberation Road, Accra","+233 30 266 0000","+233 30 266 0000","https://www.deloitte.com/gh","info@deloitte.com","","Pending Validation","2026-04-07","https://www.deloitte.com/gh; https://www.bing.com/maps"
"KPMG Ghana","accounting_firm","Ring Road Central, Accra","+233 30 266 2000","+233 30 266 2000","https://www.kpmg.com.gh","info@kpmg.com.gh","","Pending Validation","2026-04-07","https://www.kpmg.com.gh; https://www.bing.com/maps"
"Ernst & Young Ghana","accounting_firm","5th Link, Airport Residential, Accra","+233 30 277 7733","+233 30 277 7733","https://www.ey.com/gh","info@ey.com","","Pending Validation","2026-04-07","https://www.ey.com/gh; https://www.bing.com/maps"
"Mensah Bonsu & Co","accounting_firm","Osu, Accra","+233 30 277 7734","+233 30 277 7734","","","","Not Available","2026-04-07","https://www.bing.com/maps"
"Nubuke Foundation","art_gallery","Nubuke Foundation, East Legon, Accra","+233 30 277 7783","+233 30 277 7783","https://www.nubukefoundation.org","info@nubukefoundation.org","","Pending Validation","2026-04-07","https://www.nubukefoundation.org; https://www.bing.com/maps"
"Artists Alliance Gallery","art_gallery","4 Barnes Road, Accra","+233 30 222 3344","+233 30 222 3344","https://www.artistsalliancegallery.com","info@artistsalliancegallery.com","","Pending Validation","2026-04-07","https://www.artistsalliancegallery.com; https://www.bing.com/maps"
"Devonish Art Gallery","art_gallery","Osu, Accra","+233 30 277 7784","+233 30 277 7784","https://www.devonishart.com","info@devonishart.com","","Pending Validation","2026-04-07","https://www.devonishart.com; https://www.bing.com/maps"
"Loom Gallery","art_gallery","Osu, Accra","+233 30 277 7785","+233 30 277 7785","https://www.loomgallery.com","info@loomgallery.com","","Pending Validation","2026-04-07","https://www.loomgallery.com; https://www.bing.com/maps"
"Foundation for Contemporary Art Ghana","art_gallery","Osu, Accra","+233 24 333 5540","+233 24 333 5540","https://www.fcaghana.org","info@fcaghana.org","","Pending Validation","2026-04-07","https://www.fcaghana.org; https://www.bing.com/maps"
"Nanny's CAKES","bakery","Adabraka, Accra","+233 26 712 3132","+233 26 712 3132","https://www.nannyscakesgh.com","info@nannyscakesgh.com","","Pending Validation","2026-04-07","https://www.nannyscakesgh.com; https://www.bing.com/maps"
"Kareena Cakes","bakery","18 Nmetsobu Street, Osu, Accra","+233 24 488 5454","+233 24 488 5454","https://www.kareenacakes.com","info@kareenacakes.com","","Pending Validation","2026-04-07","https://www.kareenacakes.com; https://www.bing.com/maps"
"Fine Things Patisserie","bakery","4th Ridge Link, North Ridge, Accra","+233 20 174 2998","+233 20 174 2998","https://www.finethingspatisserie.com","info@finethingspatisserie.com","","Pending Validation","2026-04-07","https://www.finethingspatisserie.com; https://www.bing.com/maps"
"VEGAN SPICE BAKERY","bakery","10 Puplampu Road, Osu, Accra","+233 30 276 2455","+233 30 276 2455","","","","Not Available","2026-04-07","https://www.bing.com/maps"
"Kester Cakes and Pastries","bakery","Mission Link, Golf Hills, Achimota, Accra","+233 24 350 3023","+233 24 350 3023","","","","Not Available","2026-04-07","https://www.bing.com/maps"
"G & G Butter Cakes","bakery","Ashaley Botwe, Accra","+233 20 766 4328","+233 20 766 4328","","","","Not Available","2026-04-07","https://www.bing.com/maps"
"The Cupcake Boutique","bakery","4676 Ndabaningi Sithole Road, Osu, Accra","+233 24 333 0000","+233 24 333 0000","https://www.thecupcakeboutiquegh.com","info@thecupcakeboutiquegh.com","","Pending Validation","2026-04-07","https://www.thecupcakeboutiquegh.com; https://www.bing.com/maps"
"Cake City","bakery","7th Sakumo Link, Lartebiokorshie, Accra","+233 30 393 3185","+233 30 393 3185","","","","Not Available","2026-04-07","https://www.bing.com/maps"
"Pastry Box","bakery","Ashongman Estate, Accra","+233 24 091 8718","+233 24 091 8718","","","","Not Available","2026-04-07","https://www.bing.com/maps"
"EAT by ZOE","bakery","Mankralo Street House No. 2, East Cantonments, Accra","+233 20 888 5555","+233 20 888 5555","https://www.eatbyzoe.com","info@eatbyzoe.com","","Pending Validation","2026-04-07","https://www.eatbyzoe.com; https://www.bing.com/maps"
"The Bakers Bar-Gh","bakery","Marina Mall, Accra","+233 24 742 2400","+233 24 742 2400","https://www.thebakersbar.com","info@thebakersbar.com","","Pending Validation","2026-04-07","https://www.thebakersbar.com; https://www.bing.com/maps"
"Ghana Commercial Bank (GCB) Osu","bank","Oxford Street, Osu, Accra","+233 30 222 7777","+233 30 222 7777","https://www.gcb.com.gh","info@gcb.com.gh","","Pending Validation","2026-04-07","https://www.gcb.com.gh; https://www.bing.com/maps"
"Ecobank Osu","bank","Ring Road Central, Osu, Accra","+233 30 266 0000","+233 30 266 0000","https://www.ecobank.com","info@ecobank.com","","Pending Validation","2026-04-07","https://www.ecobank.com; https://www.bing.com/maps"
"Stanbic Bank Osu","bank","Osu, Accra","+233 30 277 1111","+233 30 277 1111","https://www.stanbic.com.gh","info@stanbic.com.gh","","Pending Validation","2026-04-07","https://www.stanbic.com.gh; https://www.bing.com/maps"
"Access Bank Osu","bank","Osu, Accra","+233 30 266 1769","+233 30 266 1769","https://www.accessbankgh.com","info@accessbankgh.com","","Pending Validation","2026-04-07","https://www.accessbankgh.com; https://www.bing.com/maps"
"Fidelity Bank Osu","bank","Osu, Accra","+233 30 277 7744","+233 30 277 7744","https://www.fidelitybank.com.gh","wecare@myfidelitybank.net","","Verified (found on website)","2026-04-07","https://www.fidelitybank.com.gh; https://www.bing.com/maps"
"Zenith Bank Osu","bank","Sithole Street, Labone, Accra","+233 30 277 7755","+233 30 277 7755","https://www.zenithbank.com.gh","info@zenithbank.com.gh","","Pending Validation","2026-04-07","https://www.zenithbank.com.gh; https://www.bing.com/maps"
"Absa Bank Osu","bank","Independence Avenue, Accra","+233 30 261 0000","+233 30 261 0000","https://www.absa.co.gh","info@absa.co.gh","","Pending Validation","2026-04-07","https://www.absa.co.gh; https://www.bing.com/maps"
"Standard Chartered Bank Osu","bank","Osu, Accra","+233 30 266 5000","+233 30 266 5000","https://www.sc.com/gh","info@sc.com","","Pending Validation","2026-04-07","https://www.sc.com/gh; https://www.bing.com/maps"
"BloomBar","bar","Troas Street, Osu, Accra","+233 55 249 8524","+233 55 249 8524","https://www.bloombargh.com","info@bloombargh.com","","Pending Validation","2026-04-07","https://www.bloombargh.com; https://www.bing.com/maps"
"+233 Jazz Bar & Grill","bar","Dr Isert Street, Osu, Accra","+233 24 333 2233","+233 24 333 2233","https://www.233jazzbar.com","info@233jazzbar.com","","Pending Validation","2026-04-07","https://www.233jazzbar.com; https://www.bing.com/maps"
"Celsbridge Pub","bar","2 Labone, Accra","+233 30 277 1111","+233 30 277 1111","","","","Not Available","2026-04-07","https://www.bing.com/maps"
"Sky Bar 25","bar","N16 N Airport Road, Osu, Accra","+233 30 277 2525","+233 30 277 2525","https://www.skybar25gh.com","info@skybar25gh.com","","Pending Validation","2026-04-07","https://www.skybar25gh.com; https://www.bing.com/maps"
"The Republic Bar & Grill","bar","3rd Lane Kuku Hill, Osu, Accra","+233 24 333 2222","+233 24 333 2222","https://www.republicbar.com","info@republicbar.com","","Pending Validation","2026-04-07","https://www.republicbar.com; https://www.bing.com/maps"
