business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Nanny's CAKES,bakery,"Adabraka, Accra",Osu,+233 26 712 3132,+233 26 712 3132,https://www.nannyscakesgh.com,,https://www.bing.com/maps,info@nannyscakesgh.com,Pattern Generated,2026-04-05
Kareena Cakes,bakery,"18 Nmetsobu Street, Osu, Accra",Osu,+233 24 488 5454,+233 24 488 5454,https://www.kareenacakes.com,,https://www.bing.com/maps,info@kareenacakes.com,Pattern Generated,2026-04-05
Fine Things Patisserie,bakery,"4th Ridge Link, North Ridge, Accra",Osu,+233 20 174 2998,+233 20 174 2998,https://www.finethingspatisserie.com,,https://www.bing.com/maps,info@finethingspatisserie.com,Pattern Generated,2026-04-05
VEGAN SPICE BAKERY,bakery,"10 Puplampu Road, Osu, Accra",Osu,+233 30 276 2455,+233 30 276 2455,,,https://www.bing.com/maps,,N/A,2026-04-05
Kester Cakes and Pastries,bakery,"Mission Link, Golf Hills, Achimota, Accra",Osu,+233 24 350 3023,+233 24 350 3023,,,https://www.bing.com/maps,,N/A,2026-04-05
G & G Butter Cakes,bakery,"Ashaley Botwe, Accra",Osu,+233 20 766 4328,+233 20 766 4328,,,https://www.bing.com/maps,,N/A,2026-04-05
The Cupcake Boutique,bakery,"4676 Ndabaningi Sithole Road, Osu, Accra",Osu,+233 24 333 0000,+233 24 333 0000,https://www.thecupcakeboutiquegh.com,,https://www.bing.com/maps,info@thecupcakeboutiquegh.com,Pattern Generated,2026-04-05
Cake City,bakery,"7th Sakumo Link, Lartebiokorshie, Accra",Osu,+233 30 393 3185,+233 30 393 3185,,,https://www.bing.com/maps,,N/A,2026-04-05
Pastry Box,bakery,"Ashongman Estate, Accra",Osu,+233 24 091 8718,+233 24 091 8718,,,https://www.bing.com/maps,,N/A,2026-04-05
EAT by ZOE,bakery,"Mankralo Street House No. 2, East Cantonments, Accra",Osu,+233 20 888 5555,+233 20 888 5555,https://www.eatbyzoe.com,,https://www.bing.com/maps,info@eatbyzoe.com,Pattern Generated,2026-04-05
The Bakers Bar-Gh,bakery,"Marina Mall, Accra",Osu,+233 24 742 2400,+233 24 742 2400,https://www.thebakersbar.com,,https://www.bing.com/maps,info@thebakersbar.com,Pattern Generated,2026-04-05
