business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
St. James Catholic Church,church,"Adzoatse Street, Osu, Accra",Osu,+233 30 277 7763,+233 30 277 7763,,,https://www.bing.com/maps,,N/A,2026-04-05
Cathedral Church of the Most Holy Trinity,church,"28th February Road, Accra",Osu,+233 30 266 3853,+233 30 266 3853,https://www.holytrinitycathedral.org.gh,,https://www.bing.com/maps,info@holytrinitycathedral.org.gh,Pattern Generated,2026-04-05
Restoration Temple ICGC Osu,church,"Lokko Road, OS 905 Accra",Osu,+233 50 693 5582,+233 50 693 5582,,,https://www.bing.com/maps,,N/A,2026-04-05
The Church of Jesus Christ of Latter-day Saints,church,"No.4 Greda Estate, Teshie Nungua, Accra",Osu,+233 26 876 8677,+233 26 876 8677,https://www.churchofjesuschrist.org,,https://www.bing.com/maps,info@churchofjesuschrist.org,Pattern Generated,2026-04-05
Royal House Chapel International,church,Accra,Osu,+233 30 222 1255,+233 30 222 1255,https://www.royalhousechapel.org,,https://www.bing.com/maps,info@royalhousechapel.org,Pattern Generated,2026-04-05
Osu Ebenezer Presbyterian Church,church,"Salem Avenue, Osu, Accra",Osu,+233 30 277 7764,+233 30 277 7764,,,https://www.bing.com/maps,,N/A,2026-04-05
The Church of Pentecost,church,"Danquah Circle, Accra",Osu,+233 24 437 0445,+233 24 437 0445,https://www.thecop.org.gh,,https://www.bing.com/maps,info@thecop.org.gh,Pattern Generated,2026-04-05
Christ Apostolic Church International Headquarters,church,"Reverend Richter Street, Osu, Accra",Osu,+233 30 277 2497,+233 30 277 2497,,,https://www.bing.com/maps,,N/A,2026-04-05
Christ Embassy Osu,church,"111 La Road, Osu, Accra",Osu,+233 30 277 7765,+233 30 277 7765,https://www.christembassy.org,,https://www.bing.com/maps,info@christembassy.org,Pattern Generated,2026-04-05
Accra Ghana Temple,church,"57 Independence Avenue, North Ridge, Accra",Osu,+233 30 277 7766,+233 30 277 7766,https://www.churchofjesuschrist.org/temples,,https://www.bing.com/maps,info@churchofjesuschrist.org,Pattern Generated,2026-04-05
