business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Kempinski Hotel Gold Coast City Accra,hotel,"Ministries PMB 66, Gamel Abdul Nasser Avenue, Accra",Osu,+233 30 271 1111,+233 30 271 1111,https://www.kempinski.com/en/accra,,https://www.bing.com/maps,info@kempinski.com,Pattern Generated,2026-04-05
Central Hotel OSU,hotel,"16th Lane, Oxford Street, Osu, Accra",Osu,+233 30 277 5533,+233 30 277 5533,https://www.centralhotelgh.com,,https://www.bing.com/maps,info@centralhotelgh.com,Pattern Generated,2026-04-05
Labadi Beach Hotel,hotel,"N1 La Bypass, Greater Accra Region, Accra",Osu,+233 30 277 1700,+233 30 277 1700,https://www.labadibeachhotel.com,,https://www.bing.com/maps,info@labadibeachhotel.com,Pattern Generated,2026-04-05
Holiday Inn Accra Airport by IHG,hotel,"Plot 19 & 20 Airport City, Accra",Osu,+233 30 277 0700,+233 30 277 0700,https://www.ihg.com/holidayinn,,https://www.bing.com/maps,info@ihg.com,Pattern Generated,2026-04-05
La Villa Boutique Hotel,hotel,"F56/1/13th Lane Osu Ringway, Accra",Osu,+233 30 278 1111,+233 30 278 1111,https://www.lavillaboutiquehotel.com,,https://www.bing.com/maps,info@lavillaboutiquehotel.com,Pattern Generated,2026-04-05
Alisa Hotel North Ridge,hotel,"Dr. Isert Road, Osu, Accra",Osu,+233 30 277 6677,+233 30 277 6677,https://www.alisahotel.com,,https://www.bing.com/maps,info@alisahotel.com,Pattern Generated,2026-04-05
Number One Oxford Street Hotel & Suites,hotel,"1 Oxford Street, Osu, Accra",Osu,+233 30 277 0101,+233 30 277 0101,https://www.numberoneoxford.com,,https://www.bing.com/maps,info@numberoneoxford.com,Pattern Generated,2026-04-05
Suncity Hotel Apartment,hotel,"144 La Road, Osu, Accra",Osu,+233 30 277 0000,+233 30 277 0000,https://www.suncityhotelgh.com,,https://www.bing.com/maps,info@suncityhotelgh.com,Pattern Generated,2026-04-05
Roots Hotel Apartment,hotel,"Osu, Off Oxford Street, Accra",Osu,+233 30 278 2211,+233 30 278 2211,https://www.rootshotelapartment.com,,https://www.bing.com/maps,info@rootshotelapartment.com,Pattern Generated,2026-04-05
Movenpick Ambassador Hotel Accra,hotel,"Independence Avenue, Ridge, Accra",Osu,+233 30 277 1000,+233 30 277 1000,https://www.movenpick.com/en/accra,,https://www.bing.com/maps,info@movenpick.com,Pattern Generated,2026-04-05
G.C Royal Hotel,hotel,"Asafoatse Tempong Street, House No 3, Osu, Accra",Osu,+233 30 278 3333,+233 30 278 3333,https://www.gcroyalhotel.com,,https://www.bing.com/maps,info@gcroyalhotel.com,Pattern Generated,2026-04-05
Frankie's Hotel,hotel,"Oxford Street, Osu, Accra",Osu,+233 30 277 8800,+233 30 277 8800,https://www.frankiesgh.com,,https://www.bing.com/maps,info@frankiesgh.com,Pattern Generated,2026-04-05
Prestige Suite Hotel,hotel,"Lokko Road, Osu, Accra",Osu,+233 30 277 1144,+233 30 277 1144,https://www.prestigesuitehotel.com,,https://www.bing.com/maps,info@prestigesuitehotel.com,Pattern Generated,2026-04-05
Mensvic Grand Hotel,hotel,"Lagos Avenue, Osu, Accra",Osu,+233 30 277 6622,+233 30 277 6622,https://www.mensvicgrandhotel.com,,https://www.bing.com/maps,info@mensvicgrandhotel.com,Pattern Generated,2026-04-05
Accra City Hotel,hotel,"Barnes Road, Osu, Accra",Osu,+233 30 222 4400,+233 30 222 4400,https://www.accracityhotel.com,,https://www.bing.com/maps,info@accracityhotel.com,Pattern Generated,2026-04-05
