business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Corenet IT Limited,it_company,"House No. Te56 12 Widi Teshie Estates, Accra",Osu,+233 30 272 5453,+233 30 272 5453,https://www.corenetit.com,,https://www.bing.com/maps,info@corenetit.com,Pattern Generated,2026-04-05
FRIIS I.T Solutions,it_company,Accra,Osu,+233 20 043 0803,+233 20 043 0803,https://www.friisit.com,,https://www.bing.com/maps,info@friisit.com,Pattern Generated,2026-04-05
I T Market Limited,it_company,"Osu Oxford Street, Accra",Osu,+233 30 277 6633,+233 30 277 6633,,,https://www.bing.com/maps,,N/A,2026-04-05
MTN Ghana,it_company,"Independence Avenue, Accra",Osu,+233 24 430 0000,+233 24 430 0000,https://www.mtn.com.gh,,https://www.bing.com/maps,info@mtn.com.gh,Pattern Generated,2026-04-05
Tripplesea Technologies Ltd,it_company,"Guggisberg Avenue, Accra",Osu,+233 30 277 6644,+233 30 277 6644,https://www.tripplesea.com,,https://www.bing.com/maps,info@tripplesea.com,Pattern Generated,2026-04-05
GALATECH SOLUTIONS,it_company,"Plot 185 East Legon, Accra",Osu,+233 26 426 1693,+233 26 426 1693,https://www.galatechsolutions.com,,https://www.bing.com/maps,info@galatechsolutions.com,Pattern Generated,2026-04-05
Afrilogic Solutions Limited,it_company,"Adjah Abasa Street, Osu, Accra",Osu,+233 24 453 1687,+233 24 453 1687,https://www.afrilogic.com,,https://www.bing.com/maps,info@afrilogic.com,Pattern Generated,2026-04-05
JETLINK,it_company,"H/No. 99 Osu Badu Street, West Airport, Accra",Osu,+233 30 276 6592,+233 30 276 6592,https://www.jetlinkgh.com,,https://www.bing.com/maps,info@jetlinkgh.com,Pattern Generated,2026-04-05
CITSYS LIMITED,it_company,"Lokko Road Osu, F142A/2, Accra",Osu,+233 30 277 6655,+233 30 277 6655,https://www.citsysgh.com,,https://www.bing.com/maps,info@citsysgh.com,Pattern Generated,2026-04-05
MARGINS ID GROUP LIMITED,it_company,"Movenpick Ambassador Hotel, Barnes Road, Accra",Osu,+233 30 222 0499,+233 30 222 0499,https://www.marginsidgroup.com,,https://www.bing.com/maps,info@marginsidgroup.com,Pattern Generated,2026-04-05
PRIMUS-TECH LIMITED,it_company,"4 Abidjan Link Road, Accra",Osu,+233 24 464 2541,+233 24 464 2541,https://www.primustechgh.com,,https://www.bing.com/maps,info@primustechgh.com,Pattern Generated,2026-04-05
PRO VISION CONSULTANTS Ltd,it_company,"7 Liberation Road, Accra",Osu,+233 24 332 0505,+233 24 332 0505,https://www.provisionconsultants.com,,https://www.bing.com/maps,info@provisionconsultants.com,Pattern Generated,2026-04-05
