business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
"The Buka Restaurant, Accra",restaurant,"10th Lane, Osu, Accra",+233 24 484 2464,,https://bukarestaurant.com,,https://www.bing.com/maps,2026-04-05
Heritage Indian Restaurant,restaurant,"Karl Quist Street, Osu, Accra",+233 30 277 8800,,http://heritageindianrestaurant.com,,https://www.bing.com/maps,2026-04-05
Bistro 22,restaurant,"22 Sithole Street, Labone, Accra",+233 30 255 6622,,http://bistro22gh.com,,https://www.bing.com/maps,2026-04-05
Sunshine Salad Bar & Restaurant,restaurant,"3rd Street, 11 Lane Osu, Accra",+233 24 333 3667,,https://www.sunshinesaladbar.com,,https://www.bing.com/maps,2026-04-05
La Piazza,restaurant,"Embassy Road, 11th Lane, Osu, Accra",+233 30 277 6181,,https://www.lapiazza.com.gh,,https://www.bing.com/maps,2026-04-05
Tandoor Indian Restaurant,restaurant,"Soula Loop, Osu, Accra",+233 30 277 6440,,https://tandooraccra.com,,https://www.bing.com/maps,2026-04-05
Zion Thai Restaurant,restaurant,"Okoda Street, Osu, Accra",+233 54 996 7644,,,,"https://www.bing.com/maps",2026-04-05
Bella Afrik Authentic Italian Restaurant & Wooden Fire Pizzeria,restaurant,"Presidential Road, Osu, Accra",+233 20 893 1481,,https://www.bellaafrik.com,,https://www.bing.com/maps,2026-04-05
POMONA,restaurant,"13th Lane, Osu, Accra",+233 20 883 8838,,https://pomonaaccra.com,,https://www.bing.com/maps,2026-04-05
Chilli Ji Indian and Chinese Restaurant,restaurant,"Forico Mall, Mission Street, Osu, Accra",+233 50 584 2086,,,,https://www.bing.com/maps,2026-04-05
Noble House Restaurant,restaurant,"1st Kuku Crescent, Kuku Hill, Osu, Accra",+233 24 343 9035,,https://www.noblehouserestaurant.com,,https://www.bing.com/maps,2026-04-05
Tatale Vegan Restaurant,restaurant,"18th Lane, Osu, Accra",+233 55 386 9739,,https://www.tatalevelife.com,,https://www.bing.com/maps,2026-04-05
Le Pavillon Restaurant,restaurant,"Labone, Juba Villa, Accra",+233 59 899 9919,,https://www.lepavillon-restaurant.com,,https://www.bing.com/maps,2026-04-05
Le Magellan Restaurant,restaurant,"Ring Road East, Nyaniba Estate, Accra",+233 24 458 5858,,https://www.lemagellan.com,,https://www.bing.com/maps,2026-04-05
Brasa Restaurant,restaurant,"874 Ndabaningi Sithole Road, Osu, Accra",+233 30 278 2828,,https://www.brasaghana.com,,https://www.bing.com/maps,2026-04-05
Rockefellas Sushi Korean Continental Restaurant,restaurant,"5 Third Dade Walk, Osu, Accra",+233 20 111 1333,,https://www.rockefellasgh.com,,https://www.bing.com/maps,2026-04-05
Spadana Restaurant,restaurant,"Old American Embassy Visa Section, Osu, Accra",+233 20 888 8065,,,,https://www.bing.com/maps,2026-04-05
Zen Garden,restaurant,"Orphan Crescent, Labone, Accra",+233 20 888 0088,,https://www.zengardengh.com,,https://www.bing.com/maps,2026-04-05
