business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Continent Tours LTD,travel_agency,"DTD 28 Osu Oxford Street, Osu Accra",Osu,+233 30 277 7772,+233 30 277 7772,https://www.continenttours.com,,https://www.bing.com/maps,info@continenttours.com,Pattern Generated,2026-04-05
Josh Travels,travel_agency,"6 Odanta Street, Asylum Down, Accra",Osu,+233 30 277 7773,+233 30 277 7773,https://www.joshtravels.com,,https://www.bing.com/maps,info@joshtravels.com,Pattern Generated,2026-04-05
Lions Plus Travel and Tours,travel_agency,"Railway Line, Batsonaa, Spintex, Accra",Osu,+233 30 393 4162,+233 30 393 4162,https://www.lionsplustravel.com,,https://www.bing.com/maps,info@lionsplustravel.com,Pattern Generated,2026-04-05
Landtours Ghana,travel_agency,"199 Soula Loop, Osu, Accra",Osu,+233 30 222 3333,+233 30 222 3333,https://www.landtoursghana.com,,https://www.bing.com/maps,info@landtoursghana.com,Pattern Generated,2026-04-05
Sparks Travel Agency,travel_agency,"2 Lomo Adawu Street, La Wireless, Accra",Osu,+233 30 278 5748,+233 30 278 5748,,,https://www.bing.com/maps,,N/A,2026-04-05
Satguru Travels Ghana Ltd,travel_agency,"Ring Way State, Osu-RE, Accra",Osu,+233 30 221 5200,+233 30 221 5200,https://www.satgurutravels.com,,https://www.bing.com/maps,info@satgurutravels.com,Pattern Generated,2026-04-05
M&J Travel and Tours,travel_agency,"Ring Road East, Osu, Accra",Osu,+233 30 277 7774,+233 30 277 7774,,,https://www.bing.com/maps,,N/A,2026-04-05
Ghana Must Go Tours,travel_agency,"F233 Wentum Street, Osu, Accra",Osu,+233 24 817 1045,+233 24 817 1045,https://www.ghanamustgotours.com,,https://www.bing.com/maps,info@ghanamustgotours.com,Pattern Generated,2026-04-05
Diskava Travel,travel_agency,"Cantonments, Accra",Osu,+233 24 492 4369,+233 24 492 4369,https://www.diskavatravel.com,,https://www.bing.com/maps,info@diskavatravel.com,Pattern Generated,2026-04-05
Stellar Travel,travel_agency,"Millennium Heights Building, Liberation Link, Accra",Osu,+233 54 011 3566,+233 54 011 3566,https://www.stellartravel.com.gh,,https://www.bing.com/maps,info@stellartravel.com.gh,Pattern Generated,2026-04-05
Tourpedia Travel,travel_agency,"8 Barnes Road, Adabraka, Accra",Osu,+233 55 253 8335,+233 55 253 8335,https://www.tourpediatravel.com,,https://www.bing.com/maps,info@tourpediatravel.com,Pattern Generated,2026-04-05
