business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
PricewaterhouseCoopers Ghana,accounting_firm,"5th Ringway Close, Accra",Osu,+233 30 222 2000,+233 30 222 2000,https://www.pwc.com.gh,,https://www.bing.com/maps,info@pwc.com.gh,Pattern Generated,2026-04-05
Deloitte Ghana,accounting_firm,"Atlantic Tower, Liberation Road, Accra",Osu,+233 30 266 0000,+233 30 266 0000,https://www.deloitte.com/gh,,https://www.bing.com/maps,info@deloitte.com,Pattern Generated,2026-04-05
KPMG Ghana,accounting_firm,"Ring Road Central, Accra",Osu,+233 30 266 2000,+233 30 266 2000,https://www.kpmg.com.gh,,https://www.bing.com/maps,info@kpmg.com.gh,Pattern Generated,2026-04-05
Ernst & Young Ghana,accounting_firm,"5th Link, Airport Residential, Accra",Osu,+233 30 277 7733,+233 30 277 7733,https://www.ey.com/gh,,https://www.bing.com/maps,info@ey.com,Pattern Generated,2026-04-05
Mensah Bonsu & Co,accounting_firm,"Osu, Accra",Osu,+233 30 277 7734,+233 30 277 7734,,,https://www.bing.com/maps,,N/A,2026-04-05
Nubuke Foundation,art_gallery,"Nubuke Foundation, East Legon, Accra",Osu,+233 30 277 7783,+233 30 277 7783,https://www.nubukefoundation.org,,https://www.bing.com/maps,info@nubukefoundation.org,Pattern Generated,2026-04-05
Artists Alliance Gallery,art_gallery,"4 Barnes Road, Accra",Osu,+233 30 222 3344,+233 30 222 3344,https://www.artistsalliancegallery.com,,https://www.bing.com/maps,info@artistsalliancegallery.com,Pattern Generated,2026-04-05
Devonish Art Gallery,art_gallery,"Osu, Accra",Osu,+233 30 277 7784,+233 30 277 7784,https://www.devonishart.com,,https://www.bing.com/maps,info@devonishart.com,Pattern Generated,2026-04-05
Loom Gallery,art_gallery,"Osu, Accra",Osu,+233 30 277 7785,+233 30 277 7785,https://www.loomgallery.com,,https://www.bing.com/maps,info@loomgallery.com,Pattern Generated,2026-04-05
Foundation for Contemporary Art Ghana,art_gallery,"Osu, Accra",Osu,+233 24 333 5540,+233 24 333 5540,https://www.fcaghana.org,,https://www.bing.com/maps,info@fcaghana.org,Pattern Generated,2026-04-05
Nanny's CAKES,bakery,"Adabraka, Accra",Osu,+233 26 712 3132,+233 26 712 3132,https://www.nannyscakesgh.com,,https://www.bing.com/maps,info@nannyscakesgh.com,Pattern Generated,2026-04-05
Kareena Cakes,bakery,"18 Nmetsobu Street, Osu, Accra",Osu,+233 24 488 5454,+233 24 488 5454,https://www.kareenacakes.com,,https://www.bing.com/maps,info@kareenacakes.com,Pattern Generated,2026-04-05
Fine Things Patisserie,bakery,"4th Ridge Link, North Ridge, Accra",Osu,+233 20 174 2998,+233 20 174 2998,https://www.finethingspatisserie.com,,https://www.bing.com/maps,info@finethingspatisserie.com,Pattern Generated,2026-04-05
VEGAN SPICE BAKERY,bakery,"10 Puplampu Road, Osu, Accra",Osu,+233 30 276 2455,+233 30 276 2455,,,https://www.bing.com/maps,,N/A,2026-04-05
Kester Cakes and Pastries,bakery,"Mission Link, Golf Hills, Achimota, Accra",Osu,+233 24 350 3023,+233 24 350 3023,,,https://www.bing.com/maps,,N/A,2026-04-05
G & G Butter Cakes,bakery,"Ashaley Botwe, Accra",Osu,+233 20 766 4328,+233 20 766 4328,,,https://www.bing.com/maps,,N/A,2026-04-05
The Cupcake Boutique,bakery,"4676 Ndabaningi Sithole Road, Osu, Accra",Osu,+233 24 333 0000,+233 24 333 0000,https://www.thecupcakeboutiquegh.com,,https://www.bing.com/maps,info@thecupcakeboutiquegh.com,Pattern Generated,2026-04-05
Cake City,bakery,"7th Sakumo Link, Lartebiokorshie, Accra",Osu,+233 30 393 3185,+233 30 393 3185,,,https://www.bing.com/maps,,N/A,2026-04-05
Pastry Box,bakery,"Ashongman Estate, Accra",Osu,+233 24 091 8718,+233 24 091 8718,,,https://www.bing.com/maps,,N/A,2026-04-05
EAT by ZOE,bakery,"Mankralo Street House No. 2, East Cantonments, Accra",Osu,+233 20 888 5555,+233 20 888 5555,https://www.eatbyzoe.com,,https://www.bing.com/maps,info@eatbyzoe.com,Pattern Generated,2026-04-05
The Bakers Bar-Gh,bakery,"Marina Mall, Accra",Osu,+233 24 742 2400,+233 24 742 2400,https://www.thebakersbar.com,,https://www.bing.com/maps,info@thebakersbar.com,Pattern Generated,2026-04-05
Ghana Commercial Bank (GCB) Osu,bank,"Oxford Street, Osu, Accra",Osu,+233 30 222 7777,+233 30 222 7777,https://www.gcb.com.gh,,https://www.bing.com/maps,info@gcb.com.gh,Pattern Generated,2026-04-05
Ecobank Osu,bank,"Ring Road Central, Osu, Accra",Osu,+233 30 266 0000,+233 30 266 0000,https://www.ecobank.com,,https://www.bing.com/maps,info@ecobank.com,Pattern Generated,2026-04-05
