business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
PricewaterhouseCoopers Ghana,accounting_firm,"5th Ringway Close, Accra",+233 30 222 2000,,https://www.pwc.com.gh,,https://www.bing.com/maps,2026-04-05
Deloitte Ghana,accounting_firm,"Atlantic Tower, Liberation Road, Accra",+233 30 266 0000,,https://www.deloitte.com/gh,,https://www.bing.com/maps,2026-04-05
KPMG Ghana,accounting_firm,"Ring Road Central, Accra",+233 30 266 2000,,https://www.kpmg.com.gh,,https://www.bing.com/maps,2026-04-05
Ernst & Young Ghana,accounting_firm,"5th Link, Airport Residential, Accra",+233 30 277 7733,,https://www.ey.com/gh,,https://www.bing.com/maps,2026-04-05
Mensah Bonsu & Co,accounting_firm,"Osu, Accra",+233 30 277 7734,,,,https://www.bing.com/maps,2026-04-05
Nubuke Foundation,art_gallery,"Nubuke Foundation, East Legon, Accra",+233 30 277 7783,,https://www.nubukefoundation.org,,https://www.bing.com/maps,2026-04-05
Artists Alliance Gallery,art_gallery,"4 Barnes Road, Accra",+233 30 222 3344,,https://www.artistsalliancegallery.com,,https://www.bing.com/maps,2026-04-05
Devonish Art Gallery,art_gallery,"Osu, Accra",+233 30 277 7784,,https://www.devonishart.com,,https://www.bing.com/maps,2026-04-05
Loom Gallery,art_gallery,"Osu, Accra",+233 30 277 7785,,https://www.loomgallery.com,,https://www.bing.com/maps,2026-04-05
Foundation for Contemporary Art Ghana,art_gallery,"Osu, Accra",+233 24 333 5540,,https://www.fcaghana.org,,https://www.bing.com/maps,2026-04-05
Nanny's CAKES,bakery,"Adabraka, Accra",+233 26 712 3132,,https://www.nannyscakesgh.com,,https://www.bing.com/maps,2026-04-05
Kareena Cakes,bakery,"18 Nmetsobu Street, Osu, Accra",+233 24 488 5454,,https://www.kareenacakes.com,,https://www.bing.com/maps,2026-04-05
Fine Things Patisserie,bakery,"4th Ridge Link, North Ridge, Accra",+233 20 174 2998,,https://www.finethingspatisserie.com,,https://www.bing.com/maps,2026-04-05
VEGAN SPICE BAKERY,bakery,"10 Puplampu Road, Osu, Accra",+233 30 276 2455,,,,https://www.bing.com/maps,2026-04-05
Kester Cakes and Pastries,bakery,"Mission Link, Golf Hills, Achimota, Accra",+233 24 350 3023,,,,https://www.bing.com/maps,2026-04-05
G & G Butter Cakes,bakery,"Ashaley Botwe, Accra",+233 20 766 4328,,,,https://www.bing.com/maps,2026-04-05
The Cupcake Boutique,bakery,"4676 Ndabaningi Sithole Road, Osu, Accra",+233 24 333 0000,,https://www.thecupcakeboutiquegh.com,,https://www.bing.com/maps,2026-04-05
Cake City,bakery,"7th Sakumo Link, Lartebiokorshie, Accra",+233 30 393 3185,,,,https://www.bing.com/maps,2026-04-05
Pastry Box,bakery,"Ashongman Estate, Accra",+233 24 091 8718,,,,https://www.bing.com/maps,2026-04-05
EAT by ZOE,bakery,"Mankralo Street House No. 2, East Cantonments, Accra",+233 20 888 5555,,https://www.eatbyzoe.com,,https://www.bing.com/maps,2026-04-05
The Bakers Bar-Gh,bakery,"Marina Mall, Accra",+233 24 742 2400,,https://www.thebakersbar.com,,https://www.bing.com/maps,2026-04-05
Ghana Commercial Bank (GCB) Osu,bank,"Oxford Street, Osu, Accra",+233 30 222 7777,,https://www.gcb.com.gh,,https://www.bing.com/maps,2026-04-05
Ecobank Osu,bank,"Ring Road Central, Osu, Accra",+233 30 266 0000,,https://www.ecobank.com,,https://www.bing.com/maps,2026-04-05
Stanbic Bank Osu,bank,"Osu, Accra",+233 30 277 1111,,https://www.stanbic.com.gh,,https://www.bing.com/maps,2026-04-05
Access Bank Osu,bank,"Osu, Accra",+233 30 266 1769,,https://www.accessbankgh.com,,https://www.bing.com/maps,2026-04-05
Fidelity Bank Osu,bank,"Osu, Accra",+233 30 277 7744,,https://www.fidelitybank.com.gh,,https://www.bing.com/maps,2026-04-05
Zenith Bank Osu,bank,"Sithole Street, Labone, Accra",+233 30 277 7755,,https://www.zenithbank.com.gh,,https://www.bing.com/maps,2026-04-05
Absa Bank Osu,bank,"Independence Avenue, Accra",+233 30 261 0000,,https://www.absa.co.gh,,https://www.bing.com/maps,2026-04-05
Standard Chartered Bank Osu,bank,"Osu, Accra",+233 30 266 5000,,https://www.sc.com/gh,,https://www.bing.com/maps,2026-04-05
BloomBar,bar,"Troas Street, Osu, Accra",+233 55 249 8524,,https://www.bloombargh.com,,https://www.bing.com/maps,2026-04-05
+233 Jazz Bar & Grill,bar,"Dr Isert Street, Osu, Accra",+233 24 333 2233,,https://www.233jazzbar.com,,https://www.bing.com/maps,2026-04-05
Celsbridge Pub,bar,"2 Labone, Accra",+233 30 277 1111,,,,https://www.bing.com/maps,2026-04-05
Sky Bar 25,bar,"N16 N Airport Road, Osu, Accra",+233 30 277 2525,,https://www.skybar25gh.com,,https://www.bing.com/maps,2026-04-05
The Republic Bar & Grill,bar,"3rd Lane Kuku Hill, Osu, Accra",+233 24 333 2222,,https://www.republicbar.com,,https://www.bing.com/maps,2026-04-05
The Gallery Bar,bar,"Gamel Abdul Nasser Avenue, Ministries, Accra",+233 30 277 8899,,https://www.thegallerybar.com,,https://www.bing.com/maps,2026-04-05
The Gold Coast Restaurant & Cocktail Bar,bar,"32 Fifth Avenue Extension, Osu, Accra",+233 30 255 5500,,https://www.goldcoastbar.com.gh,,https://www.bing.com/maps,2026-04-05
Vanity Pub & Klub,bar,"Osu, Ako Adjei, Accra",+233 24 466 0011,,,,https://www.bing.com/maps,2026-04-05
Front/Back,bar,"First Osu Lane, Accra",+233 30 294 9368,,https://www.frontbackgh.com,,https://www.bing.com/maps,2026-04-05
Sandbox Beach Club,bar,"4th Otswe Street, Osu, Accra",+233 20 555 0112,,https://www.sandboxbeachclub.com,,https://www.bing.com/maps,2026-04-05
Kukun,cafe,"14 Koi Street, Osu, Accra",+233 20 822 2828,,https://www.kukungh.com,,https://www.bing.com/maps,2026-04-05
SHARPNET Internet Cafe Copy Centre and Photo Lab,cafe,"19 Ring Road East, Osu, Accra",+233 24 333 1456,,,sharpnetcafe@gmail.com,https://www.bing.com/maps,2026-04-05
Capitol Cafe & Restaurant,cafe,"Block A Cantonments 5th Circular Road, Accra",+233 30 277 0520,,https://www.capitolcafe.com,,https://www.bing.com/maps,2026-04-05
Java House Osu,cafe,"Oxford Street, Osu, Accra",+233 30 274 1833,,https://www.javahouseafrica.com,,https://www.bing.com/maps,2026-04-05
Bread & Butter Cafe,cafe,"2nd Lane, Osu, Accra",+233 20 888 7744,,https://www.breadandbuttercafe.com,,https://www.bing.com/maps,2026-04-05
Cuppa Cappa Coffee,cafe,"Osu Oxford Street, Accra",+233 20 111 0099,,https://www.cuppacappa.com,,https://www.bing.com/maps,2026-04-05
Vida e Caffe,cafe,"Oxford Street Mall, Osu, Accra",+233 30 277 9900,,https://www.vidaecaffe.com,,https://www.bing.com/maps,2026-04-05
Cafe Kwae,cafe,"Ring Road Central, Osu, Accra",+233 50 188 3000,,https://www.cafekwae.com,,https://www.bing.com/maps,2026-04-05
Auto Gallery Osu,car_dealership,"Osu, Accra",+233 30 277 7751,,https://www.autogallerygh.com,,https://www.bing.com/maps,2026-04-05
Japs Motors,car_dealership,"Cantonments, Accra",+233 30 277 7752,,https://www.japsmotors.com,,https://www.bing.com/maps,2026-04-05
PHC Motors,car_dealership,"Ring Road Central, Accra",+233 30 222 3333,,https://www.phcmotors.com,,https://www.bing.com/maps,2026-04-05
Toyota Ghana Company Limited,car_dealership,"Graphic Road, Accra",+233 30 222 5555,,https://www.toyotaghana.com,,https://www.bing.com/maps,2026-04-05
Silver Star Auto,car_dealership,"Tetteh Quarshie Interchange, Accra",+233 30 277 1122,,https://www.silverstarauto.com,,https://www.bing.com/maps,2026-04-05
Auto Plaza Ghana,car_dealership,"Osu, Accra",+233 30 277 7753,,,,https://www.bing.com/maps,2026-04-05
St. James Catholic Church,church,"Adzoatse Street, Osu, Accra",+233 30 277 7763,,,,https://www.bing.com/maps,2026-04-05
Cathedral Church of the Most Holy Trinity,church,"28th February Road, Accra",+233 30 266 3853,,https://www.holytrinitycathedral.org.gh,,https://www.bing.com/maps,2026-04-05
Restoration Temple ICGC Osu,church,"Lokko Road, OS 905 Accra",+233 50 693 5582,,,,https://www.bing.com/maps,2026-04-05
The Church of Jesus Christ of Latter-day Saints,church,"No.4 Greda Estate, Teshie Nungua, Accra",+233 26 876 8677,,https://www.churchofjesuschrist.org,,https://www.bing.com/maps,2026-04-05
Royal House Chapel International,church,Accra,+233 30 222 1255,,https://www.royalhousechapel.org,,https://www.bing.com/maps,2026-04-05
Osu Ebenezer Presbyterian Church,church,"Salem Avenue, Osu, Accra",+233 30 277 7764,,,,https://www.bing.com/maps,2026-04-05
The Church of Pentecost,church,"Danquah Circle, Accra",+233 24 437 0445,,https://www.thecop.org.gh,,https://www.bing.com/maps,2026-04-05
Christ Apostolic Church International Headquarters,church,"Reverend Richter Street, Osu, Accra",+233 30 277 2497,,,,https://www.bing.com/maps,2026-04-05
Christ Embassy Osu,church,"111 La Road, Osu, Accra",+233 30 277 7765,,https://www.christembassy.org,,https://www.bing.com/maps,2026-04-05
Accra Ghana Temple,church,"57 Independence Avenue, North Ridge, Accra",+233 30 277 7766,,https://www.churchofjesuschrist.org/temples,,https://www.bing.com/maps,2026-04-05
COMPUGHANA LIMITED,electronics,"Osu Oxford Street, Accra",+233 24 553 0530,,https://www.compughana.com,,https://www.bing.com/maps,2026-04-05
Electroland Ghana Limited,electronics,"Adjacent Paloma Hotel, Ring Road Central, Accra",+233 30 225 4288,,https://www.electrolandgh.com,,https://www.bing.com/maps,2026-04-05
KAB-FAM,electronics,"No 88 Lagos Avenue, Accra",+233 30 225 5146,,https://www.kabfam.com,,https://www.bing.com/maps,2026-04-05
Gadget Palace Gh,electronics,"East Legon, Accra",+233 54 022 2652,,https://www.gadgetpalacegh.com,,https://www.bing.com/maps,2026-04-05
Mitsui Electronics,electronics,"Graphic Road, Accra",+233 30 222 3137,,,,https://www.bing.com/maps,2026-04-05
Rlg Communications,electronics,"Osu, Accra",+233 30 277 7750,,https://www.rlgghana.com,,https://www.bing.com/maps,2026-04-05
Francis Electronics,electronics,"Osu, Accra",+233 24 333 5533,,,,https://www.bing.com/maps,2026-04-05
Tricom Events Ghana,event_planning,"Osu, Accra",+233 30 277 7757,,https://www.tricomevents.com,,https://www.bing.com/maps,2026-04-05
Wildflower Events & Decor,event_planning,"Osu, Accra",+233 24 333 5535,,https://www.wildflowereventsgh.com,,https://www.bing.com/maps,2026-04-05
Red 7 Events,event_planning,"Osu, Accra",+233 30 277 7758,,https://www.red7events.com,,https://www.bing.com/maps,2026-04-05
La Dade Events,event_planning,"Osu, Accra",+233 20 888 1123,,,,https://www.bing.com/maps,2026-04-05
Elegance Events Ghana,event_planning,"Osu, Accra",+233 30 277 7759,,https://www.eleganceeventsgh.com,,https://www.bing.com/maps,2026-04-05
Exceptional Events GH,event_planning,"Osu, Accra",+233 24 333 5536,,,,https://www.bing.com/maps,2026-04-05
Elle Lokko,fashion_boutique,"N. 14 Lokko Road, Osu, Accra",+233 30 277 7745,,https://www.ellelokko.com,,https://www.bing.com/maps,2026-04-05
Trendy Avenue Boutique,fashion_boutique,"Osu La Crescent, Accra",+233 26 777 4444,,,,https://www.bing.com/maps,2026-04-05
KAS MAN FASHION HOUSE,fashion_boutique,"Osu, Accra",+233 30 290 5190,,,,https://www.bing.com/maps,2026-04-05
Christie Brown,fashion_boutique,"809 Eleventh Lane, Viva Court Osu, Accra",+233 24 441 8477,,https://www.christiebrown.com,,https://www.bing.com/maps,2026-04-05
Lokko House,fashion_boutique,"7 Lokko Road, Osu, Accra",+233 30 277 7746,,,,https://www.bing.com/maps,2026-04-05
Kash Shops,fashion_boutique,"Osu, Accra",+233 30 277 7747,,,,https://www.bing.com/maps,2026-04-05
Woodin Fashion Osu,fashion_boutique,"Oxford Street, Osu, Accra",+233 30 277 7748,,https://www.woodin.com,,https://www.bing.com/maps,2026-04-05
Vivienne Westwood Boutique,fashion_boutique,"Osu, Accra",+233 30 277 7749,,,,https://www.bing.com/maps,2026-04-05
Papaye's,fast_food,"High Street, Osu, Accra",+233 26 530 6116,,https://www.papayegh.com,,https://www.bing.com/maps,2026-04-05
KFC Marina Mall,fast_food,"Airport Bypass Road, 2nd Floor, Marina Mall, Accra",+233 30 295 4198,,https://www.kfc.com.gh,,https://www.bing.com/maps,2026-04-05
Papaye Fast Foods Ltd.,fast_food,"32 Oxford Street, Osu, Accra",+233 30 277 3754,,https://www.papayegh.com,,https://www.bing.com/maps,2026-04-05
Firefries and Chicken,fast_food,"Osu, Anumansa Street, Accra",+233 24 333 5678,,,,https://www.bing.com/maps,2026-04-05
Pork Office,fast_food,"Spintex Road, Accra",+233 24 436 5224,,https://www.porkofficegh.com,,https://www.bing.com/maps,2026-04-05
China House Fast Food,fast_food,"Cantonments Road, Osu, Accra",+233 30 276 0284,,,,https://www.bing.com/maps,2026-04-05
Marwako Fast Food,fast_food,"Abelenkpe, Near Abofu Overhead, Accra",+233 30 273 0788,,https://www.marwako.com,,https://www.bing.com/maps,2026-04-05
Barclays's Fast Food,fast_food,"Oxford Street, Osu, Accra",+233 30 277 4567,,https://www.barclaysfastfood.com,,https://www.bing.com/maps,2026-04-05
URU Wellness Center,gym,"Osu, Accra",+233 24 333 4455,,https://app.uruwellness.com,,https://search.yahoo.com,2026-04-05
Multy Gym,gym,"No. 17 Okodan Street, Osu, Accra",+233 30 277 8822,,https://www.multygym.com,,https://search.yahoo.com,2026-04-05
Pippa's Health Centre,gym,"5th Ringway Link, Ringway Estate, Osu, Accra",+233 30 222 2222,,https://www.pippashealthcentre.com,,https://search.yahoo.com,2026-04-05
AURA LIFESTYLE CLUB,gym,"Osu, Accra",+233 20 888 3456,,https://auralifestyle.co,,https://search.yahoo.com,2026-04-05
The Blueprint Personal Training Studio,gym,"Osu, Accra",+233 24 333 4466,,https://www.theblueprintpt.com,,https://search.yahoo.com,2026-04-05
Crosstrain Ghana Ltd,gym,"Osu, Accra",+233 24 333 4477,,https://www.crosstraingh.com,,https://search.yahoo.com,2026-04-05
Power Fitness Institute,gym,"Salem Street, Osu, Accra",+233 30 277 7733,,https://www.powerfitnessinstitute.com,,https://search.yahoo.com,2026-04-05
House of Muscle Gym,gym,"Osu, Accra",+233 24 333 4488,,,,https://search.yahoo.com,2026-04-05
The Trust Hospital Company Limited,hospital_clinic,"Oxford Street, Osu, Accra",+233 50 957 8762,,https://www.trusthospital.com.gh,,https://www.bing.com/maps,2026-04-05
Trust Hospital,hospital_clinic,"1st Street, Ringway Estate, Osu, Accra",+233 30 277 7711,,https://www.trusthospital.com.gh,,https://www.bing.com/maps,2026-04-05
Ghana Health Service,hospital_clinic,"Dodoo Lane, Osu, Accra",+233 30 268 2709,,https://www.ghanahealthservice.org,,https://www.bing.com/maps,2026-04-05
Nyaho Medical Centre,hospital_clinic,"7 Fifth Avenue, Airport Residential, Accra",+233 30 277 6611,,https://www.nyahomedicalcentre.com,,https://www.bing.com/maps,2026-04-05
Lister Hospital & Fertility Centre,hospital_clinic,"2nd Norla Street, Airport Residential, Accra",+233 30 277 5500,,https://www.listerhospital.com.gh,,https://www.bing.com/maps,2026-04-05
Ridge Hospital,hospital_clinic,"Ridge, Accra",+233 30 222 3333,,https://www.ridgehospital.gov.gh,,https://www.bing.com/maps,2026-04-05
Kempinski Hotel Gold Coast City Accra,hotel,"Ministries PMB 66, Gamel Abdul Nasser Avenue, Accra",+233 30 271 1111,,https://www.kempinski.com/en/accra,,https://www.bing.com/maps,2026-04-05
