business_name,category,niche,address,city,phone,phone_2,website,email,whatsapp,social_media,contact_person,date_collected,source,source_url
Absa (Oxford Street),Financial Services,Banking,Oxford Street,Osu,+233 57 773 9917,,https://www.absa.com.gh,service.excellence.GH@absa.africa,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Standard Chartered Bank (Oxford St),Financial Services,Banking,Oxford Street,Osu,+233 30 261 0750,+233 30 263 3428,https://www.sc.com/gh,feedback.ghana@sc.com,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Bank of Africa (Oxford St),Financial Services,Banking,Oxford Street,Osu,+233 30 276 9518,+233 30 276 9588,https://boaghana.com/,osu.bo@boaghana.com,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Ecobank (Oxford St),Financial Services,Banking,Oxford Street,Osu,+233 30 291 2785,+233 30 291 2786,https://ecobank.com/gh/,ecobankenquiries@ecobank.com,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
CalBank (Oxford St),Financial Services,Banking,Oxford Street,Osu,+233 24 434 3710,+233 59 383 4181,https://calbank.net,customercare@calbank.net,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
ADB (Oxford St),Financial Services,Banking,Oxford Street,Osu,+233 30 278 2386,+233 30 277 9696,,customercare@agricbank.com,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Consolidated Bank Ghana,Financial Services,Banking,Osu,Osu,,,https://cbg.com.gh/,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
GCB Bank,Financial Services,Banking,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Access Bank,Financial Services,Banking,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Société Générale,Financial Services,Banking,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Universal Merchant Bank,Financial Services,Banking,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
GT Bank,Financial Services,Banking,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
First Atlantic Bank,Financial Services,Banking,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
OmniBank,Financial Services,Banking,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Albrim Microfinance,Financial Services,Microfinance,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Frankie's,Food & Dining,Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Monsoon - Food Court,Food & Dining,Food Court,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Zion Thai Restaurant,Food & Dining,Thai Restaurant,Osu,Osu,+233 54 996 7644,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Dynasty Chinese Restaurant,Food & Dining,Chinese Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Bella Roma,Food & Dining,Italian Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Hin Lone,Food & Dining,Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Regal Chinese Restaurant,Food & Dining,Chinese Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
