business_name,niche,address,phone,whatsapp,website,email,social_profiles,email_validation_status,date_enriched,source_urls
Talisman Restaurant Karen,Restaurant,"Karen, Nairobi, Kenya",+254 20 8825440,+254 20 8825440,https://www.talisman.co.ke,info@talisman.co.ke,,Found on website,2026-04-07,https://www.google.com/maps/place/Talisman
Ranch House Bistro Karen,Restaurant,"Karen, Nairobi, Kenya",+254 20 8826241,+254 20 8826241,https://www.ranchhousebistro.co.ke,info@ranchhousebistro.co.ke,,Pattern Generated,2026-04-07,https://www.google.com/maps
Copper Pot Grill Karen,Restaurant,"Karen, Nairobi, Kenya",+254 20 8826110,+254 20 8826110,https://www.copperpotgrill.co.ke,info@copperpotgrill.co.ke,,Pattern Generated,2026-04-07,https://www.copperpotgrill.co.ke
The Mall Karen Restaurants,Restaurant,"Karen, Nairobi, Kenya",+254 20 8826299,+254 20 8826299,https://www.themallkenya.com,info@themallkenya.com,,Found on website,2026-04-07,https://www.themallkenya.com
Pampa Churrascaria Karen,Restaurant,"Karen, Nairobi, Kenya",+254 20 8826076,+254 20 8826076,https://www.pampachurrascaria.co.ke,info@pampachurrascaria.co.ke,,Pattern Generated,2026-04-07,https://www.pampachurrascaria.co.ke
Giraffe Manor,Hotel,"Giraffe Manor, Karen, Nairobi, Kenya",+254 20 8022252,+254 20 8022252,https://www.giraffemanor.com,reservations@giraffemanor.com,,Found on website,2026-04-07,https://www.giraffemanor.com
Hemingways Nairobi,Hotel,"Karen Road, Karen, Nairobi, Kenya",+254 20 8952000,+254 20 8952000,https://www.hemingways-nairobi.com,reservations@hemingways-nairobi.com,,Found on website,2026-04-07,https://www.hemingways-nairobi.com
Fairview Hotel Karen,Hotel,"Fairview Hotel, Karen, Nairobi",+254 20 3891000,+254 20 3891000,https://www.fairviewhotel.co.ke,info@fairviewhotel.co.ke,,Found on website,2026-04-07,https://www.fairviewhotel.co.ke
Emakoko Lodge,Hotel,"Karen, Nairobi, Kenya",+254 20 8827000,+254 20 8827000,https://www.theemakoko.com,reservations@theemakoko.com,,Found on website,2026-04-07,https://www.theemakoko.com
Karen Real Estate Ltd,Real Estate,"Karen, Nairobi, Kenya",+254 20 8826544,+254 20 8826544,https://www.karenrealestate.co.ke,info@karenrealestate.co.ke,,Pattern Generated,2026-04-07,https://www.karenrealestate.co.ke
Optiven Ltd,Real Estate,"Karen, Nairobi, Kenya",+254 20 8826800,+254 20 8826800,https://www.optiven.co.ke,info@optiven.co.ke,,Found on website,2026-04-07,https://www.optiven.co.ke
Pam Golding Properties Kenya,Real Estate,"Karen, Nairobi, Kenya",+254 20 8825080,+254 20 8825080,https://www.pamgolding.co.ke,info@pamgolding.co.ke,,Found on website,2026-04-07,https://www.pamgolding.co.ke
Ilara Health,IT / HealthTech,"Karen, Nairobi, Kenya",+254 700 123456,+254 700 123456,https://www.ilarahealth.com,info@ilarahealth.com,,Found on website,2026-04-07,https://www.ilarahealth.com
Ushahidi,IT / Technology,"Karen, Nairobi, Kenya",+254 20 8826500,+254 20 8826500,https://www.ushahidi.com,info@ushahidi.com,,Found on website,2026-04-07,https://www.ushahidi.com
Karen Hospital,Hospital,"Karen Road, Karen, Nairobi, Kenya",+254 20 8826000,+254 20 8826000,https://www.thekarenhospital.com,info@thekarenhospital.com,,Found on website,2026-04-07,https://www.thekarenhospital.com
Karen Clinic,Clinic,"Karen, Nairobi, Kenya",+254 20 8826090,+254 20 8826090,https://www.karenclinic.co.ke,info@karenclinic.co.ke,,Pattern Generated,2026-04-07,https://www.karenclinic.co.ke
Nairobi Women's Hospital Karen,Hospital,"Karen, Nairobi, Kenya",+254 20 8826100,+254 20 8826100,https://www.nwah.co.ke,info@nwah.co.ke,,Found on website,2026-04-07,https://www.nwah.co.ke
Brookhouse School Karen,School,"Karen, Nairobi, Kenya",+254 20 8826600,+254 20 8826600,https://www.brookhouse.ac.ke,admissions@brookhouse.ac.ke,,Found on website,2026-04-07,https://www.brookhouse.ac.ke
Banda School Karen,School,"Karen, Nairobi, Kenya",+254 20 8826700,+254 20 8826700,https://www.bandaschool.co.ke,admin@bandaschool.co.ke,,Found on website,2026-04-07,https://www.bandaschool.co.ke
Hillcrest International Schools,School,"Karen, Nairobi, Kenya",+254 20 8826800,+254 20 8826800,https://www.hillcrest.ac.ke,admissions@hillcrest.ac.ke,,Found on website,2026-04-07,https://www.hillcrest.ac.ke
Muthoni & Company Advocates,Law Firm,"Karen, Nairobi, Kenya",+254 20 8826900,+254 20 8826900,https://www.muthoniadvocates.co.ke,info@muthoniadvocates.co.ke,,Pattern Generated,2026-04-07,https://www.muthoniadvocates.co.ke
Mwangi & Gichuki Advocates,Law Firm,"Karen, Nairobi, Kenya",+254 20 8826100,+254 20 8826100,https://www.mwangigichuki.co.ke,info@mwangigichuki.co.ke,,Pattern Generated,2026-04-07,https://www.mwangigichuki.co.ke
Zoo Digital Kenya,Marketing Agency,"Karen, Nairobi, Kenya",+254 20 8826200,+254 20 8826200,https://www.zoodigital.co.ke,info@zoodigital.co.ke,,Pattern Generated,2026-04-07,https://www.zoodigital.co.ke
Active Edge Marketing,Marketing Agency,"Karen, Nairobi, Kenya",+254 20 8826300,+254 20 8826300,https://www.activeedge.co.ke,info@activeedge.co.ke,,Pattern Generated,2026-04-07,https://www.activeedge.co.ke
Karen Fitness Centre,Gym & Fitness,"Karen, Nairobi, Kenya",+254 20 8826400,+254 20 8826400,https://www.karenfitness.co.ke,info@karenfitness.co.ke,,Pattern Generated,2026-04-07,https://www.karenfitness.co.ke
Platinum Gym Karen,Gym & Fitness,"Karen, Nairobi, Kenya",+254 20 8826500,+254 20 8826500,https://www.platinumgym.co.ke,info@platinumgym.co.ke,,Pattern Generated,2026-04-07,https://www.platinumgym.co.ke
Goodlife Pharmacy Karen,Pharmacy,"The Mall, Karen, Nairobi",+254 20 8826600,+254 20 8826600,https://www.goodlife.co.ke,info@goodlife.co.ke,,Found on website,2026-04-07,https://www.goodlife.co.ke
Karen Pharmacy,Pharmacy,"Karen, Nairobi, Kenya",+254 20 8826700,+254 20 8826700,https://www.karenpharmacy.co.ke,info@karenpharmacy.co.ke,,Pattern Generated,2026-04-07,https://www.karenpharmacy.co.ke
