business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Talisman Restaurant Karen,Restaurant,"Karen, Nairobi, Kenya",Karen,+254 20 8825440,+254 20 8825440,https://www.talisman.co.ke,,https://www.google.com/maps/place/Talisman,info@talisman.co.ke,invalid_no_mx,2026-04-07
Ranch House Bistro Karen,Restaurant,"Karen, Nairobi, Kenya",Karen,+254 20 8826241,+254 20 8826241,https://www.ranchhousebistro.co.ke,,https://www.google.com/maps,info@ranchhousebistro.co.ke,invalid_no_mx,2026-04-07
Copper Pot Grill Karen,Restaurant,"Karen, Nairobi, Kenya",Karen,+254 20 8826110,+254 20 8826110,https://www.copperpotgrill.co.ke,,https://www.copperpotgrill.co.ke,info@copperpotgrill.co.ke,invalid_no_mx,2026-04-07
The Mall Karen Restaurants,Restaurant,"Karen, Nairobi, Kenya",Karen,+254 20 8826299,+254 20 8826299,https://www.themallkenya.com,,https://www.themallkenya.com,info@themallkenya.com,valid_mx,2026-04-07
Pampa Churrascaria Karen,Restaurant,"Karen, Nairobi, Kenya",Karen,+254 20 8826076,+254 20 8826076,https://www.pampachurrascaria.co.ke,,https://www.pampachurrascaria.co.ke,info@pampachurrascaria.co.ke,invalid_no_mx,2026-04-07
Giraffe Manor,Hotel,"Giraffe Manor, Karen, Nairobi, Kenya",Karen,+254 20 8022252,+254 20 8022252,https://www.giraffemanor.com,,https://www.giraffemanor.com,reservations@giraffemanor.com,valid_mx,2026-04-07
Hemingways Nairobi,Hotel,"Karen Road, Karen, Nairobi, Kenya",Karen,+254 20 8952000,+254 20 8952000,https://www.hemingways-nairobi.com,,https://www.hemingways-nairobi.com,reservations@hemingways-nairobi.com,valid_a_record,2026-04-07
Fairview Hotel Karen,Hotel,"Fairview Hotel, Karen, Nairobi",Karen,+254 20 3891000,+254 20 3891000,https://www.fairviewhotel.co.ke,,https://www.fairviewhotel.co.ke,info@fairviewhotel.co.ke,invalid_no_mx,2026-04-07
Emakoko Lodge,Hotel,"Karen, Nairobi, Kenya",Karen,+254 20 8827000,+254 20 8827000,https://www.theemakoko.com,,https://www.theemakoko.com,reservations@theemakoko.com,valid_a_record,2026-04-07
Karen Real Estate Ltd,Real Estate,"Karen, Nairobi, Kenya",Karen,+254 20 8826544,+254 20 8826544,https://www.karenrealestate.co.ke,,https://www.karenrealestate.co.ke,info@karenrealestate.co.ke,invalid_no_mx,2026-04-07
