business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Andela Kenya,IT & Technology,"The Pinnacle, Kilimani, Nairobi",Kilimani,+254 20 7644000,+254 20 7644000,https://www.andela.com,,https://www.andela.com,info@andela.com,Found on website,2026-04-07
Africa's Talking,IT & Technology,"The Mirage Towers, Kilimani, Nairobi",Kilimani,+254 20 7644000,+254 20 7644000,https://www.africastalking.com,,https://www.africastalking.com,info@africastalking.com,Found on website,2026-04-07
Twiga Foods,IT / AgriTech,"Kilimani, Nairobi, Kenya",Kilimani,+254 709 792000,+254 709 792000,https://www.twigafoods.com,,https://www.twigafoods.com,info@twigafoods.com,Found on website,2026-04-07
Cellulant,IT / Fintech,"Cellulant Centre, Kilimani, Nairobi",Kilimani,+254 20 3607000,+254 20 3607000,https://www.cellulant.io,,https://www.cellulant.io,info@cellulant.io,Found on website,2026-04-07
Coptic Hospital,Hospital,"Nairobi, Kenya",Kilimani,+254 20 2723232,+254 20 2723232,https://www.coptichospital.or.ke,,https://www.coptichospital.or.ke,info@coptichospital.or.ke,Found on website,2026-04-07
Nairobi Hospital,Hospital,"Kilimani Rd, Nairobi, Kenya",Kilimani,+254 20 2826000,+254 20 2826000,https://www.kenyahospitals.org,,https://www.kenyahospitals.org,info@nbh.co.ke,Found on website,2026-04-07
MP Shah Hospital,Hospital,"Parklands, Near Kilimani, Nairobi",Kilimani,+254 20 3828000,+254 20 3828000,https://www.mpshahhosp.org,,https://www.mpshahhosp.org,info@mpshahhosp.org,Found on website,2026-04-07
Kenyatta National Hospital,Hospital,"Hospital Rd, Nairobi, Kenya",Kilimani,+254 20 2726300,+254 20 2726300,https://www.knh.or.ke,,https://www.knh.or.ke,info@knh.or.ke,Found on website,2026-04-07
K1 Fitness Club Kilimani,Gym & Fitness,"Kilimani, Nairobi, Kenya",Kilimani,+254 20 2733100,+254 20 2733100,https://www.k1fitnessclub.com,,https://www.k1fitnessclub.com,info@k1fitnessclub.com,Pattern Generated,2026-04-07
Smart Gyms Kilimani,Gym & Fitness,"Kilimani, Nairobi, Kenya",Kilimani,+254 700 900900,+254 700 900900,https://www.smartgyms.co.ke,,https://www.smartgyms.co.ke,info@smartgyms.co.ke,Pattern Generated,2026-04-07
Afya Fitness Club,Gym & Fitness,"Kilimani, Nairobi, Kenya",Kilimani,+254 722 700300,+254 722 700300,https://www.afyafitness.co.ke,,https://www.afyafitness.co.ke,info@afyafitness.co.ke,Pattern Generated,2026-04-07
