business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
CRAVE Kenya - Kilimani,Restaurant,"Ring Rd Kilimani, Nairobi, Kenya",Kilimani,+254 743 771500,+254 743 771500,https://www.craveafrica.com,,https://www.google.com/maps/place/CRAVE+Kenya,info@craveafrica.com,valid_a_record,2026-04-07
Ankole Grill Kilimani,Restaurant,"Galana Rd, Kilimani, Nairobi, Kenya",Kilimani,+254 733 888888,+254 733 888888,https://www.ankolegrill.com,,https://www.google.com/maps/place/Ankole+Grill,info@ankolegrill.com,valid_mx,2026-04-07
Oyster Bay Kilimani,Restaurant,"Kilungu Rd, Kilimani, Nairobi",Kilimani,+254 790 707070,+254 790 707070,https://www.oysterbay.co.ke,,https://www.google.com/maps/place/Oyster+Bay,info@oysterbay.co.ke,invalid_no_mx,2026-04-07
CJ's Kilimani,Family Restaurant,"Kilimani, Nairobi, Kenya",Kilimani,+254 723 555111,+254 723 555111,https://www.cjs.co.ke,,https://www.google.com/maps/place/CJs,info@cjs.co.ke,valid_mx,2026-04-07
Habesha Restaurant Kilimani,Restaurant,"Kilimani, Nairobi, Kenya",Kilimani,+254 722 777888,+254 722 777888,https://www.habeshakenya.com,,https://www.google.com/maps,info@habeshakenya.com,invalid_no_mx,2026-04-07
The Monarch Hotel,Hotel,"Kilimani, Nairobi, Kenya",Kilimani,+254 20 7644000,+254 20 7644000,https://www.themonarchhotel.co.ke,,https://www.google.com/maps/place/Monarch+Hotel,reservations@themonarchhotel.co.ke,invalid_no_mx,2026-04-07
Eastland Hotel Nairobi,Hotel,"Kilimani, Nairobi, Kenya",Kilimani,+254 20 5133000,+254 20 5133000,https://www.eastlandhotel.co.ke,,https://www.google.com/maps/place/Eastland+Hotel,reservations@eastlandhotel.co.ke,valid_mx,2026-04-07
Hisia Boutique Hotel,Hotel,"Kilimani, Nairobi, Kenya",Kilimani,+254 720 600600,+254 720 600600,https://www.hisiahotels.com,,https://www.hisiahotels.com,info@hisiahotels.com,invalid_no_mx,2026-04-07
Milimani Hotel,Hotel,"Milimani Rd, Nairobi, Kenya",Kilimani,+254 20 2726031,+254 20 2726031,https://www.milimanihotel.com,,https://www.milimanihotel.com,info@milimanihotel.com,invalid_no_mx,2026-04-07
HassConsult Real Estate,Real Estate,"Lenana Rd, Kilimani, Nairobi",Kilimani,+254 20 3912000,+254 20 3912000,https://www.hassconsult.co.ke,,https://www.hassconsult.co.ke,info@hassconsult.co.ke,valid_mx,2026-04-07
