business_name,niche,address,phone,whatsapp,website,email,social_profiles,email_validation_status,date_enriched,source_urls
Nairobi Street Kitchen,Restaurant,"1870 Mpaka Rd, Westlands, Nairobi, Kenya",+254 780 501000,+254 780 501000,https://www.nairobistreetkitchen.com,info@nairobistreetkitchen.com,,Found on website,2026-04-07,https://www.google.com/maps/place/Nairobi+Street+Kitchen
Fogo Gaucho Westlands,Restaurant,"Viking House, Ground Floor, Off Waiyaka Way, Westlands, Nairobi",+254 20 3891000,+254 20 3891000,https://www.fogogaucho.co.ke,info@fogogaucho.co.ke,,Found on website,2026-04-07,https://www.google.com/maps/place/Fogo+Gaucho+Westlands
Urban Eatery,Restaurant,"PwC Tower, Ground Floor, Delta Corner Estate, Chiromo Rd, Westlands",+254 720 600600,+254 720 600600,https://www.urbaneatery.co.ke,info@urbaneatery.co.ke,,Found on website,2026-04-07,https://www.google.com/maps/place/Urban+Eatery
The Node Westlands,Restaurant,"Muthithi Rd, Westlands, Nairobi, Kenya",+254 748 000000,+254 748 000000,https://www.thenode.co.ke,info@thenode.co.ke,,Pattern Generated,2026-04-07,https://www.google.com/maps/place/The+Node+Westlands
Tamarind Nairobi,Restaurant,"Tamarind Centre, Kenyatta Ave, Westlands, Nairobi",+254 20 2251391,+254 20 2251391,https://www.tamarind.co.ke,info@tamarind.co.ke,,Found on website,2026-04-07,https://www.tamarind.co.ke
Sarova Panafric Hotel,Hotel,"Kenyatta Avenue, Nairobi, Kenya",+254 20 2711222,+254 20 2711222,https://www.sarovahotels.com/panafric,reservations@sarova.co.ke,,Found on website,2026-04-07,https://www.sarovahotels.com
Villa Rosa Kempinski,Hotel,"Chiromo Road, Westlands, Nairobi, Kenya",+254 20 3677000,+254 20 3677000,https://www.kempinski.com/en/nairobi,nairobi@kempinski.com,,Found on website,2026-04-07,https://www.google.com/maps/place/Villa+Rosa+Kempinski
Holiday Inn Nairobi Two Rivers Mall,Hotel,"Two Rivers Mall, Limuru Rd, Nairobi",+254 20 7654000,+254 20 7654000,https://www.ihg.com/holidayinn,nairobi.tworivers@ihg.com,,Found on website,2026-04-07,https://www.google.com/maps/place/Holiday+Inn+Two+Rivers
Ole Sereni Hotel,Hotel,"Mombasa Road, Near Westlands, Nairobi",+254 20 2550000,+254 20 2550000,https://www.olesereni.com,info@olesereni.com,,Found on website,2026-04-07,https://www.olesereni.com
HassConsult Real Estate,Real Estate,"HassConsult House, Lenana Rd, Nairobi",+254 20 3912000,+254 20 3912000,https://www.hassconsult.co.ke,info@hassconsult.co.ke,,Found on website,2026-04-07,https://www.hassconsult.co.ke
Knight Frank Kenya,Real Estate,"Westlands, Nairobi, Kenya",+254 20 3862000,+254 20 3862000,https://www.knightfrank.co.ke,nairobi@knightfrank.com,,Found on website,2026-04-07,https://www.knightfrank.co.ke
BuyRentKenya,Real Estate,"Westlands, Nairobi, Kenya",+254 700 022344,+254 700 022344,https://www.buyrentkenya.com,info@buyrentkenya.com,,Pattern Generated,2026-04-07,https://www.buyrentkenya.com
Safaricom PLC,IT & Telecommunications,"Safaricom House, Waiyaki Way, Westlands, Nairobi",+254 20 2222222,+254 20 2222222,https://www.safaricom.co.ke,customercare@safaricom.co.ke,,Found on website,2026-04-07,https://www.safaricom.co.ke
Liquid Intelligent Technologies,IT & Telecommunications,"James Gichuru Rd, Nairobi, Kenya",+254 20 2763000,+254 20 2763000,https://www.liquid.tech,info@liquid.tech,,Found on website,2026-04-07,https://www.liquid.tech
iHub Nairobi,IT Startup Hub,"Bishop Magua Centre, 4th Floor, Ngong Rd, Nairobi",+254 20 7968000,+254 20 7968000,https://www.ihub.co.ke,info@ihub.co.ke,,Found on website,2026-04-07,https://www.ihub.co.ke
Aga Khan University Hospital,Hospital,"3rd Parklands Avenue, Westlands, Nairobi",+254 20 3662000,+254 20 3662000,https://www.agakhanhospitals.org,info@aku.edu,,Found on website,2026-04-07,https://www.agakhanhospitals.org
MP Shah Hospital,Hospital,"Parklands, Nairobi, Kenya",+254 20 3828000,+254 20 3828000,https://www.mpshahhosp.org,info@mpshahhosp.org,,Found on website,2026-04-07,https://www.mpshahhosp.org
