business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Nairobi Street Kitchen,Restaurant,"1870 Mpaka Rd, Westlands, Nairobi, Kenya",Westlands,+254 780 501000,+254 780 501000,https://www.nairobistreetkitchen.com,,https://www.google.com/maps/place/Nairobi+Street+Kitchen,info@nairobistreetkitchen.com,Found on website,2026-04-07
Fogo Gaucho Westlands,Restaurant,"Viking House, Ground Floor, Off Waiyaka Way, Westlands, Nairobi",Westlands,+254 20 3891000,+254 20 3891000,https://www.fogogaucho.co.ke,,https://www.google.com/maps/place/Fogo+Gaucho+Westlands,info@fogogaucho.co.ke,Found on website,2026-04-07
Urban Eatery,Restaurant,"PwC Tower, Ground Floor, Delta Corner Estate, Chiromo Rd, Westlands",Westlands,+254 720 600600,+254 720 600600,https://www.urbaneatery.co.ke,,https://www.google.com/maps/place/Urban+Eatery,info@urbaneatery.co.ke,Found on website,2026-04-07
The Node Westlands,Restaurant,"Muthithi Rd, Westlands, Nairobi, Kenya",Westlands,+254 748 000000,+254 748 000000,https://www.thenode.co.ke,,https://www.google.com/maps/place/The+Node+Westlands,info@thenode.co.ke,Pattern Generated,2026-04-07
Tamarind Nairobi,Restaurant,"Tamarind Centre, Kenyatta Ave, Westlands, Nairobi",Westlands,+254 20 2251391,+254 20 2251391,https://www.tamarind.co.ke,,https://www.tamarind.co.ke,info@tamarind.co.ke,Found on website,2026-04-07
Sarova Panafric Hotel,Hotel,"Kenyatta Avenue, Nairobi, Kenya",Westlands,+254 20 2711222,+254 20 2711222,https://www.sarovahotels.com/panafric,,https://www.sarovahotels.com,reservations@sarova.co.ke,Found on website,2026-04-07
Villa Rosa Kempinski,Hotel,"Chiromo Road, Westlands, Nairobi, Kenya",Westlands,+254 20 3677000,+254 20 3677000,https://www.kempinski.com/en/nairobi,,https://www.google.com/maps/place/Villa+Rosa+Kempinski,nairobi@kempinski.com,Found on website,2026-04-07
Holiday Inn Nairobi Two Rivers Mall,Hotel,"Two Rivers Mall, Limuru Rd, Nairobi",Westlands,+254 20 7654000,+254 20 7654000,https://www.ihg.com/holidayinn,,https://www.google.com/maps/place/Holiday+Inn+Two+Rivers,nairobi.tworivers@ihg.com,Found on website,2026-04-07
Ole Sereni Hotel,Hotel,"Mombasa Road, Near Westlands, Nairobi",Westlands,+254 20 2550000,+254 20 2550000,https://www.olesereni.com,,https://www.olesereni.com,info@olesereni.com,Found on website,2026-04-07
HassConsult Real Estate,Real Estate,"HassConsult House, Lenana Rd, Nairobi",Westlands,+254 20 3912000,+254 20 3912000,https://www.hassconsult.co.ke,,https://www.hassconsult.co.ke,info@hassconsult.co.ke,Found on website,2026-04-07
Knight Frank Kenya,Real Estate,"Westlands, Nairobi, Kenya",Westlands,+254 20 3862000,+254 20 3862000,https://www.knightfrank.co.ke,,https://www.knightfrank.co.ke,nairobi@knightfrank.com,Found on website,2026-04-07
BuyRentKenya,Real Estate,"Westlands, Nairobi, Kenya",Westlands,+254 700 022344,+254 700 022344,https://www.buyrentkenya.com,,https://www.buyrentkenya.com,info@buyrentkenya.com,Pattern Generated,2026-04-07
Safaricom PLC,IT & Telecommunications,"Safaricom House, Waiyaki Way, Westlands, Nairobi",Westlands,+254 20 2222222,+254 20 2222222,https://www.safaricom.co.ke,,https://www.safaricom.co.ke,customercare@safaricom.co.ke,Found on website,2026-04-07
Liquid Intelligent Technologies,IT & Telecommunications,"James Gichuru Rd, Nairobi, Kenya",Westlands,+254 20 2763000,+254 20 2763000,https://www.liquid.tech,,https://www.liquid.tech,info@liquid.tech,Found on website,2026-04-07
iHub Nairobi,IT Startup Hub,"Bishop Magua Centre, 4th Floor, Ngong Rd, Nairobi",Westlands,+254 20 7968000,+254 20 7968000,https://www.ihub.co.ke,,https://www.ihub.co.ke,info@ihub.co.ke,Found on website,2026-04-07
Aga Khan University Hospital,Hospital,"3rd Parklands Avenue, Westlands, Nairobi",Westlands,+254 20 3662000,+254 20 3662000,https://www.agakhanhospitals.org,,https://www.agakhanhospitals.org,info@aku.edu,Found on website,2026-04-07
MP Shah Hospital,Hospital,"Parklands, Nairobi, Kenya",Westlands,+254 20 3828000,+254 20 3828000,https://www.mpshahhosp.org,,https://www.mpshahhosp.org,info@mpshahhosp.org,Found on website,2026-04-07
Coptic Hospital,Hospital,"Along Othaya Rd, Nairobi, Kenya",Westlands,+254 20 2723232,+254 20 2723232,https://www.coptichospital.or.ke,,https://www.coptichospital.or.ke,info@coptichospital.or.ke,Found on website,2026-04-07
Braeburn School Nairobi,School,"Gitanga Road, Nairobi, Kenya",Westlands,+254 20 3871100,+254 20 3871100,https://www.braeburn.com,,https://www.braeburn.com,admissions@braeburn.com,Found on website,2026-04-07
International School of Kenya,School,"Kirawa Road, Nairobi, Kenya",Westlands,+254 20 2073300,+254 20 2073300,https://www.isk.ac.ke,,https://www.isk.ac.ke,admissions@isk.ac.ke,Found on website,2026-04-07
Peponi School,School,"Peponi Road, Westlands, Nairobi",Westlands,+254 20 2675363,+254 20 2675363,https://www.peponischool.org,,https://www.peponischool.org,admissions@peponischool.org,Found on website,2026-04-07
Anjarwalla & Khanna (ALN Kenya),Law Firm,"3rd Floor, One Africa Place, Westlands, Nairobi",Westlands,+254 20 2407000,+254 20 2407000,https://www.aln-africa.com,,https://www.aln-africa.com,info@aln-africa.com,Found on website,2026-04-07
Kaplan & Stratton Advocates,Law Firm,"Kaplan & Stratton Tower, Waiyaki Way, Westlands",Westlands,+254 20 3753000,+254 20 3753000,https://www.kaplanstratton.com,,https://www.kaplanstratton.com,info@kaplanstratton.com,Found on website,2026-04-07
Bowmans Law,Law Firm,"Delta Corner, Westlands, Nairobi",Westlands,+254 20 2407000,+254 20 2407000,https://www.bowmanslaw.com,,https://www.bowmanslaw.com,info@bowmanslaw.com,Pattern Generated,2026-04-07
Scangroup,Marketing Agency,"Scangroup Centre, Chiromo Rd, Westlands",Westlands,+254 20 3879000,+254 20 3879000,https://www.scangroup.com,,https://www.scangroup.com,info@scangroup.com,Found on website,2026-04-07
Ogilvy Africa Nairobi,Marketing Agency,"Nairobi, Kenya",Westlands,+254 20 3862000,+254 20 3862000,https://www.ogilvy.com,,https://www.ogilvy.com,info@ogilvy.com,Pattern Generated,2026-04-07
Gospel Creatives,Marketing Agency,"Westlands, Nairobi, Kenya",Westlands,+254 722 300300,+254 722 300300,https://www.gospelcreatives.co.ke,,https://www.gospelcreatives.co.ke,info@gospelcreatives.co.ke,Pattern Generated,2026-04-07
Fitness First Westlands,Gym & Fitness,"Sarit Centre, Westlands, Nairobi",Westlands,+254 20 3742000,+254 20 3742000,https://www.fitnessfirst.co.ke,,https://www.google.com/maps,info@fitnessfirst.co.ke,Pattern Generated,2026-04-07
Smart Gyms Westlands,Gym & Fitness,"Westlands, Nairobi, Kenya",Westlands,+254 700 900900,+254 700 900900,https://www.smartgyms.co.ke,,https://www.smartgyms.co.ke,info@smartgyms.co.ke,Pattern Generated,2026-04-07
Bodytec Westlands,Gym & Fitness,"Muthaiga Square, Westlands, Nairobi",Westlands,+254 718 222222,+254 718 222222,https://www.bodytec.co.ke,,https://www.bodytec.co.ke,info@bodytec.co.ke,Pattern Generated,2026-04-07
Goodlife Pharmacy Westlands,Pharmacy,"Sarit Centre, Westlands, Nairobi",Westlands,+254 20 3744000,+254 20 3744000,https://www.goodlife.co.ke,,https://www.goodlife.co.ke,info@goodlife.co.ke,Found on website,2026-04-07
Mediheal Pharmacy Westlands,Pharmacy,"Westlands, Nairobi, Kenya",Westlands,+254 711 050505,+254 711 050505,https://www.medihealpharmacy.co.ke,,https://www.medihealpharmacy.co.ke,info@medihealpharmacy.co.ke,Pattern Generated,2026-04-07
Chemist & Healthcare Westlands,Pharmacy,"Westlands, Nairobi, Kenya",Westlands,+254 20 3888000,+254 20 3888000,https://www.chemisthealthcare.co.ke,,https://www.google.com/maps,info@chemisthealthcare.co.ke,Pattern Generated,2026-04-07
