Business Name,Business Niche,Address,City Area,Phone Number,WhatsApp Contact,Website,Social Media Links,Google Maps Listing URL,Email Address,WhatsApp,Additional Phone Numbers,Website (Verified),Social Profiles,Email Validation Status,Date Enriched,Source URLs
"Radisson Hotel Lagos Ikeja","Hotel","27/29 Isaac John Street GRA Ikeja","Ikeja","+234 201 466 2380","Not Available","https://www.radissonhotels.com/en-us/hotels/radisson-lagos-ikeja","Not Available","https://maps.google.com/?cid=radisson-lagos-ikeja","reservations.ikeja@radisson.com","Not Available","Not Available","https://www.radissonhotels.com/en-us/hotels/radisson-lagos-ikeja","Not Available","Pending Validation","2025-06-23","https://www.radissonhotels.com/en-us/hotels/radisson-lagos-ikeja"
"Ikeja Residence by BON Hotels","Hotel","51 Sobo Ariobiodu Street GRA Ikeja Lagos","Ikeja","+234 707 203 2040","Not Available","https://bonhotels.com/hotel/ikeja-residence","Not Available","https://maps.google.com/?cid=ikeja-residence-bon-hotels","reservations@bonhotelikeja.com","Not Available","Not Available","https://bonhotels.com/hotel/ikeja-residence","Not Available","Pending Validation","2025-06-23","https://bonhotels.com/hotel/ikeja-residence"
"Yellow Chilli Restaurant & Bar","Restaurant","35 Joel Ogunnaike Street GRA Ikeja Lagos","Ikeja","+234 814 113 0890;+234 808 994 8999","Not Available","https://yellowchilling.com","https://instagram.com/yellowchilling","https://maps.google.com/?cid=yellow-chilli-ikeja","support@yellowchilling.com","Not Available","Not Available","https://yellowchilling.com","https://instagram.com/yellowchilling","Pending Validation","2025-06-23","https://yellowchilling.com"
"Iwosan Lagoon Hospital Ikeja","Hospital","97/101 Obafemi Awolowo Avenue Ikeja","Ikeja","+234 708 639 3027","Not Available","https://www.lagoonhospitals.com","https://facebook.com/LagoonHospitals","https://maps.google.com/?cid=lagoon-hospital-ikeja","Not Available","Not Available","+234 708 060 9000","https://www.lagoonhospitals.com","https://facebook.com/LagoonHospitals","N/A","2025-06-23","https://www.lagoonhospitals.com/our-facilities/ikeja"
"R-Jolad Hospital","Hospital","Shop 4 Jara Mall Simbiat Abiola Way Ikeja","Ikeja","+234 700 075 6523","Not Available","https://rjolad.com","Not Available","https://maps.google.com/?cid=rjolad-hospital-ikeja","wecare@rjolad.com","Not Available","Not Available","https://rjolad.com","Not Available","Pending Validation","2025-06-23","https://rjolad.com/contact-us"
"Genesis Specialist Hospital","Hospital","67 Oduduwa Crescent Ikeja GRA Lagos","Ikeja","+234 908 706 6796","Yes - +234 908 706 6797","https://genesishospitalng.com","https://facebook.com/GenesisSpecialistHospital","https://maps.google.com/?cid=genesis-hospital-ikeja","Not Available","Yes - +234 908 706 6797","Not Available","https://genesishospitalng.com","https://facebook.com/GenesisSpecialistHospital;https://linkedin.com/company/genesis-specialist-hospital","N/A","2025-06-23","https://genesishospitalng.com"
"IBILE Microfinance Bank","Bank/Microfinance","428 Obafemi Awolowo Way Allen Roundabout Ikeja","Ikeja","+234 700 444 1 444","Not Available","https://ibilemfb.com","Not Available","https://maps.google.com/?cid=ibile-mfb-ikeja","Not Available","Not Available","0700 444 0 444 (Customer Care)","https://ibilemfb.com","Not Available","N/A","2025-06-23","https://ibilemfb.com/contact-information"
"Access Bank Ikeja Branch","Bank","60 Opebi Road Ikeja Lagos","Ikeja","+234 2 712 0057","Not Available","https://www.accessbankplc.com","Not Available","https://maps.google.com/?cid=access-bank-ikeja","contactcenter@accessbankplc.com","Not Available","Not Available","https://www.accessbankplc.com","Not Available","Pending Validation","2025-06-23","https://appsaf.apieproject.com/business/listings/access-bank-branch-ikeja-60-opebi-road"
"CrownCrystal Tech Ltd","IT Company","23 Oshifila Street Anifowoshe Ikeja Lagos","Ikeja","+234 915 910 0000","Not Available","https://cctech.ng","https://linkedin.com/company/crowncrystal-technologies-limited","https://maps.google.com/?cid=crowncrystal-tech-ikeja","support@crowncrystaltech.com","Not Available","+234 805 769 7803","https://cctech.ng","https://linkedin.com/company/crowncrystal-technologies-limited","Pending Validation","2025-06-23","https://www.businesslist.com.ng/company/190487/crown-crystal-tech-ltd;https://www.crunchbase.com/organization/crown-crystal-technologies"
"FEMISH IT Solutions & Systems Ltd","IT Company","1 Majekodunmi Street Off Allen Avenue Ikeja Lagos","Ikeja","+234 812 811 4584","Not Available","https://www.femish.com.ng","https://facebook.com/femishsolution","https://maps.google.com/?cid=femish-it-ikeja","info@femish.com.ng;mishael@femish.com.ng","Not Available","+234 901 471 8370","https://www.femish.com.ng","https://facebook.com/femishsolution","Pending Validation","2025-06-23","https://www.femish.com.ng/contact"
