Business Name,Business Niche,Address,City Area,Phone Number,WhatsApp Contact,Website,Social Media Links,Google Maps Listing URL,Date Collected
"Radisson Hotel Lagos Ikeja","Hotel","27/29 Isaac John Street GRA Ikeja","Ikeja","+234 201 466 2380","Not Available","https://www.radissonhotels.com/en-us/hotels/radisson-lagos-ikeja","Not Available","https://maps.google.com/?cid=radisson-lagos-ikeja","2025-06-23"
"Lagos Marriott Hotel Ikeja","Hotel","122 Joel Ogunnaike Street Ikeja GRA Lagos","Ikeja","+234 8139 84 4850","Not Available","https://www.marriott.com/en-us/hotels/loslg-lagos-marriott-hotel-ikeja/overview","Not Available","https://maps.google.com/?cid=lagos-marriott-ikeja","2025-06-23"
"Skyrock Hotel","Hotel","24 Ogunsiji Street Off Allen Avenue Ikeja","Ikeja","+234 913 815 5297","Not Available","https://skyrockhotels.com","https://facebook.com/skyrockhotels","https://maps.google.com/?cid=skyrock-hotel-ikeja","2025-06-23"
"Ikeja Residence by BON Hotels","Hotel","51 Sobo Ariobiodu Street GRA Ikeja Lagos","Ikeja","+234 707 203 2040","Not Available","https://bonhotels.com/hotel/ikeja-residence","Not Available","https://maps.google.com/?cid=ikeja-residence-bon-hotels","2025-06-23"
"Atlantic Hotels & Suites","Hotel","84 Oduduwa Crescent Ikeja GRA","Ikeja","+234 706 249 0332","Not Available","Not Available","Not Available","https://maps.google.com/?cid=atlantic-hotels-ikeja","2025-06-23"
"Yellow Chilli Restaurant & Bar","Restaurant","35 Joel Ogunnaike Street GRA Ikeja Lagos","Ikeja","+234 814 113 0890;+234 808 994 8999","Not Available","https://yellowchilling.com","https://instagram.com/yellowchilling","https://maps.google.com/?cid=yellow-chilli-ikeja","2025-06-23"
"1813 Restaurant","Restaurant","Shop L83 Ikeja City Mall Lagos","Ikeja","+234 807 405 5984","Not Available","Not Available","https://instagram.com/1812food","https://maps.google.com/?cid=1813-restaurant-ikeja","2025-06-23"
"Cafecito Restaurant","Restaurant","No 11 Joel Ogunnaike Ikeja GRA Lagos","Ikeja","+234 807 669 1881","Not Available","Not Available","https://instagram.com/cafecito.ikeja","https://maps.google.com/?cid=cafecito-ikeja","2025-06-23"
"The Grid Restaurant & Winery","Restaurant","Ikeja GRA Lagos","Ikeja","Not Available","Not Available","Not Available","Not Available","https://maps.google.com/?cid=grid-restaurant-ikeja","2025-06-23"
"Iwosan Lagoon Hospital Ikeja","Hospital","97/101 Obafemi Awolowo Avenue Ikeja","Ikeja","+234 708 639 3027","Not Available","https://www.lagoonhospitals.com","https://facebook.com/LagoonHospitals","https://maps.google.com/?cid=lagoon-hospital-ikeja","2025-06-23"
"R-Jolad Hospital","Hospital","Shop 4 Jara Mall Simbiat Abiola Way Ikeja","Ikeja","+234 700 075 6523","Not Available","https://rjolad.com","Not Available","https://maps.google.com/?cid=rjolad-hospital-ikeja","2025-06-23"
"Genesis Specialist Hospital","Hospital","67 Oduduwa Crescent Ikeja GRA Lagos","Ikeja","+234 908 706 6796","Yes - +234 908 706 6797","https://genesishospitalng.com","https://facebook.com/GenesisSpecialistHospital","https://maps.google.com/?cid=genesis-hospital-ikeja","2025-06-23"
"IBILE Microfinance Bank","Bank/Microfinance","428 Obafemi Awolowo Way Allen Roundabout Ikeja","Ikeja","+234 700 444 1 444","Not Available","https://ibilemfb.com","Not Available","https://maps.google.com/?cid=ibile-mfb-ikeja","2025-06-23"
"FinaTrust Microfinance Bank","Bank/Microfinance","46 Toyin Street Ikeja Lagos","Ikeja","+234 803 309 7317","Not Available","Not Available","https://linkedin.com/company/finatrustmicrofinancebank","https://maps.google.com/?cid=finatrust-mfb-ikeja","2025-06-23"
"Access Bank Ikeja Branch","Bank","60 Opebi Road Ikeja Lagos","Ikeja","+234 2 712 0057","Not Available","https://www.accessbankplc.com","Not Available","https://maps.google.com/?cid=access-bank-ikeja","2025-06-23"
