Business Name,Business Niche,Address,City Area,Phone Number,WhatsApp Contact,Website,Social Media Links,Google Maps Listing URL,Date Collected
"The Junction Restaurant","Restaurant","Lekki Lagos","Lekki","+234 8090652927","Not Available","http://thejunctionrestaurants.com","Not Available","https://maps.google.com/?q=The+Junction+Restaurant+Lekki+Lagos","2025-06-15"
"The Place Restaurants","Restaurant / Bar & Lounge","Lagos (multiple locations including Lekki)","Lekki","+234 8182862824","Not Available","https://theplace.com.ng","Not Available","https://maps.google.com/?q=Theplace+Restaurant+Lekki+Lagos","2025-06-15"
"Above Lifestyle","Restaurant / Nightlife / Lounge","Lekki","Lekki","Not Available","Not Available","https://abovelifestyle.com","Not Available","https://maps.google.com/?q=Above+Lifestyle+Lekki+Lagos","2025-06-15"
"Utazi Restaurant","Restaurant","BLK 74 Plot 15 Emma Abimbola Cole Street Lekki 1","Lekki","Not Available","Not Available","https://utazi.africa.restaurant","Not Available","https://maps.google.com/?q=Utazi+Restaurant+Lekki","2025-06-15"
"De Fives Hotel","Hotel / Boutique Hotel","4b Dr Omon Ebomenye Street Lekki Phase 1 Lagos","Lekki","+234 9123666430","Not Available","Not Available","https://www.instagram.com/defivez_lagos","https://maps.google.com/?q=De+Fives+Hotel+Lekki","2025-06-15"
"Albergo Hotel & Suites","Hotel / Boutique Hotel","2 Olubunmi Owa Street Lekki Phase Lagos","Lekki","Not Available","Not Available","Not Available","https://www.instagram.com/albergohotel","https://maps.google.com/?q=Albergo+Hotel+Lekki","2025-06-15"
"Vintano Hotel","Hotel / Luxury Hotel","No 5 Kayode Animashaun Street Eti-Osa Lekki Phase 1 Lagos","Lekki","+234 8023579600","Not Available","Not Available","https://www.instagram.com/vintanohotel","https://maps.google.com/?q=Vintano+Hotel+Lekki+Phase+1","2025-06-15"
"The Corniche Hotel","Hotel","2 Olaitan Sebanjo Street Lekki Phase 1 Lagos","Lekki","+234 9034600000","+234 9034600000","Not Available","https://www.instagram.com/thecornichehotel","https://maps.google.com/?q=Corniche+Hotel+Lekki+Phase+1","2025-06-15"
"Villa 33","Hotel","33 Jayjay Oladimeji Close off Freedom Way Lekki Phase 1 Lagos","Lekki","08079163187","Not Available","Not Available","https://www.tiktok.com/@seeelagos1","https://maps.google.com/?q=Villa+33+Lekki+Phase+1","2025-06-15"
"Jamari Residence","Aparthotel","Lekki Phase 1 Lagos","Lekki","Not Available","Not Available","Not Available","https://www.instagram.com/jamariresidences","https://maps.google.com/?q=Jamari+Residence+Lekki","2025-06-15"
"i-Fitness Gym & Wellness Centres (Lekki Phase 1)","Gym & Fitness Center","10 Gabby Adeosun Street off Admiralty Way Lekki Phase 1","Lekki","Not Available","Not Available","https://ifitness.ng","Not Available","https://maps.google.com/?q=iFitness+Lekki+Phase+1","2025-06-15"
"GO Fitness Centre","Gym & Fitness Center","Lekki","Lekki","Not Available","Not Available","https://italawa.com.ng/place/go-fitness-centre","Not Available","https://maps.google.com/?q=GO+Fitness+Centre+Lekki","2025-06-15"
"Pure Fitness Africa (Lekki Phase 1)","Gym & Fitness Center","Adekola Balogun Street Perchstone & Graeys Cl Lekki Phase I Lagos","Lekki","Not Available","Not Available","https://purefitnessafrica.com","Not Available","https://maps.google.com/?q=Pure+Fitness+Africa+Lekki","2025-06-15"
"FitGrit Gym","Gym & Fitness Center","Lagos","Lekki","Not Available","Not Available","https://fitgritgym.com","Not Available","https://maps.google.com/?q=FitGrit+Gym+Lagos","2025-06-15"
"Sky Fitness Gym","Gym & Fitness Center","Lagos","Lekki","Not Available","Not Available","https://www.skyfitnessng.com","Not Available","https://maps.google.com/?q=Sky+Fitness+Gym+Lagos","2025-06-15"
"Kayzplace Barbershop","Barbershop / Salon","25a Admiralty Way Lekki Lagos 101233","Lekki","+234 9090002749","Not Available","https://kayzplaceworldwide.com","Not Available","https://maps.google.com/?q=Kayzplace+Barbershop+Lekki","2025-06-15"
"Groomed By Elereka","Barbershop / Salon","6 Akanni Bashorun Street Lekki Phase 1 Lagos","Lekki","Not Available","Not Available","https://groomedbyelereka.com","Not Available","https://maps.google.com/?q=Groomed+By+Elereka+Lekki","2025-06-15"
"BarBar","Barbershop","Cinnamon Garden Mall 15 Victoria Arobieke Street Lekki Lagos","Lekki","+234 7087641890","Not Available","Not Available","Not Available","https://maps.google.com/?q=BarBar+Cinnamon+Garden+Mall+Lekki","2025-06-15"
"TPhilips Unisex Salon","Unisex Salon","2nd Floor Brasar's Place Victoria Atobieke Street Lekki Phase 1 Lekki Lagos 105102","Lekki","+234 8060459869","Not Available","https://mrtphilips.com.ng","Not Available","https://maps.google.com/?q=TPhilips+Salon+Lekki","2025-06-15"
"Ikwiseprodigy Barber Shop","Barbershop","16 Victoria Arobieke Street Lekki Lagos","Lekki","+234 8105341971","Not Available","https://ikwiseprodigy.com.ng","Not Available","https://maps.google.com/?q=Ikwiseprodigy+Barber+Lekki","2025-06-15"
"Caredent Dental Clinic","Dental Clinic","The Quad 20 Layi Yusuf Crescent off Admiralty Way Lekki Phase 1 Lagos","Lekki","+234 7025007914","Not Available","https://www.caredentclinic.com","Not Available","https://maps.google.com/?q=Caredent+Dental+Clinic+Lekki","2025-06-15"
