Name/Business Name,Skill/Industry,Email,Phone/WhatsApp,Website/Portfolio,Location,Source URL,Source Type,Email Validation Status,Date Collected
Cybertech Digitals,Web Design / Software Development,info@cybertechdigitals.com,+234 8107539186,https://cybertechdigitals.com,16b Oluwole Street Lekki Lagos,https://cybertechdigitals.com,Business Website,valid_mx,2025-06-15
TDigital,Software Development,johnfash@tdigital.ng,+234 9036723177,https://tdigital.ng,Lagos Nigeria,https://tdigital.ng,Business Website,valid_mx,2025-06-15
Codep Tech,Web & Mobile Development,info@codeptech.com; support@codeptech.com,+234 7065184234,https://codeptech.com,Lagos Nigeria,https://codeptech.com,Business Website,valid_mx,2025-06-15
TechForge IT Consulting,IT Consulting / IT Support,info@techforgeitconsulting.com,+234 8026476670,https://techforgeitconsulting.com,Lagos Nigeria,https://techforgeitconsulting.com/contact,Business Website,valid_mx,2025-06-15
Nivarix Technologies,IT / Software,contact@nivarix.com,Not Available,https://www.nivarix.com,34A Diya Street Ifako Gbagada Lagos,https://www.nivarix.com,Business Website,valid_mx,2025-06-15
Startup Lagos,Software Development / Startup Hub,Not Available,Not Available,https://www.startuplagos.net,Lagos Nigeria,https://ng.linkedin.com/company/startuplag,LinkedIn Company Page,N/A,2025-06-15
Flutterwave,Fintech / Payment Technology,hi@flutterwavego.com; integration_support_intercom@flutterwavego.com; onboarding@flutterwavego.com; kelechi@flutterwavego.com; tuition@flutterwavego.com; oladipo@flutterwavego.com; serviceclient@flutterwavego.com,Not Available,https://flutterwave.com,Lekki Lagos,https://startuplist.africa/location/lekki,Startup Directory,Verified (found on website),2025-06-15
TeamApt,Fintech,Not Available,Not Available,Not Available,Lekki Lagos,https://startuplist.africa/location/lekki,Startup Directory,N/A,2025-06-15


