Name/Business Name,Skill/Industry,Email,Phone/WhatsApp,Website/Portfolio,Location,Source URL,Source Type,Email Validation Status,Date Collected
Greensprings School (Lekki Campus),Education / School,info.lekki@greenspringsschool.com,Not Available,https://www.greenspringsschool.com,12a Reeve Rd Ikoyi Lagos,https://www.greenspringsschool.com/contacts,Business Website,valid_mx,2025-06-15
Codep Tech,Web & Mobile Development,info@codeptech.com; support@codeptech.com,+234 7065184234; +234 8115100465,https://codeptech.com,Lagos Nigeria,https://codeptech.com,Business Website,valid_mx,2025-06-15
TechForge IT Consulting,IT Consulting / IT Support,info@techforgeitconsulting.com,+234 8026476670,https://techforgeitconsulting.com,Lagos Nigeria,https://techforgeitconsulting.com/contact,Business Website,valid_mx,2025-06-15
Novare Lekki Mall,Shopping Mall,Not Available,+234 8080036311,https://novare-lekki.com,Lekki Lagos,https://novare-lekki.com,Business Website,N/A,2025-06-15
Daytona 24/7 Supermarket,Supermarket / Grocery,Not Available,Not Available,Not Available,Lagos Nigeria,https://www.facebook.com/daytona247,Social Media Profile,N/A,2025-06-15
Legend Supermarket,Supermarket / Grocery,Not Available,08052520794,Not Available,Km 31 Lekki-Epe Expressway Ibeju-Lekki Lagos,https://www.instagram.com/reel/DWtxpbijgrV,Social Media Profile,N/A,2025-06-15
Celond Dental Clinic,Dental Clinic,Not Available,+234 8023137105,https://celondentalclinic.com,Lekki Lagos Nigeria,https://celondentalclinic.com,Business Website,N/A,2025-06-15
Amaramedicare Dental Clinic,Dental Clinic,Not Available,Not Available,https://amaramedicare.com,Lekki Lagos,https://amaramedicare.com,Business Website,N/A,2025-06-15
Fitness Factory,Gym & Fitness Center,Not Available,Not Available,https://fitnessfactory.ng,Lagos Nigeria,https://fitnessfactory.ng,Business Website,N/A,2025-06-15
BodyLine Fitness & Gym,Gym & Fitness Center,Not Available,Not Available,https://bodylinegym.com.ng,Lagos Nigeria,https://bodylinegym.com.ng,Business Website,N/A,2025-06-15
Fitness Plus Nigeria,Gym & Fitness Center,Not Available,Not Available,https://fitnessplusng.com,Lagos Nigeria,https://fitnessplusng.com,Business Website,N/A,2025-06-15
JIL Nigeria,Real Estate,Not Available,234-1-8426041,https://www.jil-ng.com,Lekki Lagos Nigeria,https://www.business-yellowpages.com/nigeria/Real-Estate/34645,Professional Directory,N/A,2025-06-15
Dukiya Investments,Real Estate,Not Available,+234 9062019993,Not Available,Lekki Lagos 106104,https://www.africalistings.com/lekki/real-estate-agencies,Professional Directory,N/A,2025-06-15
Nivarix Technologies,IT / Software,contact@nivarix.com,Not Available,https://www.nivarix.com,34A Diya Street Ifako Gbagada Lagos,https://www.nivarix.com,Business Website,valid_mx,2025-06-15
PrestAds,Advertising,Not Available,Not Available,Not Available,1C Admiralty Road Lekki Lagos,https://lekki.infoisinfo.ng/search/advertising,Professional Directory,N/A,2025-06-15
De Critic,Advertising,Not Available,Not Available,Not Available,Lekki Lagos,https://lekki.infoisinfo.ng/search/advertising,Professional Directory,N/A,2025-06-15
Startup Lagos,Software Development / Startup Hub,Not Available,Not Available,https://www.startuplagos.net,Lagos Nigeria,https://ng.linkedin.com/company/startuplag,LinkedIn Company Page,N/A,2025-06-15
StartupBlink (Lekki Startups),Startup Directory,Not Available,Not Available,https://www.startupblink.com/top-startups/lekki-ng,Lekki Nigeria,https://www.startupblink.com/top-startups/lekki-ng,Startup Directory,N/A,2025-06-15
Flutterwave,Fintech / Payment Technology,Not Available,Not Available,https://flutterwave.com,Lekki Lagos,https://startuplist.africa/location/lekki,Startup Directory,N/A,2025-06-15
TeamApt,Fintech,Not Available,Not Available,Not Available,Lekki Lagos,https://startuplist.africa/location/lekki,Startup Directory,N/A,2025-06-15

