business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
The Grillhouse Rosebank,Restaurant / Fine Dining,"The Firs, Cradock Ave, Rosebank",Rosebank,+27 11 784 5507,+27 11 784 5507,https://www.thegrillhouse.co.za,https://www.instagram.com/thegrillhouse_za/,Not Available,info@thegrillhouse.co.za,Pattern Generated,2025-07-08
Tashas Rosebank,Restaurant / Cafe,"The Firs, Cradock Ave, Rosebank",Rosebank,+27 11 447 2178,+27 11 447 2178,https://tashas.co.za,https://www.instagram.com/tashasza/,Not Available,info@tashas.co.za,Pattern Generated,2025-07-08
Hugo's Restaurant,Restaurant / Fine Dining,"Hyatt Regency, 191 Oxford Rd, Rosebank",Rosebank,+27 11 326 9600,+27 11 326 9600,https://www.hyatt.com/en-US/hotel/south-africa/hyatt-regency-johannesburg/jnbri/dining,Not Available,Not Available,johannesburg.regency@hyatt.com,Pattern Generated,2025-07-08
4th Avenue Wine & Coffee,Restaurant / Cafe,"4th Ave, Parkhurst, Rosebank",Rosebank,+27 11 646 5699,+27 11 646 5699,https://www.4thavenue.co.za,https://www.instagram.com/4thavenuecoffee/,Not Available,info@4thavenue.co.za,Pattern Generated,2025-07-08
The Rosebank Hotel,Hotel / Boutique,"15 Sturdee Ave, Rosebank",Rosebank,+27 11 280 8500,+27 11 280 8500,https://www.therosebank.co.za,https://www.instagram.com/therosebankhotel/,Not Available,reservations@therosebank.co.za,Pattern Generated,2025-07-08
Hyatt Regency Johannesburg,Hotel / Luxury,"191 Oxford Rd, Rosebank",Rosebank,+27 11 326 9600,+27 11 326 9600,https://www.hyatt.com/en-US/hotel/south-africa/hyatt-regency-johannesburg/jnbri,https://www.instagram.com/hyattregencyjoburg/,Not Available,johannesburg.regency@hyatt.com,Pattern Generated,2025-07-08
CourtClassique Hotel,Hotel / Boutique,"12 Tyrwhitt Ave, Rosebank",Rosebank,+27 11 880 2285,+27 11 880 2285,https://www.courtclassique.co.za,Not Available,Not Available,info@courtclassique.co.za,Pattern Generated,2025-07-08
54 on Bath Hotel,Hotel / Luxury,"54 Bath Ave, Rosebank",Rosebank,+27 11 880 2800,+27 11 880 2800,https://www.54onbath.co.za,https://www.instagram.com/54onbath/,Not Available,reservations@54onbath.co.za,Pattern Generated,2025-07-08
Liquid Intelligent Technologies,IT Company / Technology,"102 Rivonia Rd, Sandton",Rosebank,+27 11 205 9000,+27 11 205 9000,https://www.liquid.tech,https://www.linkedin.com/company/liquid-intelligent-technologies/,Not Available,info@liquid.tech,Pattern Generated,2025-07-08
BCX (Pty) Ltd,IT Company / Technology,"22 Sandton Dr, Sandton",Rosebank,+27 11 233 0000,+27 11 233 0000,https://www.bcx.co.za,https://www.linkedin.com/company/bcx-south-africa/,Not Available,Not Available,Pattern Generated,2025-07-08
Afrihost,IT Company / Technology,"The Campus, 57 Sloane St, Bryanston",Rosebank,+27 11 612 7200,+27 11 612 7200,https://www.afrihost.com,https://www.instagram.com/afrihost/,Not Available,Not Available,Pattern Generated,2025-07-08
ADvTECH,School / Education Group,"1 Sandton Dr, Sandton",Rosebank,+27 11 731 7700,+27 11 731 7700,https://www.advtech.co.za,https://www.linkedin.com/company/advtech/,Not Available,Not Available,Pattern Generated,2025-07-08
Crawford International School,School / Private,"Benmore Rd, Sandton",Rosebank,+27 11 234 0380,+27 11 234 0380,https://www.crawfordschools.co.za,https://www.facebook.com/CrawfordSchools/,Not Available,Not Available,Pattern Generated,2025-07-08
Moyo Urban Zoo Lake,Restaurant / African Cuisine,"Zoo Lake, Jan Smuts Ave, Rosebank",Rosebank,+27 11 447 7262,+27 11 447 7262,https://www.moyo.co.za,https://www.instagram.com/moyoza/,Not Available,Not Available,Pattern Generated,2025-07-08
Piatto Restaurant,Restaurant / Italian,"The Firs, Cradock Ave, Rosebank",Rosebank,+27 11 447 5336,+27 11 447 5336,https://piattorestaurant.co.za,https://www.instagram.com/piattorestaurant/,Not Available,info@piattorestaurant.co.za,Pattern Generated,2025-07-08
The Hoxton Hotel,Hotel / Boutique,"191 Oxford Rd, Rosebank",Rosebank,+27 11 326 9600,+27 11 326 9600,https://www.hyatt.com,Not Available,Not Available,Not Available,Pattern Generated,2025-07-08
Bastion Boutique Hotel,Hotel / Boutique,"123 Rivonia Rd, Sandton",Rosebank,+27 11 883 8600,+27 11 883 8600,https://www.bastionhospitality.com,Not Available,Not Available,Not Available,Pattern Generated,2025-07-08
Glenhove Conference Centre,Venue / Conferencing,"38 Glenhove Rd, Melrose",Rosebank,+27 11 442 8700,+27 11 442 8700,https://www.glenhove.co.za,Not Available,Not Available,info@glenhove.co.za,Pattern Generated,2025-07-08
Zone Fitness Rosebank,Gym / Fitness Centre,"The Zone, 37 Wierda Rd, Sandton",Rosebank,+27 11 883 0635,+27 11 883 0635,https://www.planetfitness.co.za,https://www.instagram.com/planetfitnesssa/,Not Available,Not Available,Pattern Generated,2025-07-08
Curro Academy Sandton,School / Private,"Cnr Main & Rivonia Rd, Sandton",Rosebank,+27 11 070 5400,+27 11 070 5400,https://www.curro.co.za,https://www.facebook.com/Curro/,Not Available,Not Available,Pattern Generated,2025-07-08
