business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
The Butcher Shop & Grill,Restaurant / Fine Dining,"Sandton City, Rivonia Rd",Sandton,+27 11 883 8710,+27 11 883 8710,https://www.thebutchershopandgrill.com,https://www.instagram.com/thebutchershopgrill/,Not Available,info@thebutchershopandgrill.com,invalid_no_mx,2025-07-08
Marble Restaurant,Restaurant / Fine Dining,"Olive Schreiner Crescent, Sandton City",Sandton,+27 11 217 1000,+27 11 217 1000,https://marblerestaurant.co.za,https://www.instagram.com/marble_restaurant/,Not Available,info@marblerestaurant.co.za,valid_mx,2025-07-08
Tashas Rosebank,Restaurant / Cafe,"The Firs, Cradock Ave, Rosebank",Sandton,+27 11 447 2178,+27 11 447 2178,https://tashas.co.za,https://www.instagram.com/tashasza/,Not Available,info@tashas.co.za,invalid_no_mx,2025-07-08
La Parada Sandton,Restaurant / Tapas,"Sandton Central, Rivonia Rd",Sandton,+27 11 784 4688,+27 11 784 4688,https://laparada.co.za,https://www.instagram.com/laparada_za/,Not Available,sandton@laparada.co.za,valid_mx,2025-07-08
DW Eleven -13,Restaurant / Fine Dining,"131 Stanford Rd, Sandton",Sandton,+27 11 447 3027,+27 11 447 3027,https://dweleven-13.co.za,https://www.instagram.com/dweleven13/,Not Available,reservations@dweleven-13.co.za,invalid_no_mx,2025-07-08
The Michelangelo Hotel,Hotel / Luxury,"135 Rivonia Rd, Sandton Central",Sandton,+27 11 883 8048,+27 11 883 8048,https://www.tsogosunhotels.com/michelangelo-hotel,https://www.instagram.com/tsogosunhotels/,Not Available,michelangelo.reservations@tsogosun.com,valid_mx,2025-07-08
Radisson Blu Hotel Sandton,Hotel / Luxury,"Rivonia Rd, Sandton",Sandton,+27 11 883 8200,+27 11 883 8200,https://www.radissonblu.com/en/hotel-johannesburg-sandton,Not Available,Not Available,reservations.sandton@radissonblu.com,valid_mx,2025-07-08
Sandton Sun Hotel,Hotel / Luxury,"Sandton City, Rivonia Rd",Sandton,+27 11 883 8282,+27 11 883 8282,https://www.tsogosunhotels.com/sandton-sun-hotel,https://www.instagram.com/tsogosunhotels/,Not Available,sandtonsun.reservations@tsogosun.com,valid_mx,2025-07-08
Protea Hotel Fire & Ice,Hotel / Boutique,"Maude St, Sandton",Sandton,+27 11 883 8600,+27 11 883 8600,https://www.proteahotels.com/protea-hotel-fire-ice-sandton,Not Available,Not Available,Not Available,Pattern Generated,2025-07-08
The Da Vinci Hotel,Hotel / Luxury,"Maude St, Sandton",Sandton,+27 11 883 8611,+27 11 883 8611,https://www.tsogosunhotels.com/da-vinci-hotel,Not Available,Not Available,davinci.reservations@tsogosun.com,valid_mx,2025-07-08
