business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,email,date_collected
Montecasino,Entertainment / Casino,"Montecasino Blvd, Fourways, Sandton",Sandton,+27 11 510 7000,+27 11 510 7000,https://www.monteecasino.co.za,https://www.instagram.com/monteecasino/,Not Available,2025-07-08
Sandton Convention Centre,Venue / Conferencing,"161 Maude St, Sandton",Sandton,+27 11 773 7400,+27 11 773 7400,https://www.saconvention.co.za,Not Available,Not Available,2025-07-08
Discovery Health,Healthcare / Insurance,"1 Discovery Place, Sandton",Sandton,+27 11 529 4111,+27 11 529 4111,https://www.discovery.co.za,https://www.instagram.com/discovery_sa/,Not Available,2025-07-08
Old Mutual,South Africa's Head Office,"Old Mutual Place, Sandton",Sandton,+27 11 217 1000,+27 11 217 1000,https://www.oldmutual.co.za,https://www.linkedin.com/company/oldmutual/,Not Available,2025-07-08
Nedbank Head Office,Banking / Financial Services,"135 Rivonia Rd, Sandton",Sandton,+27 11 883 8011,+27 11 883 8011,https://www.nedbank.co.za,https://www.instagram.com/nedbank/,Not Available,2025-07-08
Standard Bank Head Office,Banking / Financial Services,"5 Simmonds St, Sandton",Sandton,+27 11 636 9111,+27 11 636 9111,https://www.standardbank.co.za,https://www.instagram.com/standardbankza/,Not Available,2025-07-08
Absa Head Office,Banking / Financial Services,"Absa Towers North, Sandton",Sandton,+27 11 350 4000,+27 11 350 4000,https://www.absa.co.za,https://www.instagram.com/absa_za/,Not Available,2025-07-08
FirstRand Bank Head Office,Banking / Financial Services,"FirstRand Bank Place, Sandton",Sandton,+27 11 369 1000,+27 11 369 1000,https://www.firstrand.co.za,Not Available,Not Available,2025-07-08
Investec Head Office,Banking / Financial Services,"100 Grayston Dr, Sandton",Sandton,+27 11 286 7000,+27 11 286 7000,https://www.investec.com,https://www.linkedin.com/company/investec/,Not Available,2025-07-08
Johannesburg Stock Exchange (JSE),Financial Services / Exchange,"1 Sandton City, Sandton",Sandton,+27 11 520 7000,+27 11 520 7000,https://www.jse.co.za,https://www.linkedin.com/company/johannesburg-stock-exchange/,Not Available,2025-07-08
