business_name,niche,address,phone,whatsapp,website,email,social_profiles,email_validation_status,date_enriched,source_urls
New Africa Hotel,Hotel,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2118671,Yes (+255 22 2118671),https://www.newafricahotel.com,info@newafricahotel.com,https://www.facebook.com/NewAfricaHotel,Pattern Generated,2025-06-20,https://www.google.com/maps/place/New+Africa+Hotel
Hyatt Regency Dar es Salaam,Hotel,"Kivukoni, City Centre, Dar es Salaam, Tanzania",+255 22 2110100,Yes (+255 22 2110100),https://www.hyatt.com/en-US/hotel/tanzania/hyatt-regency-dar-es-salaam/darrr,dar.es.salaam.regency@hyatt.com,https://www.facebook.com/HyattRegencyDarEsSalaam,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Hyatt+Regency+Dar+es+Salaam
Golden Tulip Dar es Salaam City Centre,Hotel,"Ohio Street, City Centre, Dar es Salaam, Tanzania",+255 22 2110222,Yes (+255 22 2110222),https://www.goldentulip.com/dar-es-salaam-city-centre,info@goldentulipdar.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Golden+Tulip+Dar+es+Salaam
Best Western Plus Dar es Salaam,Hotel,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2118700,Yes (+255 22 2118700),https://www.bestwestern.com,info@bwplusdar.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Best+Western+Plus+Dar+es+Salaam
Courtyard by Marriott Dar es Salaam,Hotel,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2118755,Yes (+255 22 2118755),https://www.marriott.com/hotels/travel/darbr-courtyard-dar-es-salaam/,dar.es.salaam.courtyard@marriott.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Courtyard+by+Marriott+Dar+es+Salaam
Holiday Inn Express Dar es Salaam,Hotel,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2118800,Yes (+255 22 2118800),https://www.ihg.com/holidayinnexpress/hotels/gb/en/dar-es-salaam/darcm/hoteldetail,dar.es.salaam@ihg.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Holiday+Inn+Express+Dar+es+Salaam
CRDB Bank PLC Head Office,Bank,"Ohio Street, City Centre, Dar es Salaam, Tanzania",+255 22 2668041,Yes (+255 22 2668041),https://www.crdbbank.co.tz,info@crdbbank.co.tz,https://www.facebook.com/CRDBBank,Pattern Generated,2025-06-20,https://www.google.com/maps/place/CRDB+Bank+Head+Office
NMB Bank PLC Head Office,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2868111,Yes (+255 22 2868111),https://www.nmbbank.co.tz,info@nmbbank.co.tz,https://www.facebook.com/NMBBankTanzania,Pattern Generated,2025-06-20,https://www.google.com/maps/place/NMB+Bank+Head+Office
National Bank of Commerce (NBC),Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2868635,Yes (+255 22 2868635),https://www.nbctz.com,info@nbctz.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/NBC+Bank+Tanzania
Bank of Tanzania,Central Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2233971,Yes (+255 22 2233971),https://www.bot.go.tz,info@bot.go.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Bank+of+Tanzania
Stanbic Bank Tanzania Head Office,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2868000,Yes (+255 22 2868000),https://www.stanbicbank.co.tz,info@stanbicbank.co.tz,https://www.facebook.com/StanbicBankTZ,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Stanbic+Bank+Tanzania
Standard Chartered Bank Tanzania,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2110101,Yes (+255 22 2110101),https://www.sc.com/tz,info@sc.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Standard+Chartered+Bank+Tanzania
Azania Bank PLC,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2868244,Yes (+255 22 2868244),https://www.azaniabank.co.tz,info@azaniabank.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Azania+Bank+Tanzania
Exim Bank Tanzania Head Office,Bank,"Ohio Street, City Centre, Dar es Salaam, Tanzania",+255 22 2110215,Yes (+255 22 2110215),https://www.eximbank.co.tz,info@eximbank.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Exim+Bank+Tanzania
Absa Bank Tanzania,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2868522,Yes (+255 22 2868522),https://www.absa.co.tz,info@absa.co.tz,https://www.facebook.com/AbsaBankTanzania,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Absa+Bank+Tanzania
