business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
CRDB Bank PLC Head Office,Bank,"Ohio Street, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2668041,Yes (+255 22 2668041),https://www.crdbbank.co.tz,https://www.facebook.com/CRDBBank,https://www.google.com/maps/place/CRDB+Bank+Head+Office,info@crdbbank.co.tz,Pattern Generated,2025-06-20
NMB Bank PLC Head Office,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2868111,Yes (+255 22 2868111),https://www.nmbbank.co.tz,https://www.facebook.com/NMBBankTanzania,https://www.google.com/maps/place/NMB+Bank+Head+Office,info@nmbbank.co.tz,Pattern Generated,2025-06-20
National Bank of Commerce (NBC),Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2868635,Yes (+255 22 2868635),https://www.nbctz.com,,https://www.google.com/maps/place/NBC+Bank+Tanzania,info@nbctz.com,Pattern Generated,2025-06-20
Stanbic Bank Tanzania Head Office,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2868000,Yes (+255 22 2868000),https://www.stanbicbank.co.tz,https://www.facebook.com/StanbicBankTZ,https://www.google.com/maps/place/Stanbic+Bank+Tanzania,info@stanbicbank.co.tz,Pattern Generated,2025-06-20
Standard Chartered Bank Tanzania,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2110101,Yes (+255 22 2110101),https://www.sc.com/tz,,https://www.google.com/maps/place/Standard+Chartered+Bank+Tanzania,info@sc.com,Pattern Generated,2025-06-20
Azania Bank PLC,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2868244,Yes (+255 22 2868244),https://www.azaniabank.co.tz,,https://www.google.com/maps/place/Azania+Bank+Tanzania,info@azaniabank.co.tz,Pattern Generated,2025-06-20
Exim Bank Tanzania Head Office,Bank,"Ohio Street, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2110215,Yes (+255 22 2110215),https://www.eximbank.co.tz,,https://www.google.com/maps/place/Exim+Bank+Tanzania,info@eximbank.co.tz,Pattern Generated,2025-06-20
Absa Bank Tanzania,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2868522,Yes (+255 22 2868522),https://www.absa.co.tz,https://www.facebook.com/AbsaBankTanzania,https://www.google.com/maps/place/Absa+Bank+Tanzania,info@absa.co.tz,Pattern Generated,2025-06-20
KCB Bank Tanzania,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2868300,Yes (+255 22 2868300),https://www.kcbgroup.com/tanzania,,https://www.google.com/maps/place/KCB+Bank+Tanzania,info.tz@kcbgroup.com,Pattern Generated,2025-06-20
Diamond Trust Bank Tanzania,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2110300,Yes (+255 22 2110300),https://www.dtb.co.tz,,https://www.google.com/maps/place/Diamond+Trust+Bank+Tanzania,info@dtb.co.tz,Pattern Generated,2025-06-20
Ecobank Tanzania,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2868400,Yes (+255 22 2868400),https://www.ecobank.com/tz,,https://www.google.com/maps/place/Ecobank+Tanzania,info.tz@ecobank.com,Pattern Generated,2025-06-20
