business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
New Africa Hotel,Hotel,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2118671,Yes (+255 22 2118671),https://www.newafricahotel.com,https://www.facebook.com/NewAfricaHotel,https://www.google.com/maps/place/New+Africa+Hotel,info@newafricahotel.com,Pattern Generated,2025-06-20
Hyatt Regency Dar es Salaam,Hotel,"Kivukoni, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2110100,Yes (+255 22 2110100),https://www.hyatt.com/en-US/hotel/tanzania/hyatt-regency-dar-es-salaam/darrr,https://www.facebook.com/HyattRegencyDarEsSalaam,https://www.google.com/maps/place/Hyatt+Regency+Dar+es+Salaam,dar.es.salaam.regency@hyatt.com,Pattern Generated,2025-06-20
Golden Tulip Dar es Salaam City Centre,Hotel,"Ohio Street, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2110222,Yes (+255 22 2110222),https://www.goldentulip.com/dar-es-salaam-city-centre,,https://www.google.com/maps/place/Golden+Tulip+Dar+es+Salaam,info@goldentulipdar.com,Pattern Generated,2025-06-20
Best Western Plus Dar es Salaam,Hotel,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2118700,Yes (+255 22 2118700),https://www.bestwestern.com,,https://www.google.com/maps/place/Best+Western+Plus+Dar+es+Salaam,info@bwplusdar.com,Pattern Generated,2025-06-20
Courtyard by Marriott Dar es Salaam,Hotel,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2118755,Yes (+255 22 2118755),https://www.marriott.com/hotels/travel/darbr-courtyard-dar-es-salaam/,,https://www.google.com/maps/place/Courtyard+by+Marriott+Dar+es+Salaam,dar.es.salaam.courtyard@marriott.com,Pattern Generated,2025-06-20
Holiday Inn Express Dar es Salaam,Hotel,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2118800,Yes (+255 22 2118800),https://www.ihg.com/holidayinnexpress/hotels/gb/en/dar-es-salaam/darcm/hoteldetail,,https://www.google.com/maps/place/Holiday+Inn+Express+Dar+es+Salaam,dar.es.salaam@ihg.com,Pattern Generated,2025-06-20
CRDB Bank PLC Head Office,Bank,"Ohio Street, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2668041,Yes (+255 22 2668041),https://www.crdbbank.co.tz,https://www.facebook.com/CRDBBank,https://www.google.com/maps/place/CRDB+Bank+Head+Office,info@crdbbank.co.tz,Pattern Generated,2025-06-20
NMB Bank PLC Head Office,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2868111,Yes (+255 22 2868111),https://www.nmbbank.co.tz,https://www.facebook.com/NMBBankTanzania,https://www.google.com/maps/place/NMB+Bank+Head+Office,info@nmbbank.co.tz,Pattern Generated,2025-06-20
National Bank of Commerce (NBC),Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2868635,Yes (+255 22 2868635),https://www.nbctz.com,,https://www.google.com/maps/place/NBC+Bank+Tanzania,info@nbctz.com,Pattern Generated,2025-06-20
Bank of Tanzania,Central Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2233971,Yes (+255 22 2233971),https://www.bot.go.tz,,https://www.google.com/maps/place/Bank+of+Tanzania,info@bot.go.tz,Pattern Generated,2025-06-20
