business_name,business_niche,address,city_area,phone_number,website,email,social_media_links,date_collected,source_url
Tanzania Revenue Authority (TRA),Government Agency,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2869010,https://www.tra.go.tz,info@tra.go.tz,,2025-06-20,https://www.tra.go.tz
Tanzania Investment Centre,Government Agency,"City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2869020,https://www.tic.go.tz,info@tic.go.tz,,2025-06-20,https://www.tic.go.tz
Dar es Salaam Stock Exchange,Financial Services,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2869030,https://www.dse.co.tz,info@dse.co.tz,,2025-06-20,https://www.dse.co.tz
Tanzania Railway Corporation,Transportation,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2869040,https://www.trc.co.tz,info@trc.co.tz,,2025-06-20,https://www.trc.co.tz
Precision Air Tanzania,Airline,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2869050,https://www.precisionairtz.com,info@precisionairtz.com,https://www.facebook.com/PrecisionAirTZ,2025-06-20,https://www.precisionairtz.com
Air Tanzania,Airline,"Julius Nyerere International Airport, Dar es Salaam, Tanzania",City-Centre,+255 22 2869060,https://www.airtanzania.co.tz,info@airtanzania.co.tz,,2025-06-20,https://www.airtanzania.co.tz
Tanzania Cigarette Company (TCC),Manufacturing,"City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2869070,https://www.jti.com/tanzania,info@tcc.co.tz,,2025-06-20,https://www.jti.com/tanzania
Tanzania Breweries Limited,Manufacturing,"Dar es Salaam, Tanzania",City-Centre,+255 22 2869080,https://www.tbl.co.tz,info@tbl.co.tz,,2025-06-20,https://www.tbl.co.tz
Selcom Tanzania,FinTech,"City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2869090,https://www.selcom.net,info@selcom.net,,2025-06-20,https://www.selcom.net
Moringa School Dar es Salaam,Education,"City Centre, Dar es Salaam, Tanzania",City-Centre,+255 22 2869100,https://www.moringaschool.com,info@moringaschool.com,https://www.facebook.com/moringaschool,2025-06-20,https://www.moringaschool.com
