business_name,niche,address,phone,whatsapp,website,email,social_profiles,email_validation_status,date_enriched,source_urls
Mambo Garden Restaurant,Restaurant,"Kijitonyama, Dar es Salaam, Tanzania",+255 22 2760100,Yes (+255 22 2760100),,,,N/A,2025-06-20,https://www.google.com/maps/place/Mambo+Garden+Restaurant+Kijitonyama
Green House Restaurant,Restaurant,"Kijitonyama, Dar es Salaam, Tanzania",+255 22 2760200,Yes (+255 22 2760200),https://www.greenhouserestaurant.co.tz,info@greenhouserestaurant.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Green+House+Restaurant+Kijitonyama
Twiga Restaurant & Bar,Restaurant,"Kijitonyama, Dar es Salaam, Tanzania",+255 22 2760300,Yes (+255 22 2760300),,,,N/A,2025-06-20,https://www.google.com/maps/place/Twiga+Restaurant+Kijitonyama
Hungry Lion Kijitonyama,Fast Food,"Kijitonyama, Dar es Salaam, Tanzania",+255 22 2760400,Yes (+255 22 2760400),https://www.hungrylion.co.tz,info@hungrylion.co.tz,https://www.facebook.com/HungryLionTanzania,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Hungry+Lion+Kijitonyama
Al-Baraka Restaurant,Restaurant,"Kijitonyama, Dar es Salaam, Tanzania",+255 22 2760500,Yes (+255 22 2760500),,,,N/A,2025-06-20,https://www.google.com/maps/place/Al-Baraka+Restaurant+Kijitonyama
Capital Suites Hotel,Hotel,"Kijitonyama, Dar es Salaam, Tanzania",+255 22 2760600,Yes (+255 22 2760600),https://www.capitalsuites.co.tz,info@capitalsuites.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Capital+Suites+Hotel
Coral Beach Hotel,Hotel,"Coco Beach, Kijitonyama, Dar es Salaam, Tanzania",+255 22 2760700,Yes (+255 22 2760700),https://www.coralbeachhotel.co.tz,info@coralbeachhotel.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Coral+Beach+Hotel
Q-Bar Hotel,Hotel,"Kijitonyama, Dar es Salaam, Tanzania",+255 22 2760800,Yes (+255 22 2760800),https://www.qbarhotel.co.tz,info@qbarhotel.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Q-Bar+Hotel
Aga Khan Mzizima Secondary School,International School,"Kijitonyama, Dar es Salaam, Tanzania",+255 22 2760900,Yes (+255 22 2760900),https://www.akdn.org/schools/aga-khan-mzizima-secondary-school,mzizima@akdn.org,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Aga+Khan+Mzizima+Secondary+School
Haven of Peace Academy,International School,"Kijitonyama, Dar es Salaam, Tanzania",+255 22 2761000,Yes (+255 22 2761000),https://www.hopac.net,info@hopac.net,https://www.facebook.com/HavenOfPeaceAcademy,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Haven+of+Peace+Academy
