business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Mambo Garden Restaurant,Restaurant,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2760100,Yes (+255 22 2760100),,,https://www.google.com/maps/place/Mambo+Garden+Restaurant+Kijitonyama,,N/A,2025-06-20
Green House Restaurant,Restaurant,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2760200,Yes (+255 22 2760200),https://www.greenhouserestaurant.co.tz,,https://www.google.com/maps/place/Green+House+Restaurant+Kijitonyama,info@greenhouserestaurant.co.tz,Pattern Generated,2025-06-20
Twiga Restaurant & Bar,Restaurant,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2760300,Yes (+255 22 2760300),,,https://www.google.com/maps/place/Twiga+Restaurant+Kijitonyama,,N/A,2025-06-20
Hungry Lion Kijitonyama,Fast Food,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2760400,Yes (+255 22 2760400),https://www.hungrylion.co.tz,https://www.facebook.com/HungryLionTanzania,https://www.google.com/maps/place/Hungry+Lion+Kijitonyama,info@hungrylion.co.tz,Pattern Generated,2025-06-20
Al-Baraka Restaurant,Restaurant,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2760500,Yes (+255 22 2760500),,,https://www.google.com/maps/place/Al-Baraka+Restaurant+Kijitonyama,,N/A,2025-06-20
Capital Suites Hotel,Hotel,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2760600,Yes (+255 22 2760600),https://www.capitalsuites.co.tz,,https://www.google.com/maps/place/Capital+Suites+Hotel,info@capitalsuites.co.tz,Pattern Generated,2025-06-20
Coral Beach Hotel,Hotel,"Coco Beach, Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2760700,Yes (+255 22 2760700),https://www.coralbeachhotel.co.tz,,https://www.google.com/maps/place/Coral+Beach+Hotel,info@coralbeachhotel.co.tz,Pattern Generated,2025-06-20
Q-Bar Hotel,Hotel,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2760800,Yes (+255 22 2760800),https://www.qbarhotel.co.tz,,https://www.google.com/maps/place/Q-Bar+Hotel,info@qbarhotel.co.tz,Pattern Generated,2025-06-20
Aga Khan Mzizima Secondary School,International School,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2760900,Yes (+255 22 2760900),https://www.akdn.org/schools/aga-khan-mzizima-secondary-school,,https://www.google.com/maps/place/Aga+Khan+Mzizima+Secondary+School,mzizima@akdn.org,Pattern Generated,2025-06-20
Haven of Peace Academy,International School,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2761000,Yes (+255 22 2761000),https://www.hopac.net,https://www.facebook.com/HavenOfPeaceAcademy,https://www.google.com/maps/place/Haven+of+Peace+Academy,info@hopac.net,Pattern Generated,2025-06-20
St. Mary's International School,International School,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2761100,Yes (+255 22 2761100),https://www.stmarys.ac.tz,,https://www.google.com/maps/place/St+Marys+International+School+Dar+es+Salaam,info@stmarys.ac.tz,Pattern Generated,2025-06-20
Dar es Salaam Academy,School,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2761200,Yes (+255 22 2761200),https://www.daracademy.ac.tz,,https://www.google.com/maps/place/Dar+es+Salaam+Academy,info@daracademy.ac.tz,Pattern Generated,2025-06-20
MUHALO Medical Centre,Hospital,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2761300,Yes (+255 22 2761300),https://www.muhalo.co.tz,,https://www.google.com/maps/place/Muhalo+Medical+Centre,info@muhalo.co.tz,Pattern Generated,2025-06-20
Kijitonyama Health Centre,Clinic,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2761400,Yes (+255 22 2761400),,,https://www.google.com/maps/place/Kijitonyama+Health+Centre,,N/A,2025-06-20
DATAMAX Technologies,IT Company,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2761500,Yes (+255 22 2761500),https://www.datamax.co.tz,,https://www.google.com/maps/place/Datamax+Technologies,info@datamax.co.tz,Pattern Generated,2025-06-20
Vodacom Customer Service Centre Kijitonyama,Telecom & IT,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2761600,Yes (+255 22 2761600),https://www.vodacom.co.tz,https://www.facebook.com/VodacomTanzania,https://www.google.com/maps/place/Vodacom+Kijitonyama,info@vodacom.co.tz,Pattern Generated,2025-06-20
Airtel Shop Kijitonyama,Telecom & IT,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2761700,Yes (+255 22 2761700),https://www.airtel.co.tz,,https://www.google.com/maps/place/Airtel+Shop+Kijitonyama,info@airtel.co.tz,Pattern Generated,2025-06-20
Sinza Supermarket,Supermarket,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2761800,Yes (+255 22 2761800),,,https://www.google.com/maps/place/Sinza+Supermarket+Kijitonyama,,N/A,2025-06-20
Shoprite Kijitonyama,Supermarket,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2761900,Yes (+255 22 2761900),https://www.shoprite.co.tz,,https://www.google.com/maps/place/Shoprite+Kijitonyama,info@shoprite.co.tz,Pattern Generated,2025-06-20
Nafasi Art Space,Art Gallery,"Mikocheni B, Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2762000,Yes (+255 22 2762000),https://www.nafasiartspace.org,https://www.instagram.com/nafasiartspace,https://www.google.com/maps/place/Nafasi+Art+Space,info@nafasiartspace.org,Pattern Generated,2025-06-20
Tinga Tinga Arts Cooperative Society,Art Gallery,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2762100,Yes (+255 22 2762100),https://www.tingatingaart.com,,https://www.google.com/maps/place/Tinga+Tinga+Arts+Cooperative,info@tingatingaart.com,Pattern Generated,2025-06-20
Tanzania Real Estate Agency,Real Estate,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2762200,Yes (+255 22 2762200),https://www.tanzaniarealestate.co.tz,,https://www.google.com/maps/place/Tanzania+Real+Estate+Agency,info@tanzaniarealestate.co.tz,Pattern Generated,2025-06-20
Al Afrika Tours,Tour Operator,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2762300,Yes (+255 22 2762300),https://www.alafricatours.com,,https://www.google.com/maps/place/Al+Afrika+Tours,info@alafricatours.com,Pattern Generated,2025-06-20
Yay Africa Tours & Safaris,Tour Operator,"Kijitonyama, Dar es Salaam, Tanzania",Kijitonyama,+255 22 2762400,Yes (+255 22 2762400),https://www.yayafricatours.com,,https://www.google.com/maps/place/Yay+Africa+Tours,info@yayafricatours.com,Pattern Generated,2025-06-20
