business_name,niche,address,phone,whatsapp,website,email,social_profiles,email_validation_status,date_enriched,source_urls
Cape Town Fish Market,Restaurant,"Masaki, Dar es Salaam, Tanzania",+255 22 2771027,Yes (+255 22 2771027),https://capetownfishmarket.co.tz,info@capetownfishmarket.co.tz,https://www.instagram.com/ctfm_dar,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Cape+Town+Fish+Market+Dar+es+Salaam
Karambezi Cafe,Restaurant,"Sea Cliff Hotel, Masaki, Dar es Salaam, Tanzania",+255 22 2771600,Yes (+255 22 2771600),https://www.seacliffhotel.co.tz,karambezi@seacliffhotel.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Karambezi+Cafe
The Waterfront Sunset Restaurant,Restaurant,"Masaki, Dar es Salaam, Tanzania",+255 22 2771700,Yes (+255 22 2771700),https://www.waterfrontsunset.com,info@waterfrontsunset.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Waterfront+Sunset+Restaurant
Samaki Samaki Masaki,Restaurant,"Masaki, Dar es Salaam, Tanzania",+255 22 2771400,Yes (+255 22 2771400),https://www.samakisamaki.co.tz,info@samakisamaki.co.tz,https://www.instagram.com/samakisamaki,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Samaki+Samaki+Masaki
Zuane Restaurant,Restaurant,"Masaki, Dar es Salaam, Tanzania",+255 22 2771800,Yes (+255 22 2771800),https://www.zuanerestaurant.com,info@zuanerestaurant.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Zuane+Restaurant
Zuzu Restaurant,Restaurant,"Slipway, Masaki, Dar es Salaam, Tanzania",+255 22 2601130,Yes (+255 22 2601130),https://www.theslipway.com/zuzu,info@theslipway.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Zuzu+Restaurant+Slipway
Margarita Bar & Restaurant,Restaurant,"Slipway Shopping Centre, Masaki, Dar es Salaam, Tanzania",+255 22 2601100,Yes (+255 22 2601100),https://www.theslipway.com,info@theslipway.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Margarita+Bar+Slipway
Sea Cliff Hotel,Hotel,"Toure Drive, Masaki, Dar es Salaam, Tanzania",+255 22 2771600,Yes (+255 22 2771600),https://www.seacliffhotel.co.tz,reservations@seacliffhotel.co.tz,https://www.facebook.com/SeaCliffHotel,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Sea+Cliff+Hotel
DoubleTree by Hilton Dar es Salaam,Hotel,"Ohio Street, Masaki, Dar es Salaam, Tanzania",+255 22 2773041,Yes (+255 22 2773041),https://www.hilton.com/en/hotels/dararht-doubletree-dar-es-salaam/,dararht.info@hilton.com,https://www.facebook.com/DoubleTreeDarEsSalaam,Pattern Generated,2025-06-20,https://www.google.com/maps/place/DoubleTree+by+Hilton+Dar+es+Salaam
Ramada Resort by Wyndham Dar es Salaam,Hotel,"Toure Drive, Masaki, Dar es Salaam, Tanzania",+255 22 2772800,Yes (+255 22 2772800),https://www.ramada.com/DarEsSalaam,info@ramadadar.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Ramada+Resort+Dar+es+Salaam
Protea Hotel Dar es Salaam Courtyard,Hotel,"Al Hassan Mwinyi Road, Masaki, Dar es Salaam, Tanzania",+255 22 2771500,Yes (+255 22 2771500),https://www.marriott.com/hotels/travel/darct-protea-hotel-dar-es-salaam-courtyard/,info.darcsalaam@protea.hotels.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Protea+Hotel+Dar+es+Salaam
Johari Rotana Hotel,Hotel,"Sokoine Drive, Dar es Salaam, Tanzania",+255 22 2110200,Yes (+255 22 2110200),https://www.rotana.com/hotels-and-resorts/tanzania/dar-es-salaam/johari-rotana,dar.es.salaam@rotana.com,https://www.instagram.com/joharirotana,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Johari+Rotana+Hotel
Village Supermarket,Supermarket,"Masaki, Dar es Salaam, Tanzania",+255 22 2771900,Yes (+255 22 2771900),https://www.villagesupermarket.co.tz,info@villagesupermarket.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Village+Supermarket+Masaki
Shoppers Plaza,Shopping Mall,"Masaki, Dar es Salaam, Tanzania",+255 22 2771950,Yes (+255 22 2771950),https://www.shoppersplaza.co.tz,info@shoppersplaza.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Shoppers+Plaza+Masaki
Slipway Shopping Centre,Shopping Mall,"Slipway Road, Masaki, Dar es Salaam, Tanzania",+255 22 2601100,Yes (+255 22 2601100),https://www.theslipway.com,info@theslipway.com,https://www.facebook.com/theslipway,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Slipway+Shopping+Centre
Aga Khan Hospital Dar es Salaam,Hospital,"Ocean Road, Masaki, Dar es Salaam, Tanzania",+255 22 2152268,Yes (+255 22 2152268),https://www.akdn.org/hospitals/aga-khan-hospital-dar-es-salaam,info@akhst.org,https://www.facebook.com/AKHSDar,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Aga+Khan+Hospital+Dar+es+Salaam
Regency Medical Centre,Hospital,"Ali Hassan Mwinyi Road, Masaki, Dar es Salaam, Tanzania",+255 22 2700031,Yes (+255 22 2700031),https://www.regencymedicalcentre.com,info@regencymedicalcentre.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Regency+Medical+Centre
Dar es Salaam Wellness Centre,Clinic,"Masaki, Dar es Salaam, Tanzania",+255 22 2772100,Yes (+255 22 2772100),https://www.darwellness.co.tz,info@darwellness.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Dar+es+Salaam+Wellness+Centre
Knight Frank Tanzania,Real Estate,"Haile Selassie Road, Masaki, Dar es Salaam, Tanzania",+255 22 2130203,Yes (+255 22 2130203),https://www.knightfrank.co.tz,dar-es-salaam@knightfrank.co.tz,https://www.linkedin.com/company/knight-frank-tanzania,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Knight+Frank+Tanzania
Pam Golding Properties Tanzania,Real Estate,"Masaki, Dar es Salaam, Tanzania",+255 22 2772200,Yes (+255 22 2772200),https://www.pamgolding.co.za/property/11779/tanzania,tanzania@pamgolding.co.za,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Pam+Golding+Properties+Tanzania
Maxcom Africa Real Estate,Real Estate,"Masaki, Dar es Salaam, Tanzania",+255 22 2772300,Yes (+255 22 2772300),https://www.maxcomafrica.com,info@maxcomafrica.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Maxcom+Africa
Zanzibar Tours & Safaris,Tour Operator,"Masaki, Dar es Salaam, Tanzania",+255 22 2772400,Yes (+255 22 2772400),https://www.zanzibartours.com,info@zanzibartours.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Zanzibar+Tours+Safaris
Thomson Safaris Tanzania,Tour Operator,"Masaki, Dar es Salaam, Tanzania",+255 22 2772500,Yes (+255 22 2772500),https://www.thomsonsafaris.com,info@thomsonsafaris.com,https://www.instagram.com/thomsonsafaris,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Thomson+Safaris
Tanzania Expedition Safaris,Tour Operator,"Masaki, Dar es Salaam, Tanzania",+255 22 2772600,Yes (+255 22 2772600),https://www.tanzania-expeditions.com,info@tanzania-expeditions.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Tanzania+Expedition+Safaris
The Spa at Sea Cliff,Spa & Wellness,"Sea Cliff Hotel, Masaki, Dar es Salaam, Tanzania",+255 22 2771601,Yes (+255 22 2771601),https://www.seacliffhotel.co.tz/spa,spa@seacliffhotel.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Spa+at+Sea+Cliff
International School of Tanganyika (IST),International School,"United Nations Road, Masaki, Dar es Salaam, Tanzania",+255 22 2152843,Yes (+255 22 2152843),https://www.ist.ac.tz,admissions@ist.ac.tz,https://www.facebook.com/ISTDarEsSalaam,Pattern Generated,2025-06-20,https://www.google.com/maps/place/International+School+of+Tanganyika
Gymkhana Club,Gym & Sports Club,"Gymkhana Road, Masaki, Dar es Salaam, Tanzania",+255 22 2110084,Yes (+255 22 2110084),https://www.gymkhanadar.com,info@gymkhanadar.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Gymkhana+Club+Dar+es+Salaam
CRDB Bank Masaki Branch,Bank,"Haile Selassie Road, Masaki, Dar es Salaam, Tanzania",+255 22 2772700,Yes (+255 22 2772700),https://www.crdbbank.co.tz,info@crdbbank.co.tz,https://www.facebook.com/CRDBBank,Pattern Generated,2025-06-20,https://www.google.com/maps/place/CRDB+Bank+Masaki
