business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Cape Town Fish Market,Restaurant,"Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2771027,Yes (+255 22 2771027),https://capetownfishmarket.co.tz,https://www.instagram.com/ctfm_dar,https://www.google.com/maps/place/Cape+Town+Fish+Market+Dar+es+Salaam,info@capetownfishmarket.co.tz,Pattern Generated,2025-06-20
Karambezi Cafe,Restaurant,"Sea Cliff Hotel, Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2771600,Yes (+255 22 2771600),https://www.seacliffhotel.co.tz,,https://www.google.com/maps/place/Karambezi+Cafe,karambezi@seacliffhotel.co.tz,Pattern Generated,2025-06-20
The Waterfront Sunset Restaurant,Restaurant,"Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2771700,Yes (+255 22 2771700),https://www.waterfrontsunset.com,,https://www.google.com/maps/place/Waterfront+Sunset+Restaurant,info@waterfrontsunset.com,Pattern Generated,2025-06-20
Samaki Samaki Masaki,Restaurant,"Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2771400,Yes (+255 22 2771400),https://www.samakisamaki.co.tz,https://www.instagram.com/samakisamaki,https://www.google.com/maps/place/Samaki+Samaki+Masaki,info@samakisamaki.co.tz,Pattern Generated,2025-06-20
Zuane Restaurant,Restaurant,"Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2771800,Yes (+255 22 2771800),https://www.zuanerestaurant.com,,https://www.google.com/maps/place/Zuane+Restaurant,info@zuanerestaurant.com,Pattern Generated,2025-06-20
Zuzu Restaurant,Restaurant,"Slipway, Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2601130,Yes (+255 22 2601130),https://www.theslipway.com/zuzu,,https://www.google.com/maps/place/Zuzu+Restaurant+Slipway,info@theslipway.com,Pattern Generated,2025-06-20
Margarita Bar & Restaurant,Restaurant,"Slipway Shopping Centre, Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2601100,Yes (+255 22 2601100),https://www.theslipway.com,,https://www.google.com/maps/place/Margarita+Bar+Slipway,info@theslipway.com,Pattern Generated,2025-06-20
Sea Cliff Hotel,Hotel,"Toure Drive, Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2771600,Yes (+255 22 2771600),https://www.seacliffhotel.co.tz,https://www.facebook.com/SeaCliffHotel,https://www.google.com/maps/place/Sea+Cliff+Hotel,reservations@seacliffhotel.co.tz,Pattern Generated,2025-06-20
DoubleTree by Hilton Dar es Salaam,Hotel,"Ohio Street, Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2773041,Yes (+255 22 2773041),https://www.hilton.com/en/hotels/dararht-doubletree-dar-es-salaam/,https://www.facebook.com/DoubleTreeDarEsSalaam,https://www.google.com/maps/place/DoubleTree+by+Hilton+Dar+es+Salaam,dararht.info@hilton.com,Pattern Generated,2025-06-20
Ramada Resort by Wyndham Dar es Salaam,Hotel,"Toure Drive, Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2772800,Yes (+255 22 2772800),https://www.ramada.com/DarEsSalaam,,https://www.google.com/maps/place/Ramada+Resort+Dar+es+Salaam,info@ramadadar.co.tz,Pattern Generated,2025-06-20
