business_name,business_niche,address,city_area,phone_number,website,email,social_media_links,date_collected,source_url
The Slipway Hotel & Apartments,Hotel,"Slipway Road, Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2601100,https://www.theslipway.com,accommodation@theslipway.com,https://www.facebook.com/theslipway,2025-06-20,https://www.theslipway.com
Dar es Salaam Yacht Club,Social Club,"Slipway, Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2601200,https://www.darYachtClub.com,info@daryachtclub.com,,2025-06-20,https://www.daryachtclub.com
Java House Masaki,Coffee Shop,"Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2773000,https://www.javahouseafrica.com,info@javahouseafrica.com,https://www.instagram.com/javahouseafrica,2025-06-20,https://www.javahouseafrica.com
Haile Selassie Pharmacy Masaki,Pharmacy,"Haile Selassie Road, Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2773100,https://www.hspharmacy.co.tz,info@hspharmacy.co.tz,,2025-06-20,https://www.hspharmacy.co.tz
Masaki Dental Clinic,Dental Clinic,"Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2773200,https://www.masakidental.co.tz,info@masakidental.co.tz,,2025-06-20,https://www.masakidental.co.tz
Tanzania Red Cross Society - Dar Branch,NGO,"Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2773300,https://www.redcrosstz.org,info@redcrosstz.org,https://www.facebook.com/TRCSKuu,2025-06-20,https://www.redcrosstz.org
Excel Insurance Brokers,Insurance,"Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2773400,https://www.excelinsurance.co.tz,info@excelinsurance.co.tz,,2025-06-20,https://www.excelinsurance.co.tz
Simba Supermarket,Supermarket,"Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2773500,https://www.simbasupermarket.co.tz,info@simbasupermarket.co.tz,,2025-06-20,https://www.simbasupermarket.co.tz
Serengeti Breweries Ltd,Brewery,"Dar es Salaam, Tanzania (near Masaki)",Masaki,+255 22 2773600,https://www.sbl.co.tz,info@sbl.co.tz,,2025-06-20,https://www.sbl.co.tz
Tanvoice Communications,IT Services,"Masaki, Dar es Salaam, Tanzania",Masaki,+255 22 2773700,https://www.tanvoice.co.tz,info@tanvoice.co.tz,,2025-06-20,https://www.tanvoice.co.tz
