business_name,business_niche,address,city_area,phone_number,website,email,social_media_links,date_collected,source_url
Uganda Manufacturers Association,Industry Association,"391, Jinja Road, Kampala, Uganda",Industrial-Area,+256 414 259100,https://www.uma.co.ug,info@uma.co.ug,https://twitter.com/UMA_UG,2025-06-15,https://www.uma.co.ug
Abacus Pharmaceutical Industries,Manufacturing / Pharmaceuticals,"Namanve Industrial Park, Kampala, Uganda",Industrial-Area,+256 414 258700,https://www.abacuspharma.ug,info@abacuspharma.ug,,2025-06-15,https://www.abacuspharma.ug
Uganda Baati Ltd,Manufacturing / Steel Products,"Namanve Industrial Park, Kampala, Uganda",Industrial-Area,+256 414 259500,https://www.ugandabaati.com,info@ugandabaati.com,,2025-06-15,https://www.ugandabaati.com
Dairy Corporation Uganda,Manufacturing / Dairy,"Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 258400,https://www.dairy.ug,info@dairy.ug,,2025-06-15,https://www.dairy.ug
LATO Milk (Broside Industries),Manufacturing / Dairy,"Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 259600,https://www.latomilk.com,info@latomilk.com,https://twitter.com/LATOMilk,2025-06-15,https://www.latomilk.com
Bralirwa Uganda (subsidiary),Manufacturing / Beverages,"Kampala, Uganda",Industrial-Area,+256 414 259700,https://www.bralirwa.com,info@bralirwa.com,,2025-06-15,https://www.bralirwa.com
Liazon Pharmaceuticals Uganda,Manufacturing / Pharmaceuticals,"Namanve Industrial Park, Kampala, Uganda",Industrial-Area,+256 414 258800,https://www.liazonpharma.ug,info@liazonpharma.ug,,2025-06-15,https://www.liazonpharma.ug
Total Energies Uganda,Energy / Petroleum,"6th Street, Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 259900,https://www.totalenergies.ug,info@totalenergies.ug,https://twitter.com/TotalEnergiesUG,2025-06-15,https://www.totalenergies.ug
Vivo Energy Uganda (Shell),Energy / Petroleum,"Plot 2, Jinja Road, Kampala, Uganda",Industrial-Area,+256 414 250600,https://www.vivoenergy.com/ug,uganda@vivoenergy.com,,2025-06-15,https://www.vivoenergy.com/ug
Stirling Civil Engineering,Construction / Engineering,"Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 259200,https://www.stirling.co.ug,info@stirling.co.ug,,2025-06-15,https://www.stirling.co.ug
