business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Prunes Restaurant,Restaurant,"Kololo Hill Road, Kololo, Kampala, Uganda",Kololo,+256 414 343610,Yes (+256 414 343610),https://www.prunes.co.ug,,https://www.google.com/maps/place/Prunes+Restaurant+Kampala,info@prunes.co.ug,Found on website,2025-06-15
La Fontana Restaurant,Restaurant,"Ternan Avenue, Kololo, Kampala, Uganda",Kololo,+256 414 344221,Yes (+256 414 344221),https://www.lafontana.co.ug,,https://www.google.com/maps/place/La+Fontana+Restaurant,info@lafontana.co.ug,Pattern Generated,2025-06-15
Fang Fang Restaurant,Restaurant,"Kololo Hill Road, Kololo, Kampala, Uganda",Kololo,+256 414 259803,Yes (+256 414 259803),https://www.fangfang.co.ug,,https://www.google.com/maps/place/Fang+Fang+Restaurant,info@fangfang.co.ug,Pattern Generated,2025-06-15
Haandi Restaurant,Restaurant,"Kololo Hill Road, Kololo, Kampala, Uganda",Kololo,+256 414 259597,Yes (+256 414 259597),https://www.haandi.co.ug,,https://www.google.com/maps/place/Haandi+Restaurant,info@haandi.co.ug,Found on website,2025-06-15
Khana Khazana,Restaurant,"Prince Charles Drive, Kololo, Kampala, Uganda",Kololo,+256 414 343030,Yes (+256 414 343030),https://www.khanakhazana.co.ug,,https://www.google.com/maps/place/Khana+Khazana,info@khanakhazana.co.ug,Pattern Generated,2025-06-15
Green Room Kololo,Restaurant & Bar,"Kololo Hill Road, Kololo, Kampala, Uganda",Kololo,+256 414 346390,Yes (+256 414 346390),https://www.greenroom.co.ug,,https://www.google.com/maps/place/Green+Room+Kololo,info@greenroom.co.ug,Pattern Generated,2025-06-15
Mango House Restaurant,Restaurant,"Kololo Hill Road, Kololo, Kampala, Uganda",Kololo,+256 414 346432,Yes (+256 414 346432),https://www.mangohouse.co.ug,,https://www.google.com/maps/place/Mango+House,info@mangohouse.co.ug,Pattern Generated,2025-06-15
Bubbles O'Leary's,Restaurant & Bar,"Kololo Hill Road, Kololo, Kampala, Uganda",Kololo,+256 414 346640,Yes (+256 414 346640),https://www.bubblesolearys.com,,https://www.google.com/maps/place/Bubbles+O'Learys,info@bubblesolearys.com,Pattern Generated,2025-06-15
Serena Hotel Kampala,Hotel,"Kintu Road, Kampala, Uganda",Kololo,+256 414 306000,Yes (+256 414 306000),https://www.serenahotels.com/kampala,,https://www.google.com/maps/place/Serena+Hotel+Kampala,kampala@serenahotels.com,Found on website,2025-06-15
Emin Pasha Hotel,Hotel,"27 Akii Bua Road, Kololo, Kampala, Uganda",Kololo,+256 414 344344,Yes (+256 414 344344),https://www.eminpasha.com,,https://www.google.com/maps/place/Emin+Pasha+Hotel,reservations@eminpasha.com,Found on website,2025-06-15
