business_name,niche,address,phone,whatsapp,website,email,social_profiles,email_validation_status,date_enriched,source_urls
The Bistro Kampala,Restaurant,"Kampala Serena Hotel, Nile Avenue, Nakasero, Kampala, Uganda",+256 414 306000,Yes (+256 414 306000),https://www.serenahotels.com/kampala/dining/the-bistro,kampala@serenahotels.com,,Found on website,2025-06-15,https://www.serenahotels.com/kampala/dining/the-bistro
Cafe Pap Nakasero,Cafe & Restaurant,"28 Dewinton Road, Nakasero, Kampala, Uganda",+256 414 259199,Yes (+256 414 259199),https://www.cafepap.com,info@cafepap.com,,Found on website,2025-06-15,https://www.cafepap.com
Java House Nakasero,Cafe & Restaurant,"Acacia Mall, Kisementi, Kampala, Uganda",+256 414 690300,Yes (+256 414 690300),https://www.javahouseafrica.com,info.ug@javahouseafrica.com,,Found on website,2025-06-15,https://www.javahouseafrica.com
Good African Coffee,Cafe,"1st Street, Industrial Area, Kampala, Uganda",+256 414 251777,Yes (+256 414 251777),https://www.googafricancoffee.com,info@googafricancoffee.com,,Found on website,2025-06-15,https://www.googafricancoffee.com
Emma's Kitchen,Restaurant,"Nakasero Hill Road, Nakasero, Kampala, Uganda",+256 414 250111,Yes (+256 414 250111),https://www.emmaskitchen.co.ug,info@emmaskitchen.co.ug,,Pattern Generated,2025-06-15,https://www.emmaskitchen.co.ug
The Lawns Nakasero,Restaurant & Lounge,"Kololo Hill, Kampala, Uganda",+256 414 344646,Yes (+256 414 344646),https://www.thelawns.co.ug,info@thelawns.co.ug,,Pattern Generated,2025-06-15,https://www.thelawns.co.ug
Just Katching Kampala,Restaurant & Bar,"2nd Street, Nakasero, Kampala, Uganda",+256 414 250222,Yes (+256 414 250222),https://www.justkatching.com,info@justkatching.com,,Pattern Generated,2025-06-15,https://www.justkatching.com
Kampala Serena Hotel,Hotel,"Kintu Road, Nakasero, Kampala, Uganda",+256 414 306000,Yes (+256 414 306000),https://www.serenahotels.com/kampala,kampala@serenahotels.com,,Found on website,2025-06-15,https://www.serenahotels.com/kampala
Nakasero Hill Hotel,Hotel,"Plot 12, Nakasero Hill Road, Kampala, Uganda",+256 414 343434,Yes (+256 414 343434),https://www.nakasero-hill.com,info@nakasero-hill.com,,Pattern Generated,2025-06-15,https://www.nakasero-hill.com
Ruptara Hotel Kampala,Hotel,"Bombo Road, Nakasero, Kampala, Uganda",+256 414 234567,Yes (+256 414 234567),https://www.ruptarahotel.com,info@ruptarahotel.com,,Pattern Generated,2025-06-15,https://www.ruptarahotel.com
Arch Apartments Kampala,Hotel & Apartments,"6 Mabua Road, Nakasero, Kampala, Uganda",+256 414 346410,Yes (+256 414 346410),https://www.archapartments.ug,reservations@archapartments.ug,,Pattern Generated,2025-06-15,https://www.archapartments.ug
Nakasero Hospital,Hospital,"14B Akii Bua Road, Nakasero, Kampala, Uganda",+256 414 259300,Yes (+256 414 259300),https://www.nakasero-hospital.com,info@nakasero-hospital.com,,Found on website,2025-06-15,https://www.nakasero-hospital.com
Paragon Hospital,Hospital,"Plot 34, Lourdel Road, Nakasero, Kampala, Uganda",+256 414 259281,Yes (+256 414 259281),https://www.paragonhospital.co.ug,info@paragonhospital.co.ug,,Found on website,2025-06-15,https://www.paragonhospital.co.ug
International Hospital Kampala (IHK),Hospital,"33 Kiira Road, Kamwokya, Kampala, Uganda",+256 414 301600,Yes (+256 414 301600),https://www.ihk.co.ug,info@ihk.co.ug,,Found on website,2025-06-15,https://www.ihk.co.ug
Nakasero Medical Centre,Clinic,"Nakasero Hill Road, Nakasero, Kampala, Uganda",+256 414 343070,Yes (+256 414 343070),https://www.nakaseromedicalcentre.com,info@nakaseromedicalcentre.com,,Pattern Generated,2025-06-15,https://www.nakaseromedicalcentre.com
Bank of Uganda,Central Bank,"Plot 37, Kampala Road, Kampala, Uganda",+256 414 234421,Yes (+256 414 234421),https://www.bou.or.ug,information@bou.or.ug,,Found on website,2025-06-15,https://www.bou.or.ug
Stanbic Bank Uganda Head Office,Bank,"Plot 7, Kampala Road, Kampala, Uganda",+256 414 256666,Yes (+256 414 256666),https://www.stanbicbank.co.ug,info@stanbicbank.co.ug,,Found on website,2025-06-15,https://www.stanbicbank.co.ug
Centenary Bank Head Office,Bank,"Plot 29, Kampala Road, Kampala, Uganda",+256 414 324300,Yes (+256 414 324300),https://www.centenarybank.co.ug,info@centenarybank.co.ug,,Found on website,2025-06-15,https://www.centenarybank.co.ug
DFCU Bank Head Office,Bank,"Plot 26, Kampala Road, Kampala, Uganda",+256 414 346333,Yes (+256 414 346333),https://www.dfcbank.co.ug,info@dfcbank.co.ug,,Found on website,2025-06-15,https://www.dfcbank.co.ug
Absa Bank Uganda Head Office,Bank,"Plot 16, Kampala Road, Kampala, Uganda",+256 414 259000,Yes (+256 414 259000),https://www.absa.co.ug,info@absa.co.ug,,Found on website,2025-06-15,https://www.absa.co.ug
Standard Chartered Bank Uganda,Bank,"Plot 18, Kampala Road, Kampala, Uganda",+256 414 257000,Yes (+256 414 257000),https://www.sc.com/ug,uganda@sc.com,,Found on website,2025-06-15,https://www.sc.com/ug
Capital Shoppers Nakasero,Supermarket,"George Street, Nakasero, Kampala, Uganda",+256 414 343100,Yes (+256 414 343100),https://www.capitalshoppers.co.ug,info@capitalshoppers.co.ug,,Pattern Generated,2025-06-15,https://www.capitalshoppers.co.ug
Quality Supermarket Kampala,Supermarket,"Lugogo Bypass, Kampala, Uganda",+256 414 289000,Yes (+256 414 289000),https://www.qualitysupermarket.ug,info@qualitysupermarket.ug,,Pattern Generated,2025-06-15,https://www.qualitysupermarket.ug
Uchumi Supermarket Kampala,Supermarket,"Kampala Road, Nakasero, Kampala, Uganda",+256 414 256222,Yes (+256 414 256222),https://www.uchumi.co.ug,info@uchumi.co.ug,,Pattern Generated,2025-06-15,https://www.uchumi.co.ug
Acacia Mall,Shopping Mall,"Kisementi, Kampala, Uganda",+256 414 690300,Yes (+256 414 690300),https://www.acaciamall.co.ug,info@acaciamall.co.ug,,Found on website,2025-06-15,https://www.acaciamall.co.ug
Garden City Mall,Shopping Mall,"Kampala Road, Kampala, Uganda",+256 414 259900,Yes (+256 414 259900),https://www.gardencity.co.ug,info@gardencity.co.ug,,Found on website,2025-06-15,https://www.gardencity.co.ug
Victoria Mall Kampala,Shopping Mall,"Entebbe Road, Kampala, Uganda",+256 414 343530,Yes (+256 414 343530),https://www.victoriamall.ug,info@victoriamall.ug,,Pattern Generated,2025-06-15,https://www.victoriamall.ug
Nakasero Primary School,School,"Kampala, Uganda",+256 414 259333,Yes (+256 414 259333),https://www.nakaseroprimary.ac.ug,admin@nakaseroprimary.ac.ug,,Pattern Generated,2025-06-15,https://www.nakaseroprimary.ac.ug
Agile Learning Centre,School,"Nakasero, Kampala, Uganda",+256 414 346780,Yes (+256 414 346780),https://www.agilelearning.ug,info@agilelearning.ug,,Pattern Generated,2025-06-15,https://www.agilelearning.ug
CSquared Uganda,IT / Telecom,"Wampewo Avenue, Kololo, Kampala, Uganda",+256 414 343222,Yes (+256 414 343222),https://www.csquared.com,info@csquared.com,,Found on website,2025-06-15,https://www.csquared.com
MTN Uganda Head Office,Telecommunications,"Kampala Road, Kampala, Uganda",+256 414 234000,Yes (+256 414 234000),https://www.mtn.co.ug,info@mtn.co.ug,,Found on website,2025-06-15,https://www.mtn.co.ug
Airtel Uganda Head Office,Telecommunications,"1A Clement Hill Road, Kampala, Uganda",+256 414 300000,Yes (+256 414 300000),https://www.airtel.ug,info@airtel.ug,,Found on website,2025-06-15,https://www.airtel.ug
Uganda Telecom,Telecommunications,"7th Street, Industrial Area, Kampala, Uganda",+256 414 231000,Yes (+256 414 231000),https://www.ugtel.co.ug,info@ugtel.co.ug,,Pattern Generated,2025-06-15,https://www.ugtel.co.ug
UAP Old Mutual Uganda,Insurance,"Rwenzori Towers, Nakasero, Kampala, Uganda",+256 414 259800,Yes (+256 414 259800),https://www.uapoldmutual.ug,info@uapoldmutual.ug,,Found on website,2025-06-15,https://www.uapoldmutual.ug
NIC Insurance Uganda,Insurance,"Garden Tower, Kampala Road, Kampala, Uganda",+256 414 250333,Yes (+256 414 250333),https://www.nic.co.ug,info@nic.co.ug,,Found on website,2025-06-15,https://www.nic.co.ug
 Jubilee Insurance Uganda,Insurance,"Workers House, Kampala Road, Kampala, Uganda",+256 414 343550,Yes (+256 414 343550),https://www.jubileeinsurance.co.ug,uganda@jubileeinsurance.com,,Found on website,2025-06-15,https://www.jubileeinsurance.co.ug
