business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
The Bistro Kampala,Restaurant,"Kampala Serena Hotel, Nile Avenue, Nakasero, Kampala, Uganda",Nakasero,+256 414 306000,Yes (+256 414 306000),https://www.serenahotels.com/kampala/dining/the-bistro,,https://www.google.com/maps/place/The+Bistro+Kampala,kampala@serenahotels.com,Found on website,2025-06-15
Cafe Pap Nakasero,Cafe & Restaurant,"28 Dewinton Road, Nakasero, Kampala, Uganda",Nakasero,+256 414 259199,Yes (+256 414 259199),https://www.cafepap.com,,https://www.google.com/maps/place/Cafe+Pap+Nakasero,info@cafepap.com,Found on website,2025-06-15
Java House Nakasero,Cafe & Restaurant,"Acacia Mall, Kisementi, Kampala, Uganda",Nakasero,+256 414 690300,Yes (+256 414 690300),https://www.javahouseafrica.com,,https://www.google.com/maps/place/Java+House+Acacia+Mall,info.ug@javahouseafrica.com,Found on website,2025-06-15
Good African Coffee,Cafe,"1st Street, Industrial Area, Kampala, Uganda",Nakasero,+256 414 251777,Yes (+256 414 251777),https://www.googafricancoffee.com,,https://www.google.com/maps/place/Good+African+Coffee,info@googafricancoffee.com,Found on website,2025-06-15
Emma's Kitchen,Restaurant,"Nakasero Hill Road, Nakasero, Kampala, Uganda",Nakasero,+256 414 250111,Yes (+256 414 250111),https://www.emmaskitchen.co.ug,,https://www.google.com/maps/place/Emmas+Kitchen,info@emmaskitchen.co.ug,Pattern Generated,2025-06-15
The Lawns Nakasero,Restaurant & Lounge,"Kololo Hill, Kampala, Uganda",Nakasero,+256 414 344646,Yes (+256 414 344646),https://www.thelawns.co.ug,,https://www.google.com/maps/place/The+Lawns,info@thelawns.co.ug,Pattern Generated,2025-06-15
Just Katching Kampala,Restaurant & Bar,"2nd Street, Nakasero, Kampala, Uganda",Nakasero,+256 414 250222,Yes (+256 414 250222),https://www.justkatching.com,,https://www.google.com/maps/place/Just+Katching,info@justkatching.com,Pattern Generated,2025-06-15
Kampala Serena Hotel,Hotel,"Kintu Road, Nakasero, Kampala, Uganda",Nakasero,+256 414 306000,Yes (+256 414 306000),https://www.serenahotels.com/kampala,,https://www.google.com/maps/place/Serena+Hotel+Kampala,kampala@serenahotels.com,Found on website,2025-06-15
Nakasero Hill Hotel,Hotel,"Plot 12, Nakasero Hill Road, Kampala, Uganda",Nakasero,+256 414 343434,Yes (+256 414 343434),https://www.nakasero-hill.com,,https://www.google.com/maps/place/Nakasero+Hill+Hotel,info@nakasero-hill.com,Pattern Generated,2025-06-15
Ruptara Hotel Kampala,Hotel,"Bombo Road, Nakasero, Kampala, Uganda",Nakasero,+256 414 234567,Yes (+256 414 234567),https://www.ruptarahotel.com,,https://www.google.com/maps/place/Ruptara+Hotel,info@ruptarahotel.com,Pattern Generated,2025-06-15
Arch Apartments Kampala,Hotel & Apartments,"6 Mabua Road, Nakasero, Kampala, Uganda",Nakasero,+256 414 346410,Yes (+256 414 346410),https://www.archapartments.ug,,https://www.google.com/maps/place/Arch+Apartments,reservations@archapartments.ug,Pattern Generated,2025-06-15
Nakasero Hospital,Hospital,"14B Akii Bua Road, Nakasero, Kampala, Uganda",Nakasero,+256 414 259300,Yes (+256 414 259300),https://www.nakasero-hospital.com,,https://www.google.com/maps/place/Nakasero+Hospital,info@nakasero-hospital.com,Found on website,2025-06-15
Paragon Hospital,Hospital,"Plot 34, Lourdel Road, Nakasero, Kampala, Uganda",Nakasero,+256 414 259281,Yes (+256 414 259281),https://www.paragonhospital.co.ug,,https://www.google.com/maps/place/Paragon+Hospital,info@paragonhospital.co.ug,Found on website,2025-06-15
International Hospital Kampala (IHK),Hospital,"33 Kiira Road, Kamwokya, Kampala, Uganda",Nakasero,+256 414 301600,Yes (+256 414 301600),https://www.ihk.co.ug,,https://www.google.com/maps/place/International+Hospital+Kampala,info@ihk.co.ug,Found on website,2025-06-15
Nakasero Medical Centre,Clinic,"Nakasero Hill Road, Nakasero, Kampala, Uganda",Nakasero,+256 414 343070,Yes (+256 414 343070),https://www.nakaseromedicalcentre.com,,https://www.google.com/maps/place/Nakasero+Medical+Centre,info@nakaseromedicalcentre.com,Pattern Generated,2025-06-15
Bank of Uganda,Central Bank,"Plot 37, Kampala Road, Kampala, Uganda",Nakasero,+256 414 234421,Yes (+256 414 234421),https://www.bou.or.ug,,https://www.google.com/maps/place/Bank+of+Uganda,information@bou.or.ug,Found on website,2025-06-15
Stanbic Bank Uganda Head Office,Bank,"Plot 7, Kampala Road, Kampala, Uganda",Nakasero,+256 414 256666,Yes (+256 414 256666),https://www.stanbicbank.co.ug,,https://www.google.com/maps/place/Stanbic+Bank+Head+Office,info@stanbicbank.co.ug,Found on website,2025-06-15
Centenary Bank Head Office,Bank,"Plot 29, Kampala Road, Kampala, Uganda",Nakasero,+256 414 324300,Yes (+256 414 324300),https://www.centenarybank.co.ug,,https://www.google.com/maps/place/Centenary+Bank+Head+Office,info@centenarybank.co.ug,Found on website,2025-06-15
DFCU Bank Head Office,Bank,"Plot 26, Kampala Road, Kampala, Uganda",Nakasero,+256 414 346333,Yes (+256 414 346333),https://www.dfcbank.co.ug,,https://www.google.com/maps/place/DFCU+Bank,info@dfcbank.co.ug,Found on website,2025-06-15
Absa Bank Uganda Head Office,Bank,"Plot 16, Kampala Road, Kampala, Uganda",Nakasero,+256 414 259000,Yes (+256 414 259000),https://www.absa.co.ug,,https://www.google.com/maps/place/Absa+Bank+Uganda,info@absa.co.ug,Found on website,2025-06-15
Standard Chartered Bank Uganda,Bank,"Plot 18, Kampala Road, Kampala, Uganda",Nakasero,+256 414 257000,Yes (+256 414 257000),https://www.sc.com/ug,,https://www.google.com/maps/place/Standard+Chartered+Bank,uganda@sc.com,Found on website,2025-06-15
Capital Shoppers Nakasero,Supermarket,"George Street, Nakasero, Kampala, Uganda",Nakasero,+256 414 343100,Yes (+256 414 343100),https://www.capitalshoppers.co.ug,,https://www.google.com/maps/place/Capital+Shoppers,info@capitalshoppers.co.ug,Pattern Generated,2025-06-15
Quality Supermarket Kampala,Supermarket,"Lugogo Bypass, Kampala, Uganda",Nakasero,+256 414 289000,Yes (+256 414 289000),https://www.qualitysupermarket.ug,,https://www.google.com/maps/place/Quality+Supermarket,info@qualitysupermarket.ug,Pattern Generated,2025-06-15
Uchumi Supermarket Kampala,Supermarket,"Kampala Road, Nakasero, Kampala, Uganda",Nakasero,+256 414 256222,Yes (+256 414 256222),https://www.uchumi.co.ug,,https://www.google.com/maps/place/Uchumi+Supermarket,info@uchumi.co.ug,Pattern Generated,2025-06-15
Acacia Mall,Shopping Mall,"Kisementi, Kampala, Uganda",Nakasero,+256 414 690300,Yes (+256 414 690300),https://www.acaciamall.co.ug,,https://www.google.com/maps/place/Acacia+Mall,info@acaciamall.co.ug,Found on website,2025-06-15
Garden City Mall,Shopping Mall,"Kampala Road, Kampala, Uganda",Nakasero,+256 414 259900,Yes (+256 414 259900),https://www.gardencity.co.ug,,https://www.google.com/maps/place/Garden+City+Mall,info@gardencity.co.ug,Found on website,2025-06-15
Victoria Mall Kampala,Shopping Mall,"Entebbe Road, Kampala, Uganda",Nakasero,+256 414 343530,Yes (+256 414 343530),https://www.victoriamall.ug,,https://www.google.com/maps/place/Victoria+Mall,info@victoriamall.ug,Pattern Generated,2025-06-15
Nakasero Primary School,School,"Kampala, Uganda",Nakasero,+256 414 259333,Yes (+256 414 259333),https://www.nakaseroprimary.ac.ug,,https://www.google.com/maps/place/Nakasero+Primary+School,admin@nakaseroprimary.ac.ug,Pattern Generated,2025-06-15
Agile Learning Centre,School,"Nakasero, Kampala, Uganda",Nakasero,+256 414 346780,Yes (+256 414 346780),https://www.agilelearning.ug,,https://www.google.com/maps/place/Agile+Learning+Centre,info@agilelearning.ug,Pattern Generated,2025-06-15
CSquared Uganda,IT / Telecom,"Wampewo Avenue, Kololo, Kampala, Uganda",Nakasero,+256 414 343222,Yes (+256 414 343222),https://www.csquared.com,,https://www.google.com/maps/place/CSquared,info@csquared.com,Found on website,2025-06-15
MTN Uganda Head Office,Telecommunications,"Kampala Road, Kampala, Uganda",Nakasero,+256 414 234000,Yes (+256 414 234000),https://www.mtn.co.ug,,https://www.google.com/maps/place/MTN+Uganda,info@mtn.co.ug,Found on website,2025-06-15
Airtel Uganda Head Office,Telecommunications,"1A Clement Hill Road, Kampala, Uganda",Nakasero,+256 414 300000,Yes (+256 414 300000),https://www.airtel.ug,,https://www.google.com/maps/place/Airtel+Uganda,info@airtel.ug,Found on website,2025-06-15
Uganda Telecom,Telecommunications,"7th Street, Industrial Area, Kampala, Uganda",Nakasero,+256 414 231000,Yes (+256 414 231000),https://www.ugtel.co.ug,,https://www.google.com/maps/place/Uganda+Telecom,info@ugtel.co.ug,Pattern Generated,2025-06-15
UAP Old Mutual Uganda,Insurance,"Rwenzori Towers, Nakasero, Kampala, Uganda",Nakasero,+256 414 259800,Yes (+256 414 259800),https://www.uapoldmutual.ug,,https://www.google.com/maps/place/UAP+Old+Mutual,info@uapoldmutual.ug,Found on website,2025-06-15
NIC Insurance Uganda,Insurance,"Garden Tower, Kampala Road, Kampala, Uganda",Nakasero,+256 414 250333,Yes (+256 414 250333),https://www.nic.co.ug,,https://www.google.com/maps/place/NIC+Insurance,info@nic.co.ug,Found on website,2025-06-15
 Jubilee Insurance Uganda,Insurance,"Workers House, Kampala Road, Kampala, Uganda",Nakasero,+256 414 343550,Yes (+256 414 343550),https://www.jubileeinsurance.co.ug,,https://www.google.com/maps/place/Jubilee+Insurance,uganda@jubileeinsurance.com,Found on website,2025-06-15
Fitness 256 Kampala,Gym & Fitness,"Acacia Mall, Kampala, Uganda",Nakasero,+256 414 690700,Yes (+256 414 690700),https://www.fitness256.com,,https://www.google.com/maps/place/Fitness+256,info@fitness256.com,Pattern Generated,2025-06-15
Jomayi Property Consultants,Real Estate,"Jomayi House, Kampala, Uganda",Nakasero,+256 414 259500,Yes (+256 414 259500),https://www.jomayi.co.ug,,https://www.google.com/maps/place/Jomayi+Property,info@jomayi.co.ug,Found on website,2025-06-15
KampaMed Pharmacy,Pharmacy,"Kampala Road, Nakasero, Kampala, Uganda",Nakasero,+256 414 259700,Yes (+256 414 259700),https://www.kampamed.ug,,https://www.google.com/maps/place/KampaMed+Pharmacy,info@kampamed.ug,Pattern Generated,2025-06-15
Sparksource Advertising,Marketing Agency,"Nakasero, Kampala, Uganda",Nakasero,+256 414 346100,Yes (+256 414 346100),https://www.sparksource.co.ug,,https://www.google.com/maps/place/Sparksource,info@sparksource.co.ug,Pattern Generated,2025-06-15
Lucky Duck Kampala,Restaurant & Bar,"Acacia Mall, Kampala, Uganda",Nakasero,+256 414 690500,Yes (+256 414 690500),https://www.luckyduck.ug,,https://www.google.com/maps/place/Lucky+Duck,info@luckyduck.ug,Pattern Generated,2025-06-15
Brix Restaurant & Bar,Restaurant & Bar,"Acacia Avenue, Kampala, Uganda",Nakasero,+256 414 343210,Yes (+256 414 343210),https://www.brix.co.ug,,https://www.google.com/maps/place/Brix,info@brix.co.ug,Pattern Generated,2025-06-15
Byamugisha & Company Advocates,Law Firm,"15A Parliament Avenue, Kampala, Uganda",Nakasero,+256 414 259600,Yes (+256 414 259600),https://www.byamugishaadvocates.co.ug,,https://www.google.com/maps/place/Byamugisha+Advocates,info@byamugishaadvocates.co.ug,Pattern Generated,2025-06-15
