business_name,business_niche,address,city_area,phone_number,website,email,social_media_links,date_collected,source_url
Uganda Tourism Board,Government / Tourism,"Plot 10, Parliament Avenue, Kampala, Uganda",Nakasero,+256 414 346287,https://www.visituganda.com,info@visituganda.com,https://twitter.com/UTBOnline,2025-06-15,https://www.visituganda.com
Victor Pochiron Insurance Brokers,Insurance Broker,"Rwenzori Towers, Kampala, Uganda",Nakasero,+256 414 259600,https://www.pochiron.com,info@pochiron.com,,2025-06-15,https://www.pochiron.com
Uganda Securities Exchange,Financial Services,"Rwenzori House, Kampala Road, Kampala, Uganda",Nakasero,+256 414 340830,https://www.use.or.ug,info@use.or.ug,,2025-06-15,https://www.use.or.ug
O'Lines Logistics Uganda,Logistics / Freight,"Kampala, Uganda",Nakasero,+256 414 259050,https://www.olineslogistics.ug,info@olineslogistics.ug,,2025-06-15,https://www.olineslogistics.ug
Jumia Uganda,E-Commerce,"Kampala, Uganda",Nakasero,+256 414 696000,https://www.jumia.ug,info@jumia.ug,https://twitter.com/JumiaUG,2025-06-15,https://www.jumia.ug
Ham Towers Hotel,Hotel,"Kampala, Uganda",Nakasero,+256 414 344200,https://www.hamhotels.com,info@hamhotels.com,,2025-06-15,https://www.hamhotels.com
Safe Boda,Technology / Ride Hailing,"Kampala, Uganda",Nakasero,+256 772 733733,https://www.safeboda.com,info@safeboda.com,https://twitter.com/SafeBoda,2025-06-15,https://www.safeboda.com
Maendeleo Bank Uganda,Bank,"Kampala, Uganda",Nakasero,+256 414 259300,https://www.maendeleobank.co.ug,info@maendeleobank.co.ug,,2025-06-15,https://www.maendeleobank.co.ug
Equity Bank Uganda,Bank,"Kampala Road, Kampala, Uganda",Nakasero,+256 414 259400,https://www.equitybank.co.ug,info.ug@equitybank.co.ke,https://twitter.com/EquityBankUG,2025-06-15,https://www.equitybank.co.ug
Cooperative Bank Uganda,Bank,"Towernet, Kampala Road, Kampala, Uganda",Nakasero,+256 414 250300,https://www.coopbank.co.ug,info@coopbank.co.ug,,2025-06-15,https://www.coopbank.co.ug
